"user";"data";"pstrat";"no.terms"
39.5;"n12";"p2";455
24.45;"n13";"p2";346
19.0200000000002;"n14";"p2";289
22.4300000000001;"n15";"p2";400
21.6000000000001;"n16";"p2";393
20.74;"n17";"p2";1017
15.8899999999999;"n18";"p2";778
33.72;"n19";"p2";714
27.6000000000001;"n20";"p2";746
21.3800000000001;"n21";"p2";418
33.76;"n22";"p2";419
18.03;"n23";"p2";625
17.46;"r1";"p2";467
9.58999999999992;"r2";"p2";288
12.0599999999999;"r3";"p2";461
5.88999999999987;"r4";"p2";122
9.73000000000002;"r5";"p2";386
18.97;"o1";"p3";808
10.55;"o2";"p3";760
8.95000000000005;"o3";"p3";749
7.83999999999992;"o4";"p3";790
7.68000000000006;"o5";"p3";749
7.71000000000004;"o6";"p3";753
6.78999999999996;"o7";"p3";781
4.76999999999998;"o8";"p3";722
4.72000000000003;"o9";"p3";723
7.17000000000007;"o10";"p3";681
4.66000000000008;"o11";"p3";696
3.86000000000013;"o12";"p3";785
3.47000000000003;"o13";"p3";772
3.07999999999993;"o14";"p3";707
2.75;"o15";"p3";736
2.44000000000005;"o16";"p3";760
1.55999999999995;"o17";"p3";754
1.30999999999995;"o18";"p3";693
1.41999999999985;"o19";"p3";819
2.20000000000005;"o20";"p3";741
9.04999999999995;"o21";"p3";785
5.13000000000011;"o22";"p3";764
3.95000000000005;"n1";"p3";971
4.44000000000005;"n2";"p3";1270
6.54999999999995;"n3";"p3";1216
4.69000000000005;"n4";"p3";732
3.16000000000008;"n5";"p3";700
5.86999999999989;"n6";"p3";672
3.6099999999999;"n7";"p3";675
4.07999999999993;"n8";"p3";1014
3.68000000000006;"n9";"p3";753
4.36000000000013;"n10";"p3";1129
7.15000000000009;"n11";"p3";1518
5.02999999999997;"n12";"p3";1524
3.96000000000004;"n13";"p3";952
3.42999999999984;"n14";"p3";780
3.75;"n15";"p3";969
3.52999999999997;"n16";"p3";1034
3.73000000000002;"n17";"p3";868
3.19000000000005;"n18";"p3";702
6.44000000000005;"n19";"p3";968
5.16999999999985;"n20";"p3";875
3.80999999999995;"n21";"p3";913
6.04999999999995;"n22";"p3";912
3.37999999999988;"n23";"p3";826
6.16999999999985;"r1";"p3";353
1.02999999999997;"r2";"p3";960
1.41999999999985;"r3";"p3";958
0.669999999999845;"r4";"p3";686
1.22000000000003;"r5";"p3";889
49.5599999999999;"o1";"p4";437
26.48;"o2";"p4";206
22.3900000000001;"o3";"p4";163
20.3000000000002;"o4";"p4";135
19.1100000000001;"o5";"p4";169
19.1800000000001;"o6";"p4";89
17.6199999999999;"o7";"p4";187
12.3400000000001;"o8";"p4";152
12.2199999999998;"o9";"p4";144
16.9700000000003;"o10";"p4";138
11.9400000000001;"o11";"p4";93
10.5300000000002;"o12";"p4";134
9.64000000000033;"o13";"p4";195
8.48999999999978;"o14";"p4";142
7.9399999999996;"o15";"p4";176
7.19000000000005;"o16";"p4";162
5.36000000000013;"o17";"p4";185
4.61000000000013;"o18";"p4";110
5.48000000000002;"o19";"p4";86
6.61999999999989;"o20";"p4";169
23.48;"o21";"p4";192
14.2199999999998;"o22";"p4";195
11.79;"n1";"p4";555
14.6900000000001;"n2";"p4";128
18.4499999999998;"n3";"p4";99
10.0599999999999;"n4";"p4";97
8.23000000000002;"n5";"p4";57
12.3699999999999;"n6";"p4";129
8.71000000000004;"n7";"p4";347
12.3800000000001;"n8";"p4";405
9.23000000000002;"n9";"p4";169
13.6500000000001;"n10";"p4";401
24.8600000000001;"n11";"p4";520
18.8299999999999;"n12";"p4";511
11.6300000000001;"n13";"p4";355
9.29999999999973;"n14";"p4";109
11.1099999999997;"n15";"p4";439
11.0999999999999;"n16";"p4";476
10.5099999999998;"n17";"p4";638
8.42000000000007;"n18";"p4";493
16.7399999999998;"n19";"p4";606
13.5900000000001;"n20";"p4";659
11.0500000000002;"n21";"p4";208
15.8600000000001;"n22";"p4";321
9.36000000000013;"n23";"p4";651
12.8099999999999;"r1";"p4";301
5.35999999999967;"r2";"p4";265
6.47000000000025;"r3";"p4";336
3.26999999999998;"r4";"p4";122
5.50999999999976;"r5";"p4";332
33.8600000000001;"o1";"p5";1289
17.3600000000001;"o2";"p5";1288
14.5300000000002;"o3";"p5";1239
13.3200000000002;"o4";"p5";1241
12.5799999999999;"o5";"p5";1245
12.8299999999999;"o6";"p5";1259
11.3400000000001;"o7";"p5";1276
7.73000000000002;"o8";"p5";1233
7.48000000000002;"o9";"p5";1214
11.5;"o10";"p5";1229
7.59000000000015;"o11";"p5";1238
6.01999999999998;"o12";"p5";1272
5.49000000000024;"o13";"p5";1267
4.80000000000018;"o14";"p5";1224
4.41000000000031;"o15";"p5";1248
3.89000000000033;"o16";"p5";1295
2.5300000000002;"o17";"p5";1296
2.19000000000005;"o18";"p5";1256
2.36000000000013;"o19";"p5";1343
3.61000000000013;"o20";"p5";1308
15.5;"o21";"p5";1287
8.63999999999987;"o22";"p5";1269
11.8099999999999;"n1";"p5";1759
12.4299999999998;"n2";"p5";2028
16.8600000000001;"n3";"p5";1938
12.8899999999999;"n4";"p5";1315
7.91999999999962;"n5";"p5";1137
15.3400000000001;"n6";"p5";1121
10.5;"n7";"p5";1295
11.0699999999997;"n8";"p5";1793
9.82999999999993;"n9";"p5";1429
12.0699999999997;"n10";"p5";1987
21.7800000000002;"n11";"p5";2414
14.8699999999999;"n12";"p5";2439
10.5999999999999;"n13";"p5";1817
8.75;"n14";"p5";1544
9.90000000000009;"n15";"p5";1805
10.1100000000001;"n16";"p5";1848
10.4500000000003;"n17";"p5";1604
8.63000000000011;"n18";"p5";1379
18.2399999999998;"n19";"p5";1799
14.1199999999999;"n20";"p5";1745
11.0499999999997;"n21";"p5";1660
16.2999999999997;"n22";"p5";1779
9.38999999999987;"n23";"p5";1549
7.46000000000004;"r1";"p5";605
1.2199999999998;"r2";"p5";1443
1.73000000000002;"r3";"p5";1459
0.849999999999909;"r4";"p5";1072
1.42000000000007;"r5";"p5";1293
91.8000000000002;"o1";"p6";652
50.3299999999999;"o2";"p6";391
41.3100000000004;"o3";"p6";281
37.1300000000001;"o4";"p6";113
35.79;"o5";"p6";175
36.9400000000001;"o6";"p6";203
33.8099999999999;"o7";"p6";291
23.8199999999997;"o8";"p6";255
23;"o9";"p6";130
33.6300000000001;"o10";"p6";180
23.7800000000002;"o11";"p6";71
19.25;"o12";"p6";213
17.8899999999999;"o13";"p6";304
15.8600000000001;"o14";"p6";111
14.8699999999999;"o15";"p6";92
14.21;"o16";"p6";236
10.0299999999997;"o17";"p6";55
9.11000000000013;"o18";"p6";57
9.98000000000002;"o19";"p6";42
12.96;"o20";"p6";100
45.6699999999996;"o21";"p6";334
26.5700000000002;"o22";"p6";336
28.7200000000003;"n1";"p6";502
32.73;"n2";"p6";196
41.8899999999999;"n3";"p6";171
24.79;"n4";"p6";58
17.5999999999999;"n5";"p6";94
28.4699999999998;"n6";"p6";183
22.6399999999999;"n7";"p6";530
29.6900000000001;"n8";"p6";349
22.8800000000001;"n9";"p6";144
32.77;"n10";"p6";346
59.8300000000004;"n11";"p6";432
43.6599999999999;"n12";"p6";433
29.1799999999994;"n13";"p6";327
23.7299999999996;"n14";"p6";284
27.3599999999997;"n15";"p6";392
26.8900000000003;"n16";"p6";390
26.3800000000001;"n17";"p6";564
21.21;"n18";"p6";741
42.8999999999996;"n19";"p6";724
36.1400000000003;"n20";"p6";738
27.3599999999997;"n21";"p6";400
42;"n22";"p6";420
23.3400000000001;"n23";"p6";614
18.5899999999992;"r1";"p6";453
8.5600000000004;"r2";"p6";268
10.3700000000008;"r3";"p6";411
5.26999999999953;"r4";"p6";107
8.4399999999996;"r5";"p6";358
33.4300000000003;"o1";"p7";793
17.2200000000003;"o2";"p7";746
14.6199999999999;"o3";"p7";747
12.7600000000002;"o4";"p7";746
12.6900000000005;"o5";"p7";720
12.6099999999997;"o6";"p7";731
11.3000000000002;"o7";"p7";748
7.72999999999956;"o8";"p7";709
7.47000000000025;"o9";"p7";708
11.4699999999993;"o10";"p7";684
7.55000000000018;"o11";"p7";695
6;"o12";"p7";754
5.5;"o13";"p7";748
4.86000000000058;"o14";"p7";701
4.39000000000033;"o15";"p7";706
3.88000000000011;"o16";"p7";745
2.5;"o17";"p7";752
2.19000000000051;"o18";"p7";703
2.35999999999967;"o19";"p7";794
3.60000000000036;"o20";"p7";744
16.0799999999999;"o21";"p7";754
8.59000000000015;"o22";"p7";747
11.2799999999997;"n1";"p7";989
12.5100000000002;"n2";"p7";1205
16.9099999999999;"n3";"p7";1170
12.9400000000005;"n4";"p7";747
7.96999999999935;"n5";"p7";704
15.3299999999999;"n6";"p7";694
10.6199999999999;"n7";"p7";700
11.0699999999997;"n8";"p7";1063
10.5100000000002;"n9";"p7";805
11.9700000000003;"n10";"p7";1178
21.6700000000001;"n11";"p7";1473
14.75;"n12";"p7";1477
10.75;"n13";"p7";1016
8.77999999999975;"n14";"p7";826
10.0600000000004;"n15";"p7";1008
10.04;"n16";"p7";1060
10.5799999999999;"n17";"p7";916
8.68000000000029;"n18";"p7";730
18.75;"n19";"p7";987
14.2799999999997;"n20";"p7";953
10.5200000000004;"n21";"p7";918
16.3599999999997;"n22";"p7";978
9.4399999999996;"n23";"p7";868
7.56999999999971;"r1";"p7";367
1.21999999999935;"r2";"p7";908
1.73000000000047;"r3";"p7";915
0.789999999999964;"r4";"p7";675
1.40999999999985;"r5";"p7";846
63;"o1";"p8";432
32.79;"o2";"p8";233
27.8900000000003;"o3";"p8";179
24.6500000000005;"o4";"p8";133
23.6900000000005;"o5";"p8";175
24.2000000000007;"o6";"p8";105
22.3800000000001;"o7";"p8";189
15.3299999999999;"o8";"p8";151
14.9699999999993;"o9";"p8";80
21.6399999999994;"o10";"p8";162
14.8999999999996;"o11";"p8";51
12.5;"o12";"p8";136
11.71;"o13";"p8";201
10.1900000000005;"o14";"p8";87
9.44999999999982;"o15";"p8";72
8.72000000000025;"o16";"p8";154
6.31999999999971;"o17";"p8";54
5.60999999999967;"o18";"p8";49
6.27999999999975;"o19";"p8";86
8.1899999999996;"o20";"p8";176
29.3000000000002;"o21";"p8";205
17.8400000000001;"o22";"p8";207
18.7200000000003;"n1";"p8";372
22.3100000000004;"n2";"p8";132
28.5599999999995;"n3";"p8";96
18.5900000000001;"n4";"p8";117
13.3299999999999;"n5";"p8";57
22.2600000000002;"n6";"p8";125
15.8000000000002;"n7";"p8";361
20.5299999999997;"n8";"p8";441
16.0799999999999;"n9";"p8";199
22.1399999999994;"n10";"p8";242
39.1799999999994;"n11";"p8";508
28.29;"n12";"p8";512
19.1899999999996;"n13";"p8";223
15.21;"n14";"p8";116
18.3900000000003;"n15";"p8";472
17.7300000000005;"n16";"p8";500
17.8900000000003;"n17";"p8";672
14.2699999999995;"n18";"p8";485
28.8699999999999;"n19";"p8";465
23.75;"n20";"p8";522
18.1300000000001;"n21";"p8";211
27.0199999999995;"n22";"p8";241
16.4399999999996;"n23";"p8";668
13.8299999999999;"r1";"p8";318
5.38999999999942;"r2";"p8";249
6.45000000000073;"r3";"p8";323
3.35000000000036;"r4";"p8";107
5.59000000000015;"r5";"p8";318
32.4300000000003;"o1";"p9";1401
17.7200000000003;"o2";"p9";1350
14.8000000000002;"o3";"p9";1308
12.9200000000001;"o4";"p9";1314
12.6599999999999;"o5";"p9";1319
12.8800000000001;"o6";"p9";1357
11.3000000000002;"o7";"p9";1361
8.14999999999964;"o8";"p9";1291
8.57999999999993;"o9";"p9";1245
12;"o10";"p9";1262
8.06999999999971;"o11";"p9";1296
6.22000000000025;"o12";"p9";1367
5.80000000000018;"o13";"p9";1363
5.10999999999967;"o14";"p9";1271
4.64000000000033;"o15";"p9";1291
3.94000000000051;"o16";"p9";1381
2.56999999999971;"o17";"p9";1386
2.30000000000018;"o18";"p9";1336
2.41000000000076;"o19";"p9";1445
3.71000000000004;"o20";"p9";1395
15.71;"o21";"p9";1353
8.98999999999978;"o22";"p9";1344
5.36999999999989;"n1";"p9";1827
5.75;"n2";"p9";2255
7.75999999999931;"n3";"p9";2130
6.30999999999949;"n4";"p9";1361
4.77999999999975;"n5";"p9";1139
8.40000000000055;"n6";"p9";1116
5.3100000000004;"n7";"p9";1276
5.65000000000055;"n8";"p9";1885
5.29999999999927;"n9";"p9";1453
5.85999999999967;"n10";"p9";2068
9.17000000000007;"n11";"p9";2648
6.36999999999989;"n12";"p9";2701
5.60000000000036;"n13";"p9";1814
5.05000000000018;"n14";"p9";1502
5.14000000000033;"n15";"p9";1821
4.85999999999967;"n16";"p9";1839
5.36999999999989;"n17";"p9";1603
4.8799999999992;"n18";"p9";1270
8.64999999999964;"n19";"p9";1867
7.26000000000022;"n20";"p9";1702
5.39000000000033;"n21";"p9";1634
8.43000000000029;"n22";"p9";1783
4.84999999999945;"n23";"p9";1509
12.2600000000002;"r1";"p9";568
1.98000000000047;"r2";"p9";1566
2.6899999999996;"r3";"p9";1620
1.32000000000062;"r4";"p9";1147
2.26999999999953;"r5";"p9";1437
98.1900000000005;"o1";"p10";675
52.4100000000008;"o2";"p10";376
43.1800000000003;"o3";"p10";277
38.2199999999993;"o4";"p10";222
38.4899999999998;"o5";"p10";299
39.4399999999996;"o6";"p10";188
35.25;"o7";"p10";288
24.8799999999992;"o8";"p10";279
24.1600000000008;"o9";"p10";237
35.4100000000008;"o10";"p10";278
25.29;"o11";"p10";144
21.0299999999997;"o12";"p10";217
19.3599999999997;"o13";"p10";314
17.2200000000003;"o14";"p10";231
15.8100000000004;"o15";"p10";251
14.7299999999996;"o16";"p10";241
10.9200000000001;"o17";"p10";205
9.92000000000007;"o18";"p10";161
10.75;"o19";"p10";97
14.1199999999999;"o20";"p10";228
46.6100000000006;"o21";"p10";331
27.7699999999995;"o22";"p10";331
22.3599999999997;"n1";"p10";458
29.7800000000007;"n2";"p10";190
35.4700000000003;"n3";"p10";161
18.6099999999997;"n4";"p10";53
14.3199999999997;"n5";"p10";102
21.21;"n6";"p10";201
16.4899999999998;"n7";"p10";518
24.8599999999997;"n8";"p10";718
18.7699999999995;"n9";"p10";147
27.8900000000003;"n10";"p10";352
50.0499999999993;"n11";"p10";454
39.3800000000001;"n12";"p10";446
23.8400000000001;"n13";"p10";340
19.6400000000003;"n14";"p10";276
22.1300000000001;"n15";"p10";376
21.0299999999997;"n16";"p10";380
20.7999999999993;"n17";"p10";896
16.0899999999992;"n18";"p10";682
33.5099999999993;"n19";"p10";648
28.0599999999995;"n20";"p10";652
21.4700000000003;"n21";"p10";413
32.9200000000001;"n22";"p10";399
18.1700000000001;"n23";"p10";535
22.3299999999999;"r1";"p10";414
10.0500000000002;"r2";"p10";273
12.7800000000007;"r3";"p10";444
6.17999999999938;"r4";"p10";116
10.2399999999998;"r5";"p10";356
32.46;"o1";"p11";745
17.4899999999998;"o2";"p11";696
14.5100000000002;"o3";"p11";685
12.7000000000007;"o4";"p11";725
12.5299999999997;"o5";"p11";685
12.6700000000001;"o6";"p11";689
11.2299999999996;"o7";"p11";714
8.05999999999949;"o8";"p11";659
7.96000000000004;"o9";"p11";658
11.8800000000001;"o10";"p11";618
8.01999999999953;"o11";"p11";634
6.21999999999935;"o12";"p11";719
5.72999999999956;"o13";"p11";709
5.09000000000015;"o14";"p11";643
4.5600000000004;"o15";"p11";670
3.93000000000029;"o16";"p11";696
2.53999999999996;"o17";"p11";695
2.27999999999975;"o18";"p11";630
2.39000000000033;"o19";"p11";754
3.67999999999938;"o20";"p11";678
15.5199999999995;"o21";"p11";720
8.92000000000007;"o22";"p11";697
5.34000000000015;"n1";"p11";855
5.73999999999978;"n2";"p11";1150
7.72000000000025;"n3";"p11";1098
6.32000000000062;"n4";"p11";637
4.78000000000065;"n5";"p11";604
8.32999999999993;"n6";"p11";578
5.28999999999996;"n7";"p11";582
5.60999999999967;"n8";"p11";901
5.26000000000022;"n9";"p11";655
5.78999999999996;"n10";"p11";1016
9.06999999999971;"n11";"p11";1397
6.32999999999993;"n12";"p11";1408
5.51999999999953;"n13";"p11";846
5.05000000000018;"n14";"p11";672
5.10999999999967;"n15";"p11";851
4.81999999999971;"n16";"p11";921
5.33999999999924;"n17";"p11";761
4.83999999999924;"n18";"p11";604
8.63999999999942;"n19";"p11";857
7.25;"n20";"p11";764
5.39000000000033;"n21";"p11";806
8.43000000000029;"n22";"p11";804
4.82000000000062;"n23";"p11";714
12.2800000000007;"r1";"p11";296
1.93000000000029;"r2";"p11";882
2.68000000000029;"r3";"p11";879
1.3100000000004;"r4";"p11";610
2.27999999999975;"r5";"p11";812
59.3000000000002;"o1";"p12";415
31.7799999999988;"o2";"p12";199
26.6099999999988;"o3";"p12";157
24.1800000000003;"o4";"p12";134
22.8600000000006;"o5";"p12";164
23.1900000000005;"o6";"p12";89
20.9399999999987;"o7";"p12";176
15.0300000000007;"o8";"p12";153
14.8000000000011;"o9";"p12";141
20.9799999999996;"o10";"p12";138
14.5300000000007;"o11";"p12";91
12.4899999999998;"o12";"p12";129
11.4599999999991;"o13";"p12";191
9.98999999999978;"o14";"p12";139
9.39999999999964;"o15";"p12";164
8.25;"o16";"p12";158
6.64999999999964;"o17";"p12";172
5.29999999999927;"o18";"p12";107
6.09000000000015;"o19";"p12";80
7.80999999999949;"o20";"p12";155
28.6700000000001;"o21";"p12";185
16.8299999999999;"o22";"p12";183
11.5399999999991;"n1";"p12";467
14.8899999999994;"n2";"p12";114
18.6900000000005;"n3";"p12";89
11.0300000000007;"n4";"p12";91
9.07999999999993;"n5";"p12";59
13.8299999999999;"n6";"p12";127
9.44000000000051;"n7";"p12";287
12.8200000000015;"n8";"p12";368
10;"n9";"p12";155
13.9699999999993;"n10";"p12";355
25.3700000000008;"n11";"p12";485
19.0300000000007;"n12";"p12";491
12.1200000000008;"n13";"p12";328
10.0599999999995;"n14";"p12";96
11.3100000000013;"n15";"p12";381
11.3400000000001;"n16";"p12";423
11.1900000000005;"n17";"p12";525
9.21000000000095;"n18";"p12";405
17.2799999999988;"n19";"p12";521
14.3500000000004;"n20";"p12";553
12.2099999999991;"n21";"p12";201
16.8600000000006;"n22";"p12";287
9.89999999999964;"n23";"p12";541
17.1299999999992;"r1";"p12";251
5.86000000000058;"r2";"p12";251
7.29000000000087;"r3";"p12";320
3.69000000000051;"r4";"p12";116
6.20000000000073;"r5";"p12";301
45.8299999999999;"o1";"p13";1221
24.3799999999992;"o2";"p13";1217
20.5499999999993;"o3";"p13";1171
18.3700000000008;"o4";"p13";1174
17.6000000000004;"o5";"p13";1179
17.9399999999987;"o6";"p13";1194
15.75;"o7";"p13";1207
11.1399999999994;"o8";"p13";1161
10.7700000000004;"o9";"p13";1146
16.3899999999994;"o10";"p13";1160
10.8999999999996;"o11";"p13";1167
8.47999999999956;"o12";"p13";1202
7.81999999999971;"o13";"p13";1197
6.89999999999964;"o14";"p13";1156
6.30999999999949;"o15";"p13";1177
5.45000000000073;"o16";"p13";1225
3.55999999999949;"o17";"p13";1228
3.1299999999992;"o18";"p13";1191
3.36000000000058;"o19";"p13";1275
5.06999999999971;"o20";"p13";1241
21.8000000000011;"o21";"p13";1219
12.2200000000012;"o22";"p13";1199
13.1599999999999;"n1";"p13";1655
13.619999999999;"n2";"p13";1919
18.5399999999991;"n3";"p13";1831
14.5599999999995;"n4";"p13";1221
9.46999999999935;"n5";"p13";1040
17.8700000000008;"n6";"p13";1024
12.2200000000012;"n7";"p13";1196
12.5500000000011;"n8";"p13";1687
11.369999999999;"n9";"p13";1331
13.4499999999989;"n10";"p13";1881
23.5100000000002;"n11";"p13";2301
16.0399999999991;"n12";"p13";2327
12.1599999999999;"n13";"p13";1707
10.2999999999993;"n14";"p13";1438
11.1800000000003;"n15";"p13";1701
11.4200000000001;"n16";"p13";1737
12.0300000000007;"n17";"p13";1499
10.2800000000007;"n18";"p13";1274
20.3899999999994;"n19";"p13";1693
16.2300000000014;"n20";"p13";1642
12.5699999999997;"n21";"p13";1549
18.5699999999997;"n22";"p13";1678
10.7799999999988;"n23";"p13";1443
13.5900000000001;"r1";"p13";542
2.11000000000058;"r2";"p13";1365
2.9900000000016;"r3";"p13";1381
1.43999999999869;"r4";"p13";995
2.51000000000022;"r5";"p13";1214
100.41;"o1";"p14";623
54.3700000000008;"o2";"p14";385
45.5499999999993;"o3";"p14";276
40.4200000000001;"o4";"p14";115
39.9099999999999;"o5";"p14";172
39.8299999999999;"o6";"p14";200
36.0500000000011;"o7";"p14";281
25.6700000000001;"o8";"p14";252
24.9399999999987;"o9";"p14";130
37.2800000000007;"o10";"p14";178
25.7099999999991;"o11";"p14";70
21.2699999999986;"o12";"p14";206
19.1499999999996;"o13";"p14";295
17.119999999999;"o14";"p14";113
15.8899999999994;"o15";"p14";89
14.6399999999994;"o16";"p14";232
10.6099999999988;"o17";"p14";55
9.69000000000051;"o18";"p14";56
10.4500000000007;"o19";"p14";39
13.9400000000005;"o20";"p14";96
48.4200000000001;"o21";"p14";329
28.7799999999988;"o22";"p14";330
28.1100000000006;"n1";"p14";450
32.3799999999992;"n2";"p14";184
41.1100000000006;"n3";"p14";164
25.3299999999999;"n4";"p14";58
17.9699999999993;"n5";"p14";94
29.25;"n6";"p14";184
22.6399999999994;"n7";"p14";477
29.9700000000012;"n8";"p14";338
23.4099999999999;"n9";"p14";144
32.5599999999995;"n10";"p14";327
57.1999999999989;"n11";"p14";429
42.7399999999998;"n12";"p14";420
29.3600000000006;"n13";"p14";322
23.7899999999991;"n14";"p14";269
27.2099999999991;"n15";"p14";372
26.6100000000006;"n16";"p14";374
26.0599999999995;"n17";"p14";481
21.6599999999999;"n18";"p14";650
42.75;"n19";"p14";653
36.0500000000011;"n20";"p14";656
27.1000000000004;"n21";"p14";399
41.5400000000009;"n22";"p14";409
23.0900000000001;"n23";"p14";531
23.0299999999988;"r1";"p14";398
8.89999999999964;"r2";"p14";262
11.1299999999992;"r3";"p14";399
5.51999999999862;"r4";"p14";103
9.54999999999927;"r5";"p14";329
45.3199999999997;"o1";"p15";730
24.2700000000004;"o2";"p15";685
20.4799999999996;"o3";"p15";684
17.75;"o4";"p15";683
17.5499999999993;"o5";"p15";658
17.6100000000006;"o6";"p15";669
16.25;"o7";"p15";684
11.0400000000009;"o8";"p15";646
10.6499999999996;"o9";"p15";646
16.3399999999983;"o10";"p15";621
10.7800000000007;"o11";"p15";637
8.43999999999869;"o12";"p15";691
7.80000000000109;"o13";"p15";687
6.94000000000051;"o14";"p15";639
6.22999999999956;"o15";"p15";642
5.38999999999942;"o16";"p15";684
3.5;"o17";"p15";691
3.10999999999876;"o18";"p15";642
3.35999999999876;"o19";"p15";731
5.04999999999927;"o20";"p15";681
21.6399999999994;"o21";"p15";693
12.1099999999988;"o22";"p15";682
12.5300000000007;"n1";"p15";885
13.6899999999987;"n2";"p15";1099
18.3400000000001;"n3";"p15";1064
14.9699999999993;"n4";"p15";662
9.46999999999935;"n5";"p15";617
17.7299999999996;"n6";"p15";608
12.2099999999991;"n7";"p15";616
12.5300000000007;"n8";"p15";961
11.5;"n9";"p15";719
13.3099999999995;"n10";"p15";1076
23.3499999999985;"n11";"p15";1367
15.9500000000007;"n12";"p15";1373
12.6400000000012;"n13";"p15";922
10.2600000000002;"n14";"p15";729
11.3300000000017;"n15";"p15";903
11.2700000000004;"n16";"p15";957
12.1000000000004;"n17";"p15";821
10.25;"n18";"p15";643
20.4200000000001;"n19";"p15";886
16.25;"n20";"p15";854
11.9700000000012;"n21";"p15";821
18.5;"n22";"p15";882
11.3199999999997;"n23";"p15";766
13.6299999999992;"r1";"p15";313
2.09000000000015;"r2";"p15";833
2.95000000000073;"r3";"p15";841
1.40999999999985;"r4";"p15";602
2.52000000000044;"r5";"p15";773
72.2800000000007;"o1";"p16";406
38.0300000000007;"o2";"p16";225
32.7900000000009;"o3";"p16";176
28.5500000000011;"o4";"p16";131
27.3899999999994;"o5";"p16";169
28;"o6";"p16";103
25.0200000000004;"o7";"p16";177
17.8899999999994;"o8";"p16";147
17.5300000000007;"o9";"p16";80
25.3099999999995;"o10";"p16";161
17.4699999999993;"o11";"p16";49
14.4799999999996;"o12";"p16";130
13.9699999999993;"o13";"p16";195
11.8300000000017;"o14";"p16";89
10.6999999999989;"o15";"p16";70
9.79000000000087;"o16";"p16";149
7;"o17";"p16";54
6.23000000000138;"o18";"p16";48
6.94999999999891;"o19";"p16";87
9.19000000000051;"o20";"p16";168
34.1700000000001;"o21";"p16";198
20.0900000000001;"o22";"p16";201
19.1399999999994;"n1";"p16";319
22.3099999999995;"n2";"p16";119
28.8099999999995;"n3";"p16";90
19.9300000000003;"n4";"p16";110
14;"n5";"p16";57
23.7199999999993;"n6";"p16";125
16.5199999999986;"n7";"p16";305
20.4200000000001;"n8";"p16";404
16.8500000000004;"n9";"p16";187
22.1000000000004;"n10";"p16";222
39.2199999999993;"n11";"p16";476
28.1000000000004;"n12";"p16";489
19.6099999999988;"n13";"p16";217
15.8899999999994;"n14";"p16";101
18.1399999999994;"n15";"p16";416
18.0199999999986;"n16";"p16";452
18.3000000000011;"n17";"p16";571
