data;pstrat;workflow;no. class;similar;algorithm;repr;stop;stem;spar;info;accuracy;a3r
n1;p13;w98;2;0;J48;tf_idf;default;simple;0.99;none;0.904050202;0.813601621
n1;p13;w97;2;0;nnet;tf_idf;default;simple;0.99;none;0.979683921;0.889156718
n1;p13;w102;2;0;lda;tf_idf;default;simple;0.99;none;0.817921964;0.734972384
n1;p13;w101;2;0;C5.0Tree;tf_idf;default;simple;0.99;none;0.903479513;0.810132871
n1;p14;w108;2;0;knn;tf_idf;default;simple;0.99;>0;0.918729312;0.834997004
n1;p14;w112;2;0;ranger;tf_idf;default;simple;0.99;>0;0.965023928;0.879658775
n1;p14;w107;2;0;JRip;tf_idf;default;simple;0.99;>0;0.888265365;0.808445242
n1;p14;w111;2;0;svmLinear2;tf_idf;default;simple;0.99;>0;0.960504142;0.879594998
n1;p14;w106;2;0;J48;tf_idf;default;simple;0.99;>0;0.909698667;0.830626583
n1;p14;w105;2;0;nnet;tf_idf;default;simple;0.99;>0;0.968983175;0.887372928
n1;p14;w110;2;0;lda;tf_idf;default;simple;0.99;>0;0.95317033;0.87236833
n1;p14;w109;2;0;C5.0Tree;tf_idf;default;simple;0.99;>0;0.913652848;0.83054733
n1;p15;w116;2;0;knn;tf_idf;default;simple;0.98;none;0.86172893;0.782873074
n1;p15;w120;2;0;ranger;tf_idf;default;simple;0.98;none;0.967839226;0.88618141
n1;p15;w115;2;0;JRip;tf_idf;default;simple;0.98;none;0.880922644;0.800896029
n1;p15;w119;2;0;svmLinear2;tf_idf;default;simple;0.98;none;0.948646737;0.873230908
n1;p15;w114;2;0;J48;tf_idf;default;simple;0.98;none;0.902357188;0.825513487
n1;p15;w113;2;0;nnet;tf_idf;default;simple;0.98;none;0.959375491;0.881400646
n1;p15;w118;2;0;lda;tf_idf;default;simple;0.98;none;0.895613188;0.822897088
n1;p15;w117;2;0;C5.0Tree;tf_idf;default;simple;0.98;none;0.901789052;0.818801216
n1;p16;w124;2;0;knn;tf_idf;default;simple;0.98;>0;0.913678331;0.84111141
n1;p16;w128;2;0;ranger;tf_idf;default;simple;0.98;>0;0.961069759;0.883347331
n1;p16;w123;2;0;JRip;tf_idf;default;simple;0.98;>0;0.883746851;0.81279241
n1;p16;w127;2;0;svmLinear2;tf_idf;default;simple;0.98;>0;0.93962117;0.868619635
n1;p16;w122;2;0;J48;tf_idf;default;simple;0.98;>0;0.906320294;0.835805903
n1;p16;w121;2;0;nnet;tf_idf;default;simple;0.98;>0;0.955998378;0.884348978
n1;p16;w126;2;0;lda;tf_idf;default;simple;0.98;>0;0.955994548;0.88343398
n1;p16;w125;2;0;C5.0Tree;tf_idf;default;simple;0.98;>0;0.913651565;0.837815635
n1;p17;w132;2;0;knn;tf_idf;smart;none;0.99;none;0.848739003;0.762903817
n1;p17;w136;2;0;ranger;tf_idf;smart;none;0.99;none;0.970659625;0.883120979
n1;p17;w131;2;0;JRip;tf_idf;smart;none;0.99;none;0.876991417;0.785005793
n1;p17;w135;2;0;svmLinear2;tf_idf;smart;none;0.99;none;0.964444307;0.879276943
n1;p17;w130;2;0;J48;tf_idf;smart;none;0.99;none;0.892216992;0.806022964
n1;p17;w129;2;0;nnet;tf_idf;smart;none;0.99;none;0.971790853;0.887871614
n1;p17;w134;2;0;lda;tf_idf;smart;none;0.99;none;0.758585206;0.685186474
n1;p17;w133;2;0;C5.0Tree;tf_idf;smart;none;0.99;none;0.892772389;0.802696619
n1;p18;w140;2;0;knn;tf_idf;smart;none;0.99;>0;0.93284789;0.852680404
n1;p18;w144;2;0;ranger;tf_idf;smart;none;0.99;>0;0.966714377;0.88477702
n1;p18;w139;2;0;JRip;tf_idf;smart;none;0.99;>0;0.884903544;0.809742805
n1;p18;w143;2;0;svmLinear2;tf_idf;smart;none;0.99;>0;0.955403459;0.880067327
n1;p18;w138;2;0;J48;tf_idf;smart;none;0.99;>0;0.900679467;0.827109294
n1;p18;w137;2;0;nnet;tf_idf;smart;none;0.99;>0;0.966141128;0.889594985
n1;p18;w142;2;0;lda;tf_idf;smart;none;0.99;>0;0.940747296;0.866014678
n1;p18;w141;2;0;C5.0Tree;tf_idf;smart;none;0.99;>0;0.899555877;0.821968981
n1;p19;w148;2;0;knn;tf_idf;smart;none;0.98;none;0.858905954;0.786742234
n1;p19;w152;2;0;ranger;tf_idf;smart;none;0.98;none;0.966143664;0.889646507
n1;p19;w147;2;0;JRip;tf_idf;smart;none;0.98;none;0.879255096;0.805447983
n1;p19;w151;2;0;svmLinear2;tf_idf;smart;none;0.98;none;0.93735366;0.871974102
n1;p19;w146;2;0;J48;tf_idf;smart;none;0.98;none;0.890525255;0.822829109
n1;p19;w145;2;0;nnet;tf_idf;smart;none;0.98;none;0.960506673;0.894709059
n1;p19;w150;2;0;lda;tf_idf;smart;none;0.98;none;0.923233805;0.857103027
n1;p19;w149;2;0;C5.0Tree;tf_idf;smart;none;0.98;none;0.893909977;0.81872591
n1;p2;w12;2;0;knn;tf_idf;none;none;0.99;>0;0.943565194;0.858885362
n1;p2;w16;2;0;ranger;tf_idf;none;none;0.99;>0;0.958817501;0.875930121
n1;p2;w11;2;0;JRip;tf_idf;none;none;0.99;>0;0.865693232;0.789917691
n1;p2;w15;2;0;svmLinear2;tf_idf;none;none;0.99;>0;0.967830317;0.889078632
n1;p2;w10;2;0;J48;tf_idf;none;none;0.99;>0;0.882627114;0.80788126
n1;p2;w9;2;0;nnet;tf_idf;none;none;0.99;>0;0.96896407;0.891034925
n1;p2;w14;2;0;lda;tf_idf;none;none;0.99;>0;0.944126934;0.866122896
n1;p2;w13;2;0;C5.0Tree;tf_idf;none;none;0.99;>0;0.874153154;0.795555198
n1;p20;w156;2;0;knn;tf_idf;smart;none;0.98;>0;0.914784081;0.843340361
n1;p20;w160;2;0;ranger;tf_idf;smart;none;0.98;>0;0.965021363;0.890070971
n1;p20;w155;2;0;JRip;tf_idf;smart;none;0.98;>0;0.884890828;0.815091941
n1;p20;w159;2;0;svmLinear2;tf_idf;smart;none;0.98;>0;0.945808491;0.88009695
n1;p20;w154;2;0;J48;tf_idf;smart;none;0.98;>0;0.901246366;0.834675038
n1;p20;w153;2;0;nnet;tf_idf;smart;none;0.98;>0;0.964441742;0.897536581
n1;p20;w158;2;0;lda;tf_idf;smart;none;0.98;>0;0.954290112;0.887338902
n1;p20;w157;2;0;C5.0Tree;tf_idf;smart;none;0.98;>0;0.897855243;0.826477253
n1;p21;w164;2;0;knn;tf_idf;smart;simple;0.99;none;0.856080453;0.768579569
n1;p21;w168;2;0;ranger;tf_idf;smart;simple;0.99;none;0.971788294;0.882150926
n1;p21;w163;2;0;JRip;tf_idf;smart;simple;0.99;none;0.886574888;0.792633746
n1;p21;w167;2;0;svmLinear2;tf_idf;smart;simple;0.99;none;0.967834136;0.879496976
n1;p21;w162;2;0;J48;tf_idf;smart;simple;0.99;none;0.911385268;0.822235128
n1;p21;w161;2;0;nnet;tf_idf;smart;simple;0.99;none;0.971789611;0.88356708
n1;p21;w166;2;0;lda;tf_idf;smart;simple;0.99;none;0.756369952;0.682239312
n1;p21;w165;2;0;C5.0Tree;tf_idf;smart;simple;0.99;none;0.910259142;0.817554536
n1;p22;w172;2;0;knn;tf_idf;smart;simple;0.99;>0;0.918739492;0.836166438
n1;p22;w176;2;0;ranger;tf_idf;smart;simple;0.99;>0;0.967277434;0.881941958
n1;p22;w171;2;0;JRip;tf_idf;smart;simple;0.99;>0;0.890527803;0.811123439
n1;p22;w175;2;0;svmLinear2;tf_idf;smart;simple;0.99;>0;0.945818677;0.866718344
n1;p22;w170;2;0;J48;tf_idf;smart;simple;0.99;>0;0.902355917;0.824656448
n1;p22;w169;2;0;nnet;tf_idf;smart;simple;0.99;>0;0.961630257;0.881207576
n1;p22;w174;2;0;lda;tf_idf;smart;simple;0.99;>0;0.958235332;0.877471891
n1;p22;w173;2;0;C5.0Tree;tf_idf;smart;simple;0.99;>0;0.909696102;0.827792772
n1;p23;w180;2;0;knn;tf_idf;smart;simple;0.98;none;0.865116211;0.78695287
n1;p23;w184;2;0;ranger;tf_idf;smart;simple;0.98;none;0.966706727;0.884232743
n1;p23;w179;2;0;JRip;tf_idf;smart;simple;0.98;none;0.902925341;0.82150935
n1;p23;w183;2;0;svmLinear2;tf_idf;smart;simple;0.98;none;0.954854423;0.879162086
n1;p23;w178;2;0;J48;tf_idf;smart;simple;0.98;none;0.908561044;0.83194136
n1;p23;w177;2;0;nnet;tf_idf;smart;simple;0.98;none;0.957111777;0.880220621
n1;p23;w182;2;0;lda;tf_idf;smart;simple;0.98;none;0.923241426;0.848885933
n1;p23;w181;2;0;C5.0Tree;tf_idf;smart;simple;0.98;none;0.91082603;0.828565662
n1;p24;w188;2;0;knn;tf_idf;smart;simple;0.98;>0;0.914243942;0.843818541
n1;p24;w192;2;0;ranger;tf_idf;smart;simple;0.98;>0;0.96445321;0.885310536
n1;p24;w187;2;0;JRip;tf_idf;smart;simple;0.98;>0;0.890521425;0.818232568
n1;p24;w191;2;0;svmLinear2;tf_idf;smart;simple;0.98;>0;0.939631379;0.86754214
n1;p24;w186;2;0;J48;tf_idf;smart;simple;0.98;>0;0.904619637;0.833641851
n1;p24;w185;2;0;nnet;tf_idf;smart;simple;0.98;>0;0.945253095;0.872984828
n1;p24;w190;2;0;lda;tf_idf;smart;simple;0.98;>0;0.955992006;0.882647567
n1;p24;w189;2;0;C5.0Tree;tf_idf;smart;simple;0.98;>0;0.905749565;0.830778174
n1;p25;w196;2;0;knn;freq;none;none;0.99;none;0.872441057;0.780807792
n1;p25;w200;2;0;ranger;freq;none;none;0.99;none;0.965026458;0.879682738
n1;p25;w195;2;0;JRip;freq;none;none;0.99;none;0.89503229;0.796758241
n1;p25;w199;2;0;svmLinear2;freq;none;none;0.99;none;0.94638683;0.866545356
n1;p25;w194;2;0;J48;freq;none;none;0.99;none;0.885990188;0.796581739
n1;p25;w193;2;0;nnet;freq;none;none;0.99;none;0.948656911;0.85165095
n1;p25;w198;2;0;lda;freq;none;none;0.99;none;0.719558368;0.645348537
n1;p25;w197;2;0;C5.0Tree;freq;none;none;0.99;none;0.887685744;0.811449654
n1;p26;w204;2;0;knn;freq;none;none;0.99;>0;0.827847093;0.755239664
n1;p26;w208;2;0;ranger;freq;none;none;0.99;>0;0.957124487;0.876325601
n1;p26;w203;2;0;JRip;freq;none;none;0.99;>0;0.897306219;0.81923059
n1;p26;w207;2;0;svmLinear2;freq;none;none;0.99;>0;0.950914264;0.875310208
n1;p26;w202;2;0;J48;freq;none;none;0.99;>0;0.901232327;0.826811687
n1;p26;w201;2;0;nnet;freq;none;none;0.99;>0;0.942997018;0.866499767
n1;p26;w206;2;0;lda;freq;none;none;0.99;>0;0.89106667;0.819288206
n1;p26;w205;2;0;C5.0Tree;freq;none;none;0.99;>0;0.902938086;0.82959924
n1;p27;w212;2;0;knn;freq;none;none;0.98;none;0.853819309;0.778124382
n1;p27;w216;2;0;ranger;freq;none;none;0.98;none;0.962200958;0.885707591
n1;p27;w211;2;0;JRip;freq;none;none;0.98;none;0.873590073;0.794751302
n1;p27;w215;2;0;svmLinear2;freq;none;none;0.98;none;0.929466952;0.864757715
n1;p27;w210;2;0;J48;freq;none;none;0.98;none;0.889386396;0.818174258
n1;p27;w209;2;0;nnet;freq;none;none;0.98;none;0.94638434;0.865902407
n1;p27;w214;2;0;lda;freq;none;none;0.98;none;0.806445687;0.744544017
n1;p27;w213;2;0;C5.0Tree;freq;none;none;0.98;none;0.892768587;0.828224744
n1;p28;w220;2;0;knn;freq;none;none;0.98;>0;0.836882811;0.768689772
n1;p28;w224;2;0;ranger;freq;none;none;0.98;>0;0.960510497;0.888036125
n1;p28;w219;2;0;JRip;freq;none;none;0.98;>0;0.88658888;0.817386724
n1;p28;w223;2;0;svmLinear2;freq;none;none;0.98;>0;0.949213607;0.883945241
n1;p28;w218;2;0;J48;freq;none;none;0.98;>0;0.902377582;0.835510315
n1;p28;w217;2;0;nnet;freq;none;none;0.98;>0;0.940752421;0.872470133
n1;p28;w222;2;0;lda;freq;none;none;0.98;>0;0.889387678;0.827262136
n1;p28;w221;2;0;C5.0Tree;freq;none;none;0.98;>0;0.909712654;0.844898917
n1;p29;w228;2;0;knn;freq;none;simple;0.99;none;0.882600365;0.790248408
n1;p29;w232;2;0;ranger;freq;none;simple;0.99;none;0.967281258;0.88039639
n1;p29;w227;2;0;JRip;freq;none;simple;0.99;none;0.885442412;0.787718544
n1;p29;w231;2;0;svmLinear2;freq;none;simple;0.99;none;0.941875959;0.859131338
n1;p29;w226;2;0;J48;freq;none;simple;0.99;none;0.900107547;0.810242499
n1;p29;w225;2;0;nnet;freq;none;simple;0.99;none;0.907518932;0.81526618
n1;p29;w230;2;0;lda;freq;none;simple;0.99;none;0.687978451;0.618239306
n1;p29;w229;2;0;C5.0Tree;freq;none;simple;0.99;none;0.898409438;0.819566399
n1;p3;w20;2;0;knn;tf_idf;none;none;0.98;none;0.87131243;0.793950774
n1;p3;w24;2;0;ranger;tf_idf;none;none;0.98;none;0.961068465;0.885005832
n1;p3;w19;2;0;JRip;tf_idf;none;none;0.98;none;0.871891999;0.794804365
n1;p3;w23;2;0;svmLinear2;tf_idf;none;none;0.98;none;0.949771586;0.879585282
n1;p3;w18;2;0;J48;tf_idf;none;none;0.98;none;0.873035948;0.801355849
n1;p3;w17;2;0;nnet;tf_idf;none;none;0.98;none;0.958235338;0.887516389
n1;p3;w22;2;0;lda;tf_idf;none;none;0.98;none;0.850434576;0.784484513
n1;p3;w21;2;0;C5.0Tree;tf_idf;none;none;0.98;none;0.875295843;0.796793834
n1;p30;w236;2;0;knn;freq;none;simple;0.99;>0;0.848736432;0.772180187
n1;p30;w240;2;0;ranger;freq;none;simple;0.99;>0;0.963329632;0.879251362
n1;p30;w235;2;0;JRip;freq;none;simple;0.99;>0;0.906885911;0.825618188
n1;p30;w239;2;0;svmLinear2;freq;none;simple;0.99;>0;0.957121957;0.877082978
n1;p30;w234;2;0;J48;freq;none;simple;0.99;>0;0.914214651;0.835591148
n1;p30;w233;2;0;nnet;freq;none;simple;0.99;>0;0.945268393;0.864635619
n1;p30;w238;2;0;lda;freq;none;simple;0.99;>0;0.892214473;0.817227822
n1;p30;w237;2;0;C5.0Tree;freq;none;simple;0.99;>0;0.913638843;0.835983488
n1;p31;w244;2;0;knn;freq;none;simple;0.98;none;0.864540374;0.784354993
n1;p31;w248;2;0;ranger;freq;none;simple;0.98;none;0.962200958;0.882411212
n1;p31;w243;2;0;JRip;freq;none;simple;0.98;none;0.889414416;0.807506001
n1;p31;w247;2;0;svmLinear2;freq;none;simple;0.98;none;0.936800776;0.864033685
n1;p31;w242;2;0;J48;freq;none;simple;0.98;none;0.891643795;0.81499494
n1;p31;w241;2;0;nnet;freq;none;simple;0.98;none;0.938528137;0.854560244
n1;p31;w246;2;0;lda;freq;none;simple;0.98;none;0.773679815;0.70761395
n1;p31;w245;2;0;C5.0Tree;freq;none;simple;0.98;none;0.892205581;0.820826071
n1;p32;w252;2;0;knn;freq;none;simple;0.98;>0;0.846490569;0.780230213
n1;p32;w256;2;0;ranger;freq;none;simple;0.98;>0;0.959381835;0.883641236
n1;p32;w251;2;0;JRip;freq;none;simple;0.98;>0;0.908587845;0.835823439
n1;p32;w255;2;0;svmLinear2;freq;none;simple;0.98;>0;0.945832698;0.874945187
n1;p32;w250;2;0;J48;freq;none;simple;0.98;>0;0.91478281;0.844470363
n1;p32;w249;2;0;nnet;freq;none;simple;0.98;>0;0.936800753;0.865486331
n1;p32;w254;2;0;lda;freq;none;simple;0.98;>0;0.87245126;0.807171098
n1;p32;w253;2;0;C5.0Tree;freq;none;simple;0.98;>0;0.910823539;0.841354152
n1;p33;w260;2;0;knn;freq;default;none;0.99;none;0.874130241;0.78330563
n1;p33;w264;2;0;ranger;freq;default;none;0.99;none;0.970662173;0.88412841
n1;p33;w259;2;0;JRip;freq;default;none;0.99;none;0.895052661;0.798635303
n1;p33;w263;2;0;svmLinear2;freq;default;none;0.99;none;0.945259433;0.866464145
n1;p33;w258;2;0;J48;freq;default;none;0.99;none;0.902377576;0.813103697
n1;p33;w257;2;0;nnet;freq;default;none;0.99;none;0.961062133;0.865211546
n1;p33;w262;2;0;lda;freq;default;none;0.99;none;0.717858941;0.645346389
n1;p33;w261;2;0;C5.0Tree;freq;default;none;0.99;none;0.900680744;0.824126771
n1;p34;w268;2;0;knn;freq;default;none;0.99;>0;0.905745746;0.827546603
n1;p34;w272;2;0;ranger;freq;default;none;0.99;>0;0.965589527;0.883985353
n1;p34;w267;2;0;JRip;freq;default;none;0.99;>0;0.906344473;0.828649092
n1;p34;w271;2;0;svmLinear2;freq;default;none;0.99;>0;0.951472238;0.875807896
n1;p34;w266;2;0;J48;freq;default;none;0.99;>0;0.90578015;0.831472475
n1;p34;w265;2;0;nnet;freq;default;none;0.99;>0;0.958248083;0.880633409
n1;p34;w270;2;0;lda;freq;default;none;0.99;>0;0.89502211;0.823227628
n1;p34;w269;2;0;C5.0Tree;freq;default;none;0.99;>0;0.900135532;0.827206625
n1;p35;w276;2;0;knn;freq;default;none;0.98;none;0.871323857;0.795655538
n1;p35;w280;2;0;ranger;freq;default;none;0.98;none;0.967840508;0.891953306
n1;p35;w275;2;0;JRip;freq;default;none;0.98;none;0.89617242;0.816362349
n1;p35;w279;2;0;svmLinear2;freq;default;none;0.98;none;0.93058926;0.866664294
n1;p35;w274;2;0;J48;freq;default;none;0.98;none;0.900685834;0.83088827
n1;p35;w273;2;0;nnet;freq;default;none;0.98;none;0.936241521;0.861148206
n1;p35;w278;2;0;lda;freq;default;none;0.98;none;0.811525994;0.751952192
n1;p35;w277;2;0;C5.0Tree;freq;default;none;0.98;none;0.900685839;0.836212977
n1;p36;w284;2;0;knn;freq;default;none;0.98;>0;0.899535506;0.828159988
n1;p36;w288;2;0;ranger;freq;default;none;0.98;>0;0.968409932;0.895078997
n1;p36;w283;2;0;JRip;freq;default;none;0.98;>0;0.903487139;0.831020962
n1;p36;w287;2;0;svmLinear2;freq;default;none;0.98;>0;0.941315443;0.877273101
n1;p36;w282;2;0;J48;freq;default;none;0.98;>0;0.905206879;0.839046109
n1;p36;w281;2;0;nnet;freq;default;none;0.98;>0;0.953156314;0.887046549
n1;p36;w286;2;0;lda;freq;default;none;0.98;>0;0.896173703;0.83416964
n1;p36;w285;2;0;C5.0Tree;freq;default;none;0.98;>0;0.904074409;0.840092589
n1;p37;w292;2;0;knn;freq;default;simple;0.99;none;0.867926379;0.777640388
n1;p37;w296;2;0;ranger;freq;default;simple;0.99;none;0.970100393;0.882109744
n1;p37;w291;2;0;JRip;freq;default;simple;0.99;none;0.90799422;0.81031897
n1;p37;w295;2;0;svmLinear2;freq;default;simple;0.99;none;0.946957525;0.864285808
n1;p37;w290;2;0;J48;freq;default;simple;0.99;none;0.897289678;0.808908305
n1;p37;w289;2;0;nnet;freq;default;simple;0.99;none;0.935641454;0.843112683
n1;p37;w294;2;0;lda;freq;default;simple;0.99;none;0.69023328;0.621229467
n1;p37;w293;2;0;C5.0Tree;freq;default;simple;0.99;none;0.903494805;0.824252593
n1;p38;w300;2;0;knn;freq;default;simple;0.99;>0;0.905182683;0.824753845
n1;p38;w304;2;0;ranger;freq;default;simple;0.99;>0;0.965025199;0.880901899
n1;p38;w299;2;0;JRip;freq;default;simple;0.99;>0;0.9113955;0.830917874
n1;p38;w303;2;0;svmLinear2;freq;default;simple;0.99;>0;0.953741025;0.874064644
n1;p38;w298;2;0;J48;freq;default;simple;0.99;>0;0.921549723;0.84270337
n1;p38;w297;2;0;nnet;freq;default;simple;0.99;>0;0.953738494;0.873244691
n1;p38;w302;2;0;lda;freq;default;simple;0.99;>0;0.897287125;0.821954034
n1;p38;w301;2;0;C5.0Tree;freq;default;simple;0.99;>0;0.914770048;0.837235419
n1;p39;w308;2;0;knn;freq;default;simple;0.98;none;0.876951934;0.796767437
n1;p39;w312;2;0;ranger;freq;default;simple;0.98;none;0.964455769;0.884067105
n1;p39;w307;2;0;JRip;freq;default;simple;0.98;none;0.890529045;0.809424506
n1;p39;w311;2;0;svmLinear2;freq;default;simple;0.98;none;0.93566064;0.863385319
n1;p39;w306;2;0;J48;freq;default;simple;0.98;none;0.896161004;0.820897872
n1;p39;w305;2;0;nnet;freq;default;simple;0.98;none;0.952025104;0.868748524
n1;p39;w310;2;0;lda;freq;default;simple;0.98;none;0.795702929;0.730259855
n1;p39;w309;2;0;C5.0Tree;freq;default;simple;0.98;none;0.902931742;0.831218346
n1;p4;w28;2;0;knn;tf_idf;none;none;0.98;>0;0.924947207;0.847310924
n1;p4;w32;2;0;ranger;tf_idf;none;none;0.98;>0;0.961634076;0.885781794
n1;p4;w27;2;0;JRip;tf_idf;none;none;0.98;>0;0.858937741;0.787810043
n1;p4;w31;2;0;svmLinear2;tf_idf;none;none;0.98;>0;0.96500228;0.895538635
n1;p4;w26;2;0;J48;tf_idf;none;none;0.98;>0;0.871908545;0.804501351
n1;p4;w25;2;0;nnet;tf_idf;none;none;0.98;>0;0.967269808;0.897665562
n1;p4;w30;2;0;lda;tf_idf;none;none;0.98;>0;0.945264545;0.876408716
n1;p4;w29;2;0;C5.0Tree;tf_idf;none;none;0.98;>0;0.874170994;0.800480971
n1;p40;w316;2;0;knn;freq;default;simple;0.98;>0;0.896160975;0.828813319
n1;p40;w320;2;0;ranger;freq;default;simple;0.98;>0;0.96502138;0.88841723
n1;p40;w315;2;0;JRip;freq;default;simple;0.98;>0;0.914229898;0.840592862
n1;p40;w319;2;0;svmLinear2;freq;default;simple;0.98;>0;0.941888715;0.871066321
n1;p40;w314;2;0;J48;freq;default;simple;0.98;>0;0.914204443;0.844196326
n1;p40;w313;2;0;nnet;freq;default;simple;0.98;>0;0.940760024;0.869383517
n1;p40;w318;2;0;lda;freq;default;simple;0.98;>0;0.883165976;0.816598502
n1;p40;w317;2;0;C5.0Tree;freq;default;simple;0.98;>0;0.923812155;0.851231502
n1;p41;w324;2;0;knn;freq;smart;none;0.99;none;0.885986387;0.796465595
n1;p41;w328;2;0;ranger;freq;smart;none;0.99;none;0.972352633;0.88412815
n1;p41;w323;2;0;JRip;freq;smart;none;0.99;none;0.899557142;0.804393648
n1;p41;w327;2;0;svmLinear2;freq;smart;none;0.99;none;0.943007192;0.864506271
n1;p41;w322;2;0;J48;freq;smart;none;0.99;none;0.906885917;0.82041525
n1;p41;w321;2;0;nnet;freq;smart;none;0.99;none;0.953179267;0.863371131
n1;p41;w326;2;0;lda;freq;smart;none;0.99;none;0.647313212;0.583563282
n1;p41;w325;2;0;C5.0Tree;freq;smart;none;0.99;none;0.90858019;0.832180844
n1;p42;w332;2;0;knn;freq;smart;none;0.99;>0;0.929463134;0.851997707
n1;p42;w336;2;0;ranger;freq;smart;none;0.99;>0;0.970660902;0.889395284
n1;p42;w331;2;0;JRip;freq;smart;none;0.99;>0;0.917608282;0.839046469
n1;p42;w335;2;0;svmLinear2;freq;smart;none;0.99;>0;0.952033995;0.877512064
n1;p42;w330;2;0;J48;freq;smart;none;0.99;>0;0.907459148;0.834316758
n1;p42;w329;2;0;nnet;freq;smart;none;0.99;>0;0.960509203;0.884198643
n1;p42;w334;2;0;lda;freq;smart;none;0.99;>0;0.891087064;0.821525849
n1;p42;w333;2;0;C5.0Tree;freq;smart;none;0.99;>0;0.909145795;0.836351544
n1;p43;w340;2;0;knn;freq;smart;none;0.98;none;0.883178721;0.809030122
n1;p43;w344;2;0;ranger;freq;smart;none;0.98;none;0.968965352;0.893385331
n1;p43;w339;2;0;JRip;freq;smart;none;0.98;none;0.895065371;0.818365274
n1;p43;w343;2;0;svmLinear2;freq;smart;none;0.98;none;0.921559874;0.858594121
n1;p43;w338;2;0;J48;freq;smart;none;0.98;none;0.906890995;0.839033919
n1;p43;w337;2;0;nnet;freq;smart;none;0.98;none;0.957104116;0.884067889
n1;p43;w342;2;0;lda;freq;smart;none;0.98;none;0.847066314;0.787025213
n1;p43;w341;2;0;C5.0Tree;freq;smart;none;0.98;none;0.902940645;0.832770905
n1;p44;w348;2;0;knn;freq;smart;none;0.98;>0;0.91590889;0.848313685
n1;p44;w352;2;0;ranger;freq;smart;none;0.98;>0;0.968402283;0.895014454
n1;p44;w347;2;0;JRip;freq;smart;none;0.98;>0;0.912531788;0.841304674
