data;pstrat;workflow;no_class;similar;algorithm;repr;stop;stem;spar;info;accuracy;a3r;no.terms;time
n1;p13;w104;2;0;ranger;tf_idf;default;simple;0.99;none;0.967843045;0.879476405;1655;46.05
n1;p13;w99;2;0;JRip;tf_idf;default;simple;0.99;none;0.883206775;0.79080801;1655;83.11
n1;p13;w103;2;0;svmLinear2;tf_idf;default;simple;0.99;none;0.974611269;0.884230423;1655;49.05
n1;p13;w98;2;0;J48;tf_idf;default;simple;0.99;none;0.904050202;0.813601621;1655;67.8
n1;p13;w97;2;0;nnet;tf_idf;default;simple;0.99;none;0.979683921;0.889156718;1655;48.34
n1;p13;w102;2;0;lda;tf_idf;default;simple;0.99;none;0.817921964;0.734972384;1655;72.05
n1;p13;w101;2;0;C5.0Tree;tf_idf;default;simple;0.99;none;0.903479513;0.810132871;1655;78.43
n1;p14;w108;2;0;knn;tf_idf;default;simple;0.99;>0;0.918729312;0.834997004;450;45.72
n1;p14;w112;2;0;ranger;tf_idf;default;simple;0.99;>0;0.965023928;0.879658775;450;40.64
n1;p14;w107;2;0;JRip;tf_idf;default;simple;0.99;>0;0.888265365;0.808445242;450;43.22
n1;p14;w111;2;0;svmLinear2;tf_idf;default;simple;0.99;>0;0.960504142;0.879594998;450;33.78
n1;p14;w106;2;0;J48;tf_idf;default;simple;0.99;>0;0.909698667;0.830626583;450;37.99
n1;p14;w105;2;0;nnet;tf_idf;default;simple;0.99;>0;0.968983175;0.887372928;450;33.76
n1;p14;w110;2;0;lda;tf_idf;default;simple;0.99;>0;0.95317033;0.87236833;450;34.58
n1;p14;w109;2;0;C5.0Tree;tf_idf;default;simple;0.99;>0;0.913652848;0.83054733;450;45.36
n1;p15;w116;2;0;knn;tf_idf;default;simple;0.98;none;0.86172893;0.782873074;885;46.47
n1;p15;w120;2;0;ranger;tf_idf;default;simple;0.98;none;0.967839226;0.88618141;885;33.98
n1;p15;w115;2;0;JRip;tf_idf;default;simple;0.98;none;0.880922644;0.800896029;885;45.13
n1;p15;w119;2;0;svmLinear2;tf_idf;default;simple;0.98;none;0.948646737;0.873230908;885;27.48
n1;p15;w114;2;0;J48;tf_idf;default;simple;0.98;none;0.902357188;0.825513487;885;35.17
n1;p15;w113;2;0;nnet;tf_idf;default;simple;0.98;none;0.959375491;0.881400646;885;29.69
n1;p15;w118;2;0;lda;tf_idf;default;simple;0.98;none;0.895613188;0.822897088;885;29.58
n1;p15;w117;2;0;C5.0Tree;tf_idf;default;simple;0.98;none;0.901789052;0.818801216;885;47.54
n1;p16;w124;2;0;knn;tf_idf;default;simple;0.98;>0;0.913678331;0.84111141;319;27.39
n1;p16;w128;2;0;ranger;tf_idf;default;simple;0.98;>0;0.961069759;0.883347331;319;29.17
n1;p16;w123;2;0;JRip;tf_idf;default;simple;0.98;>0;0.883746851;0.81279241;319;28.44
n1;p16;w127;2;0;svmLinear2;tf_idf;default;simple;0.98;>0;0.93962117;0.868619635;319;23.17
n1;p16;w122;2;0;J48;tf_idf;default;simple;0.98;>0;0.906320294;0.835805903;319;25.53
n1;p16;w121;2;0;nnet;tf_idf;default;simple;0.98;>0;0.955998378;0.884348978;319;22.56
n1;p16;w126;2;0;lda;tf_idf;default;simple;0.98;>0;0.955994548;0.88343398;319;23.51
n1;p16;w125;2;0;C5.0Tree;tf_idf;default;simple;0.98;>0;0.913651565;0.837815635;319;32.01
n1;p17;w132;2;0;knn;tf_idf;smart;none;0.99;none;0.848739003;0.762903817;1578;71.15
n1;p17;w136;2;0;ranger;tf_idf;smart;none;0.99;none;0.970659625;0.883120979;1578;43.84
n1;p17;w131;2;0;JRip;tf_idf;smart;none;0.99;none;0.876991417;0.785005793;1578;84.12
n1;p17;w135;2;0;svmLinear2;tf_idf;smart;none;0.99;none;0.964444307;0.879276943;1578;40.37
n1;p17;w130;2;0;J48;tf_idf;smart;none;0.99;none;0.892216992;0.806022964;1578;58.2
n1;p17;w129;2;0;nnet;tf_idf;smart;none;0.99;none;0.971790853;0.887871614;1578;37.06
n1;p17;w134;2;0;lda;tf_idf;smart;none;0.99;none;0.758585206;0.685186474;1578;58.59
n1;p17;w133;2;0;C5.0Tree;tf_idf;smart;none;0.99;none;0.892772389;0.802696619;1578;70.4
n1;p18;w140;2;0;knn;tf_idf;smart;none;0.99;>0;0.93284789;0.852680404;387;36.39
n1;p18;w144;2;0;ranger;tf_idf;smart;none;0.99;>0;0.966714377;0.88477702;387;34.56
n1;p18;w139;2;0;JRip;tf_idf;smart;none;0.99;>0;0.884903544;0.809742805;387;34.83
n1;p18;w143;2;0;svmLinear2;tf_idf;smart;none;0.99;>0;0.955403459;0.880067327;387;26.72
n1;p18;w138;2;0;J48;tf_idf;smart;none;0.99;>0;0.900679467;0.827109294;387;30.22
n1;p18;w137;2;0;nnet;tf_idf;smart;none;0.99;>0;0.966141128;0.889594985;387;27.16
n1;p18;w142;2;0;lda;tf_idf;smart;none;0.99;>0;0.940747296;0.866014678;387;27.41
n1;p18;w141;2;0;C5.0Tree;tf_idf;smart;none;0.99;>0;0.899555877;0.821968981;387;36.89
n1;p19;w148;2;0;knn;tf_idf;smart;none;0.98;none;0.858905954;0.786742234;662;33.46
n1;p19;w152;2;0;ranger;tf_idf;smart;none;0.98;none;0.966143664;0.889646507;662;27.1
n1;p19;w147;2;0;JRip;tf_idf;smart;none;0.98;none;0.879255096;0.805447983;662;33.35
n1;p19;w151;2;0;svmLinear2;tf_idf;smart;none;0.98;none;0.93735366;0.871974102;662;18.03
n1;p19;w146;2;0;J48;tf_idf;smart;none;0.98;none;0.890525255;0.822829109;662;23.63
n1;p19;w145;2;0;nnet;tf_idf;smart;none;0.98;none;0.960506673;0.894709059;662;17.09
n1;p19;w150;2;0;lda;tf_idf;smart;none;0.98;none;0.923233805;0.857103027;662;19.55
n1;p19;w149;2;0;C5.0Tree;tf_idf;smart;none;0.98;none;0.893909977;0.81872591;662;33.59
n1;p2;w12;2;0;knn;tf_idf;none;none;0.99;>0;0.943565194;0.858885362;518;43
n1;p2;w16;2;0;ranger;tf_idf;none;none;0.99;>0;0.958817501;0.875930121;518;37.21
n1;p2;w11;2;0;JRip;tf_idf;none;none;0.99;>0;0.865693232;0.789917691;518;39.02
n1;p2;w15;2;0;svmLinear2;tf_idf;none;none;0.99;>0;0.967830317;0.889078632;518;29.81
n1;p2;w10;2;0;J48;tf_idf;none;none;0.99;>0;0.882627114;0.80788126;518;34.45
n1;p2;w9;2;0;nnet;tf_idf;none;none;0.99;>0;0.96896407;0.891034925;518;28.61
n1;p2;w14;2;0;lda;tf_idf;none;none;0.99;>0;0.944126934;0.866122896;518;31.48
n1;p2;w13;2;0;C5.0Tree;tf_idf;none;none;0.99;>0;0.874153154;0.795555198;518;43.32
n1;p20;w156;2;0;knn;tf_idf;smart;none;0.98;>0;0.914784081;0.843340361;364;25.86
n1;p20;w160;2;0;ranger;tf_idf;smart;none;0.98;>0;0.965021363;0.890070971;364;25.38
n1;p20;w155;2;0;JRip;tf_idf;smart;none;0.98;>0;0.884890828;0.815091941;364;26.75
n1;p20;w159;2;0;svmLinear2;tf_idf;smart;none;0.98;>0;0.945808491;0.88009695;364;17.82
n1;p20;w154;2;0;J48;tf_idf;smart;none;0.98;>0;0.901246366;0.834675038;364;21.53
n1;p20;w153;2;0;nnet;tf_idf;smart;none;0.98;>0;0.964441742;0.897536581;364;17.74
n1;p20;w158;2;0;lda;tf_idf;smart;none;0.98;>0;0.954290112;0.887338902;364;18.35
n1;p20;w157;2;0;C5.0Tree;tf_idf;smart;none;0.98;>0;0.897855243;0.826477253;364;27.48
n1;p21;w164;2;0;knn;tf_idf;smart;simple;0.99;none;0.856080453;0.768579569;1483;74.65
n1;p21;w168;2;0;ranger;tf_idf;smart;simple;0.99;none;0.971788294;0.882150926;1483;47.99
n1;p21;w163;2;0;JRip;tf_idf;smart;simple;0.99;none;0.886574888;0.792633746;1483;88.25
n1;p21;w167;2;0;svmLinear2;tf_idf;smart;simple;0.99;none;0.967834136;0.879496976;1483;45.99
n1;p21;w162;2;0;J48;tf_idf;smart;simple;0.99;none;0.911385268;0.822235128;1483;61.41
n1;p21;w161;2;0;nnet;tf_idf;smart;simple;0.99;none;0.971789611;0.88356708;1483;45.01
n1;p21;w166;2;0;lda;tf_idf;smart;simple;0.99;none;0.756369952;0.682239312;1483;61.93
n1;p21;w165;2;0;C5.0Tree;tf_idf;smart;simple;0.99;none;0.910259142;0.817554536;1483;73.44
n1;p22;w172;2;0;knn;tf_idf;smart;simple;0.99;>0;0.918739492;0.836166438;398;43.25
n1;p22;w176;2;0;ranger;tf_idf;smart;simple;0.99;>0;0.967277434;0.881941958;398;40.22
n1;p22;w171;2;0;JRip;tf_idf;smart;simple;0.99;>0;0.890527803;0.811123439;398;41.92
n1;p22;w175;2;0;svmLinear2;tf_idf;smart;simple;0.99;>0;0.945818677;0.866718344;398;32.9
n1;p22;w170;2;0;J48;tf_idf;smart;simple;0.99;>0;0.902355917;0.824656448;398;36.66
n1;p22;w169;2;0;nnet;tf_idf;smart;simple;0.99;>0;0.961630257;0.881207576;398;32.9
n1;p22;w174;2;0;lda;tf_idf;smart;simple;0.99;>0;0.958235332;0.877471891;398;33.85
n1;p22;w173;2;0;C5.0Tree;tf_idf;smart;simple;0.99;>0;0.909696102;0.827792772;398;43.55
n1;p23;w180;2;0;knn;tf_idf;smart;simple;0.98;none;0.865116211;0.78695287;741;44.16
n1;p23;w184;2;0;ranger;tf_idf;smart;simple;0.98;none;0.966706727;0.884232743;741;35.41
n1;p23;w179;2;0;JRip;tf_idf;smart;simple;0.98;none;0.902925341;0.82150935;741;43.81
n1;p23;w183;2;0;svmLinear2;tf_idf;smart;simple;0.98;none;0.954854423;0.879162086;741;27.21
n1;p23;w178;2;0;J48;tf_idf;smart;simple;0.98;none;0.908561044;0.83194136;741;33.92
n1;p23;w177;2;0;nnet;tf_idf;smart;simple;0.98;none;0.957111777;0.880220621;741;28.5
n1;p23;w182;2;0;lda;tf_idf;smart;simple;0.98;none;0.923241426;0.848885933;741;28.75
n1;p23;w181;2;0;C5.0Tree;tf_idf;smart;simple;0.98;none;0.91082603;0.828565662;741;44.09
n1;p24;w188;2;0;knn;tf_idf;smart;simple;0.98;>0;0.914243942;0.843818541;267;24.69
n1;p24;w192;2;0;ranger;tf_idf;smart;simple;0.98;>0;0.96445321;0.885310536;267;30.72
n1;p24;w187;2;0;JRip;tf_idf;smart;simple;0.98;>0;0.890521425;0.818232568;267;29.56
n1;p24;w191;2;0;svmLinear2;tf_idf;smart;simple;0.98;>0;0.939631379;0.86754214;267;24.36
n1;p24;w186;2;0;J48;tf_idf;smart;simple;0.98;>0;0.904619637;0.833641851;267;26.27
n1;p24;w185;2;0;nnet;tf_idf;smart;simple;0.98;>0;0.945253095;0.872984828;267;24.08
n1;p24;w190;2;0;lda;tf_idf;smart;simple;0.98;>0;0.955992006;0.882647567;267;24.36
n1;p24;w189;2;0;C5.0Tree;tf_idf;smart;simple;0.98;>0;0.905749565;0.830778174;267;31.69
n1;p25;w196;2;0;knn;freq;none;none;0.99;none;0.872441057;0.780807792;1946;84.66
n1;p25;w200;2;0;ranger;freq;none;none;0.99;none;0.965026458;0.879682738;1946;40.6
n1;p25;w195;2;0;JRip;freq;none;none;0.99;none;0.89503229;0.796758241;1946;104.83
n1;p25;w199;2;0;svmLinear2;freq;none;none;0.99;none;0.94638683;0.866545356;1946;33.97
n1;p25;w194;2;0;J48;freq;none;none;0.99;none;0.885990188;0.796581739;1946;70.46
n1;p25;w193;2;0;nnet;freq;none;none;0.99;none;0.948656911;0.85165095;1946;74.8
n1;p25;w198;2;0;lda;freq;none;none;0.99;none;0.719558368;0.645348537;1946;77.78
n1;p25;w197;2;0;C5.0Tree;freq;none;none;0.99;none;0.887685744;0.811449654;1946;36.3
n1;p26;w204;2;0;knn;freq;none;none;0.99;>0;0.827847093;0.755239664;437;39.32
n1;p26;w208;2;0;ranger;freq;none;none;0.99;>0;0.957124487;0.876325601;437;34.05
n1;p26;w203;2;0;JRip;freq;none;none;0.99;>0;0.897306219;0.81923059;437;38.14
n1;p26;w207;2;0;svmLinear2;freq;none;none;0.99;>0;0.950914264;0.875310208;437;27.49
n1;p26;w202;2;0;J48;freq;none;none;0.99;>0;0.901232327;0.826811687;437;31.42
n1;p26;w201;2;0;nnet;freq;none;none;0.99;>0;0.942997018;0.866499767;437;29.49
n1;p26;w206;2;0;lda;freq;none;none;0.99;>0;0.89106667;0.819288206;437;28.77
n1;p26;w205;2;0;C5.0Tree;freq;none;none;0.99;>0;0.902938086;0.82959924;437;29.62
n1;p27;w212;2;0;knn;freq;none;none;0.98;none;0.853819309;0.778124382;971;40.99
n1;p27;w216;2;0;ranger;freq;none;none;0.98;none;0.962200958;0.885707591;971;27.48
n1;p27;w211;2;0;JRip;freq;none;none;0.98;none;0.873590073;0.794751302;971;43.96
n1;p27;w215;2;0;svmLinear2;freq;none;none;0.98;none;0.929466952;0.864757715;971;17.93
n1;p27;w210;2;0;J48;freq;none;none;0.98;none;0.889386396;0.818174258;971;28.17
n1;p27;w209;2;0;nnet;freq;none;none;0.98;none;0.94638434;0.865902407;971;34.99
n1;p27;w214;2;0;lda;freq;none;none;0.98;none;0.806445687;0.744544017;971;24.4
n1;p27;w213;2;0;C5.0Tree;freq;none;none;0.98;none;0.892768587;0.828224744;971;20.12
n1;p28;w220;2;0;knn;freq;none;none;0.98;>0;0.836882811;0.768689772;483;29.96
n1;p28;w224;2;0;ranger;freq;none;none;0.98;>0;0.960510497;0.888036125;483;23.06
n1;p28;w219;2;0;JRip;freq;none;none;0.98;>0;0.88658888;0.817386724;483;25.81
n1;p28;w223;2;0;svmLinear2;freq;none;none;0.98;>0;0.949213607;0.883945241;483;17.28
n1;p28;w218;2;0;J48;freq;none;none;0.98;>0;0.902377582;0.835510315;483;21.75
n1;p28;w217;2;0;nnet;freq;none;none;0.98;>0;0.940752421;0.872470133;483;20.37
n1;p28;w222;2;0;lda;freq;none;none;0.98;>0;0.889387678;0.827262136;483;18.11
n1;p28;w221;2;0;C5.0Tree;freq;none;none;0.98;>0;0.909712654;0.844898917;483;19.23
n1;p29;w228;2;0;knn;freq;none;simple;0.99;none;0.882600365;0.790248408;1759;83.18
n1;p29;w232;2;0;ranger;freq;none;simple;0.99;none;0.967281258;0.88039639;1759;43.15
n1;p29;w227;2;0;JRip;freq;none;simple;0.99;none;0.885442412;0.787718544;1759;107.54
n1;p29;w231;2;0;svmLinear2;freq;none;simple;0.99;none;0.941875959;0.859131338;1759;39.57
n1;p29;w226;2;0;J48;freq;none;simple;0.99;none;0.900107547;0.810242499;1759;67.17
n1;p29;w225;2;0;nnet;freq;none;simple;0.99;none;0.907518932;0.81526618;1759;72.82
n1;p29;w230;2;0;lda;freq;none;simple;0.99;none;0.687978451;0.618239306;1759;71.9
n1;p29;w229;2;0;C5.0Tree;freq;none;simple;0.99;none;0.898409438;0.819566399;1759;39.41
n1;p3;w20;2;0;knn;tf_idf;none;none;0.98;none;0.87131243;0.793950774;971;41.23
n1;p3;w24;2;0;ranger;tf_idf;none;none;0.98;none;0.961068465;0.885005832;971;27.06
n1;p3;w19;2;0;JRip;tf_idf;none;none;0.98;none;0.871891999;0.794804365;971;40.56
n1;p3;w23;2;0;svmLinear2;tf_idf;none;none;0.98;none;0.949771586;0.879585282;971;21.56
n1;p3;w18;2;0;J48;tf_idf;none;none;0.98;none;0.873035948;0.801355849;971;30.78
n1;p3;w17;2;0;nnet;tf_idf;none;none;0.98;none;0.958235338;0.887516389;971;21.47
n1;p3;w22;2;0;lda;tf_idf;none;none;0.98;none;0.850434576;0.784484513;971;25.25
n1;p3;w21;2;0;C5.0Tree;tf_idf;none;none;0.98;none;0.875295843;0.796793834;971;42.89
n1;p30;w236;2;0;knn;freq;none;simple;0.99;>0;0.848736432;0.772180187;418;43.87
n1;p30;w240;2;0;ranger;freq;none;simple;0.99;>0;0.963329632;0.879251362;418;38.59
n1;p30;w235;2;0;JRip;freq;none;simple;0.99;>0;0.906885911;0.825618188;418;42.75
n1;p30;w239;2;0;svmLinear2;freq;none;simple;0.99;>0;0.957121957;0.877082978;418;32.89
n1;p30;w234;2;0;J48;freq;none;simple;0.99;>0;0.914214651;0.835591148;418;36.49
n1;p30;w233;2;0;nnet;freq;none;simple;0.99;>0;0.945268393;0.864635619;418;35.39
n1;p30;w238;2;0;lda;freq;none;simple;0.99;>0;0.892214473;0.817227822;418;33.5
n1;p30;w237;2;0;C5.0Tree;freq;none;simple;0.99;>0;0.913638843;0.835983488;418;34.92
n1;p31;w244;2;0;knn;freq;none;simple;0.98;none;0.864540374;0.784354993;989;49.08
n1;p31;w248;2;0;ranger;freq;none;simple;0.98;none;0.962200958;0.882411212;989;31.9
n1;p31;w243;2;0;JRip;freq;none;simple;0.98;none;0.889414416;0.807506001;989;47.68
n1;p31;w247;2;0;svmLinear2;freq;none;simple;0.98;none;0.936800776;0.864033685;989;25.39
n1;p31;w242;2;0;J48;freq;none;simple;0.98;none;0.891643795;0.81499494;989;36.43
n1;p31;w241;2;0;nnet;freq;none;simple;0.98;none;0.938528137;0.854560244;989;42.48
n1;p31;w246;2;0;lda;freq;none;simple;0.98;none;0.773679815;0.70761395;989;35.53
n1;p31;w245;2;0;C5.0Tree;freq;none;simple;0.98;none;0.892205581;0.820826071;989;28.09
n1;p32;w252;2;0;knn;freq;none;simple;0.98;>0;0.846490569;0.780230213;313;26.06
n1;p32;w256;2;0;ranger;freq;none;simple;0.98;>0;0.959381835;0.883641236;313;26.83
n1;p32;w251;2;0;JRip;freq;none;simple;0.98;>0;0.908587845;0.835823439;313;28.19
n1;p32;w255;2;0;svmLinear2;freq;none;simple;0.98;>0;0.945832698;0.874945187;313;22.56
n1;p32;w250;2;0;J48;freq;none;simple;0.98;>0;0.91478281;0.844470363;313;24.51
n1;p32;w249;2;0;nnet;freq;none;simple;0.98;>0;0.936800753;0.865486331;313;23.74
n1;p32;w254;2;0;lda;freq;none;simple;0.98;>0;0.87245126;0.807171098;313;22.44
n1;p32;w253;2;0;C5.0Tree;freq;none;simple;0.98;>0;0.910823539;0.841354152;313;23.89
n1;p33;w260;2;0;knn;freq;default;none;0.99;none;0.874130241;0.78330563;1827;80.5
n1;p33;w264;2;0;ranger;freq;default;none;0.99;none;0.970662173;0.88412841;1827;41.89
n1;p33;w259;2;0;JRip;freq;default;none;0.99;none;0.895052661;0.798635303;1827;95.5
n1;p33;w263;2;0;svmLinear2;freq;default;none;0.99;none;0.945259433;0.866464145;1827;32.51
n1;p33;w258;2;0;J48;freq;default;none;0.99;none;0.902377576;0.813103697;1827;64.52
n1;p33;w257;2;0;nnet;freq;default;none;0.99;none;0.961062133;0.865211546;1827;66.86
n1;p33;w262;2;0;lda;freq;default;none;0.99;none;0.717858941;0.645346389;1827;70.77
n1;p33;w261;2;0;C5.0Tree;freq;default;none;0.99;none;0.900680744;0.824126771;1827;34.92
n1;p34;w268;2;0;knn;freq;default;none;0.99;>0;0.905745746;0.827546603;385;37.03
n1;p34;w272;2;0;ranger;freq;default;none;0.99;>0;0.965589527;0.883985353;385;34.19
n1;p34;w267;2;0;JRip;freq;default;none;0.99;>0;0.906344473;0.828649092;385;36.05
n1;p34;w271;2;0;svmLinear2;freq;default;none;0.99;>0;0.951472238;0.875807896;385;27.51
n1;p34;w266;2;0;J48;freq;default;none;0.99;>0;0.90578015;0.831472475;385;30.69
n1;p34;w265;2;0;nnet;freq;default;none;0.99;>0;0.958248083;0.880633409;385;29.33
n1;p34;w270;2;0;lda;freq;default;none;0.99;>0;0.89502211;0.823227628;385;28.35
n1;p34;w269;2;0;C5.0Tree;freq;default;none;0.99;>0;0.900135532;0.827206625;385;29.36
n1;p35;w276;2;0;knn;freq;default;none;0.98;none;0.871323857;0.795655538;855;37.86
n1;p35;w280;2;0;ranger;freq;default;none;0.98;none;0.967840508;0.891953306;855;26.21
n1;p35;w275;2;0;JRip;freq;default;none;0.98;none;0.89617242;0.816362349;855;41.72
n1;p35;w279;2;0;svmLinear2;freq;default;none;0.98;none;0.93058926;0.866664294;855;17.23
n1;p35;w274;2;0;J48;freq;default;none;0.98;none;0.900685834;0.83088827;855;25.19
n1;p35;w273;2;0;nnet;freq;default;none;0.98;none;0.936241521;0.861148206;855;28.34
n1;p35;w278;2;0;lda;freq;default;none;0.98;none;0.811525994;0.751952192;855;21.11
n1;p35;w277;2;0;C5.0Tree;freq;default;none;0.98;none;0.900685839;0.836212977;855;19.51
n1;p36;w284;2;0;knn;freq;default;none;0.98;>0;0.899535506;0.828159988;406;27.3
n1;p36;w288;2;0;ranger;freq;default;none;0.98;>0;0.968409932;0.895078997;406;23.33
n1;p36;w283;2;0;JRip;freq;default;none;0.98;>0;0.903487139;0.831020962;406;28.34
n1;p36;w287;2;0;svmLinear2;freq;default;none;0.98;>0;0.941315443;0.877273101;406;16.75
n1;p36;w282;2;0;J48;freq;default;none;0.98;>0;0.905206879;0.839046109;406;20.82
n1;p36;w281;2;0;nnet;freq;default;none;0.98;>0;0.953156314;0.887046549;406;17.73
n1;p36;w286;2;0;lda;freq;default;none;0.98;>0;0.896173703;0.83416964;406;17.6
n1;p36;w285;2;0;C5.0Tree;freq;default;none;0.98;>0;0.904074409;0.840092589;406;18.84
n1;p37;w292;2;0;knn;freq;default;simple;0.99;none;0.867926379;0.777640388;1655;80.94
n1;p37;w296;2;0;ranger;freq;default;simple;0.99;none;0.970100393;0.882109744;1655;44.85
n1;p37;w291;2;0;JRip;freq;default;simple;0.99;none;0.90799422;0.81031897;1655;94.86
n1;p37;w295;2;0;svmLinear2;freq;default;simple;0.99;none;0.946957525;0.864285808;1655;38.63
n1;p37;w290;2;0;J48;freq;default;simple;0.99;none;0.897289678;0.808908305;1655;63.29
n1;p37;w289;2;0;nnet;freq;default;simple;0.99;none;0.935641454;0.843112683;1655;64.41
n1;p37;w294;2;0;lda;freq;default;simple;0.99;none;0.69023328;0.621229467;1655;67.57
n1;p37;w293;2;0;C5.0Tree;freq;default;simple;0.99;none;0.903494805;0.824252593;1655;39.32
n1;p38;w300;2;0;knn;freq;default;simple;0.99;>0;0.905182683;0.824753845;369;41.35
n1;p38;w304;2;0;ranger;freq;default;simple;0.99;>0;0.965025199;0.880901899;369;38.41
n1;p38;w299;2;0;JRip;freq;default;simple;0.99;>0;0.9113955;0.830917874;369;40.36
n1;p38;w303;2;0;svmLinear2;freq;default;simple;0.99;>0;0.953741025;0.874064644;369;32.77
n1;p38;w298;2;0;J48;freq;default;simple;0.99;>0;0.921549723;0.84270337;369;35.79
n1;p38;w297;2;0;nnet;freq;default;simple;0.99;>0;0.953738494;0.873244691;369;34.02
n1;p38;w302;2;0;lda;freq;default;simple;0.99;>0;0.897287125;0.821954034;369;33.37
n1;p38;w301;2;0;C5.0Tree;freq;default;simple;0.99;>0;0.914770048;0.837235419;369;34.56
n1;p39;w308;2;0;knn;freq;default;simple;0.98;none;0.876951934;0.796767437;885;46.32
n1;p39;w312;2;0;ranger;freq;default;simple;0.98;none;0.964455769;0.884067105;885;32.5
n1;p39;w307;2;0;JRip;freq;default;simple;0.98;none;0.890529045;0.809424506;885;45.59
n1;p39;w311;2;0;svmLinear2;freq;default;simple;0.98;none;0.93566064;0.863385319;885;24.92
n1;p39;w306;2;0;J48;freq;default;simple;0.98;none;0.896161004;0.820897872;885;33.41
n1;p39;w305;2;0;nnet;freq;default;simple;0.98;none;0.952025104;0.868748524;885;38.92
n1;p39;w310;2;0;lda;freq;default;simple;0.98;none;0.795702929;0.730259855;885;30.97
n1;p39;w309;2;0;C5.0Tree;freq;default;simple;0.98;none;0.902931742;0.831218346;885;27.39
n1;p4;w28;2;0;knn;tf_idf;none;none;0.98;>0;0.924947207;0.847310924;555;33.34
n1;p4;w32;2;0;ranger;tf_idf;none;none;0.98;>0;0.961634076;0.885781794;555;26.75
n1;p4;w27;2;0;JRip;tf_idf;none;none;0.98;>0;0.858937741;0.787810043;555;31.74
n1;p4;w31;2;0;svmLinear2;tf_idf;none;none;0.98;>0;0.96500228;0.895538635;555;19.85
n1;p4;w26;2;0;J48;tf_idf;none;none;0.98;>0;0.871908545;0.804501351;555;24.99
