"setup_id","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50"
"11",145.65306122449,145.040816326531,143.183673469388,144.836734693878,144.938775510204,145.204081632653,144.816326530612,145.69387755102,147.224489795918,148.591836734694,145.224489795918,147.469387755102,146.551020408163,144.632653061224,143.897959183673,147.183673469388,146.367346938776,147.714285714286,144.571428571429,145.65306122449,146.816326530612,145.040816326531,144.530612244898,148.530612244898,147.34693877551,147.326530612245,146.673469387755,148.224489795918,147.795918367347,146.897959183673,145.551020408163,145.795918367347,143.836734693878,147.081632653061,148.775510204082,146.65306122449,147.734693877551,147.30612244898,147,147.897959183673,147.530612244898,146.918367346939,148.224489795918,147.30612244898,147.061224489796,149.183673469388,146.612244897959,145.469387755102,145.979591836735,146.448979591837
"12",198.489795918367,199.183673469388,197.367346938776,199.897959183673,199.408163265306,198.734693877551,198,198.489795918367,198.244897959184,198.469387755102,198.367346938776,198.244897959184,198.163265306122,198.469387755102,197.857142857143,199.081632653061,195.897959183673,200.204081632653,200.387755102041,196.244897959184,199.265306122449,198.285714285714,198.285714285714,197.367346938776,195.30612244898,196.65306122449,197.897959183673,197.040816326531,197.591836734694,196.734693877551,197.081632653061,197.34693877551,198.061224489796,196.775510204082,195.918367346939,195.836734693878,197.326530612245,195.734693877551,197.387755102041,196.30612244898,196.816326530612,197.081632653061,195.816326530612,197.632653061224,198.081632653061,200.34693877551,199.69387755102,198.877551020408,198.857142857143,198.387755102041
"13",112.489795918367,111.387755102041,112.142857142857,112.755102040816,112.081632653061,111.69387755102,112.285714285714,112.69387755102,112.102040816327,111.69387755102,112.020408163265,110.34693877551,111.122448979592,112.571428571429,112.265306122449,112.428571428571,111.489795918367,113.122448979592,110.897959183673,112.142857142857,111.918367346939,112.755102040816,112.551020408163,110.795918367347,109.877551020408,110.938775510204,108.367346938776,112.244897959184,109.408163265306,110.367346938776,111.979591836735,110.755102040816,110.571428571429,110.571428571429,107.857142857143,109.163265306122,110.959183673469,109.265306122449,112.714285714286,110.020408163265,110.612244897959,110.673469387755,110.877551020408,110.183673469388,112.612244897959,112.673469387755,111.285714285714,110.65306122449,110.326530612245,109.285714285714
"14",330.571428571429,329.69387755102,329.265306122449,330.448979591837,329.142857142857,328.755102040816,330.367346938775,329.836734693878,331.081632653061,330.897959183673,328.285714285714,330.244897959184,328.408163265306,330.040816326531,328.244897959184,331.244897959184,329.408163265306,331.755102040816,329.387755102041,329.061224489796,329.530612244898,329.326530612245,328.551020408163,328.367346938775,328.244897959184,328.673469387755,328.224489795918,328.265306122449,329.061224489796,329.102040816327,328.448979591837,329.183673469388,330.285714285714,329.979591836735,328.551020408163,328.387755102041,328.387755102041,328.244897959184,328.244897959184,328.530612244898,328.326530612245,328.244897959184,328.244897959184,328.224489795918,329.020408163265,328.979591836735,333.020408163265,330.551020408163,329.775510204082,330.877551020408
"15",294.204081632653,294.34693877551,294.224489795918,295.183673469388,294.755102040816,294.591836734694,294.591836734694,294.979591836735,294.265306122449,293.102040816327,293.673469387755,294.142857142857,293.795918367347,294.897959183673,293.877551020408,293.285714285714,293.612244897959,296.183673469388,293.734693877551,293.795918367347,293.959183673469,294.897959183673,293.183673469388,298.163265306122,292.816326530612,293.551020408163,294.081632653061,295.918367346939,294.816326530612,293.244897959184,295.244897959184,294.040816326531,294.020408163265,293.530612244898,296.857142857143,294.163265306122,293.857142857143,295.061224489796,293.530612244898,293.265306122449,293.34693877551,293.224489795918,293.183673469388,294.836734693878,294.30612244898,296.040816326531,295.755102040816,293.632653061225,295.632653061225,293.591836734694
"16",322.510204081633,322.061224489796,321.571428571429,322.285714285714,322.122448979592,321.326530612245,321.857142857143,322.775510204082,322.30612244898,322.795918367347,321.857142857143,321.632653061225,321.795918367347,321.857142857143,321.632653061225,323,320.959183673469,324.918367346939,321.959183673469,321.020408163265,321.714285714286,322.224489795918,322.938775510204,322.448979591837,321.448979591837,322.510204081633,322.632653061225,321.591836734694,322.69387755102,321.285714285714,321.326530612245,322.040816326531,321.755102040816,322.122448979592,324.142857142857,321.632653061225,322.367346938775,321.326530612245,322,322.816326530612,322.244897959184,321.816326530612,321.959183673469,321.142857142857,323.081632653061,323.285714285714,321.918367346939,321.510204081633,321.285714285714,321.489795918367
"17",189.612244897959,188.530612244898,194.061224489796,188.571428571429,188.918367346939,190.34693877551,190.102040816327,188.326530612245,188.530612244898,188.530612244898,195.204081632653,192.510204081633,195.265306122449,190.571428571429,194.795918367347,188.816326530612,194.755102040816,190.183673469388,190.591836734694,196.020408163265,191.714285714286,194.061224489796,188.387755102041,191.877551020408,194.408163265306,193.816326530612,194.65306122449,192.612244897959,193.65306122449,194.163265306122,190.122448979592,190.428571428571,188.836734693878,190.816326530612,194.224489795918,195.142857142857,193.755102040816,195.122448979592,193.061224489796,194,195.530612244898,193.163265306122,194.061224489796,193.530612244898,194.734693877551,188.34693877551,188.857142857143,194.755102040816,190.734693877551,195.183673469388
"18",162.816326530612,163.204081632653,161.918367346939,161.938775510204,161.714285714286,163.020408163265,163.387755102041,162.428571428571,162.040816326531,162.142857142857,161.020408163265,163.612244897959,161.918367346939,162.775510204082,160.918367346939,162.30612244898,162.775510204082,161.530612244898,163.408163265306,160.795918367347,162.816326530612,162.061224489796,161.510204081633,162.673469387755,162.69387755102,162.469387755102,163,161.244897959184,162.979591836735,161.183673469388,161.65306122449,163.081632653061,163.836734693878,164.081632653061,163.224489795918,163.102040816327,163.326530612245,162.530612244898,162.591836734694,163.040816326531,163.428571428571,161.959183673469,163.061224489796,162.979591836735,162.285714285714,162,161.142857142857,161.979591836735,163.469387755102,162.918367346939
"19",119.836734693878,119.020408163265,120.612244897959,120.102040816327,120.367346938776,118.734693877551,119.061224489796,119.734693877551,118.65306122449,119.69387755102,118.795918367347,118.469387755102,119.285714285714,120.571428571429,119.591836734694,118.122448979592,120.326530612245,118.69387755102,118.755102040816,119.061224489796,119.795918367347,119.632653061224,120.285714285714,118.632653061224,118.959183673469,119.938775510204,117.775510204082,119.918367346939,118.816326530612,116.612244897959,119.897959183673,117.367346938776,119.367346938776,116.244897959184,118.183673469388,116.408163265306,119.081632653061,118.081632653061,120.265306122449,118.183673469388,118,118.69387755102,119.061224489796,118.020408163265,119.775510204082,118.836734693878,117.938775510204,118.34693877551,118.081632653061,116.30612244898
"20",48.5510204081633,48.4897959183673,46.7551020408163,47.0204081632653,48.7142857142857,48.8163265306122,48.4897959183673,48.3469387755102,48.7959183673469,48.7142857142857,47.3877551020408,48.6326530612245,48.1224489795918,47.3469387755102,47.1224489795918,48.7142857142857,47.5102040816327,47.3469387755102,48.7551020408163,48.2857142857143,48.5102040816327,48.4489795918367,48.3265306122449,48.5102040816327,48.734693877551,49,48.6122448979592,48.6122448979592,48.6530612244898,48.6938775510204,48.469387755102,48.469387755102,48.3877551020408,48.5918367346939,48.6938775510204,48.1836734693878,48.9387755102041,48.2244897959184,48.8775510204082,48.8571428571429,49.0204081632653,48.8367346938776,48.8775510204082,48.8367346938776,48.8571428571429,48.5714285714286,47.1836734693878,46.9795918367347,46.4897959183673,45.6326530612245
