"L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49","L50"
0.012407759,0.00473684200000002,0.012570999,0.0194653259999999,0.011114195,0.019126858,0.011738764,0.014752605,0.0188215110000001,0.020314939,0.00828633999999995,0.028392791,0.00694861899999999,0.022070289,0.022294105,0.01466257,0.049500265,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038635913,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00949529299999996,0.007748168,0.03461552,0.00213216699999996,0.0137793279999999,0.030867078,0.01572074,0.02093689,0.023635874,0.015011801,0.011862711,0.02584734,0.032007792,0.0109057889999999,0.010493827,0.00176973000000002,0.00285714299999995,0.00604029099999992,0.01063919,0.00898398599999994
0.012407759,0.00473684200000002,0.012570999,0.0194653259999999,0.011114195,0.019126858,0.011738764,0.014752605,0.0132227660000001,0.020314939,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.022294105,0.01466257,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038635913,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00949529299999996,0.007748168,0.03461552,0.00213216699999996,0.01263081,0.030867078,0.01572074,0.02093689,0.023635874,0.015011801,0.011862711,0.02584734,0.032007792,0.0109057889999999,0.010493827,0.00176973000000002,0.00285714299999995,0.00604029099999992,0.01063919,0.00898398599999994
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.019126858,0.011738764,0.014752605,0.0132227660000001,0.020314939,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.022294105,0.01466257,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038635913,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00949529299999996,0.007748168,0.03461552,0.00213216699999996,0.01263081,0.030867078,0.01572074,0.02093689,0.023635874,0.015011801,0.011862711,0.02584734,0.032007792,0.0109057889999999,0.010493827,0.00176973000000002,0.00285714299999995,0.00604029099999992,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.019126858,0.011738764,0.014752605,0.0132227660000001,0.020314939,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.022294105,0.01466257,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038635913,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00760619699999998,0.007748168,0.03461552,0.00213216699999996,0.01263081,0.030867078,0.01572074,0.02093689,0.023635874,0.015011801,0.011862711,0.02584734,0.032007792,0.0109057889999999,0.010493827,0.00176973000000002,0.00285714299999995,0.00402820999999998,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.019126858,0.011735007,0.014752605,0.0132227660000001,0.019304871,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.022294105,0.01466257,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038431503,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00760619699999998,0.007748168,0.03461552,0.00213216699999996,0.01263081,0.030867078,0.01572074,0.02093689,0.023635874,0.015011801,0.011862711,0.02584734,0.031330491,0.0109057889999999,0.010493827,0.00112633299999998,0.00285714299999995,0.00402820999999998,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.019126858,0.011735007,0.014752605,0.0132227660000001,0.019304871,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.022294105,0.014099507,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038431503,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00759495300000002,0.00291071799999998,0.03461552,0.00213216699999996,0.01263081,0.030867078,0.0149014980000001,0.0200855910000001,0.023635874,0.015011801,0.011862711,0.02584734,0.031330491,0.0109057889999999,0.010493827,0.00112633299999998,0.00285714299999995,0.00402820999999998,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.019126858,0.011735007,0.014752605,0.0132227660000001,0.019304871,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.022294105,0.014099507,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038431503,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00759495300000002,0.00291071799999998,0.03461552,0.00213216699999996,0.01263081,0.030867078,0.0149014980000001,0.0200855910000001,0.023635874,0.015011801,0.011862711,0.02584734,0.031330491,0.0109057889999999,0.010493827,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.019126858,0.011735007,0.014752605,0.0132227660000001,0.019304871,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.00911478199999993,0.014099507,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038431503,0.018211625,0.0147119259999999,0.00399014599999992,0.01152555,0.00590590300000005,0.00759495300000002,0.00291071799999998,0.03461552,0.00213216699999996,0.01263081,0.022634728,0.0149014980000001,0.0200855910000001,0.023635874,0.015011801,0.011862711,0.02584734,0.031330491,0.0109057889999999,0.010493827,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.017116814,0.011735007,0.014752605,0.01170355,0.019304871,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.00911478199999993,0.014099507,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00337938800000004,0.038431503,0.01426745,0.0147119259999999,0.00399014599999992,0.01152555,0.00590590300000005,0.00759495300000002,0.00291071799999998,0.03461552,0.00213216699999996,0.00961579599999995,0.022634728,0.0149014980000001,0.0200855910000001,0.023635874,0.015011801,0.000395101000000064,0.000782625000000037,0.031330491,0.010600925,0.010493827,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.00757679599999994,0.017116814,0.011735007,0.014752605,0.01170355,0.019304871,0.00828633999999995,0.00668275699999998,0.00385862100000001,0.022070289,0.00911478199999993,0.014099507,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00337938800000004,0.00996282300000007,0.01426745,0.0147119259999999,0.00399014599999992,0.01152555,0.00590590300000005,0.00505369300000003,0.00291071799999998,0.03461552,0.00213216699999996,0.00961579599999995,0.022634728,0.000490301000000026,0.0200855910000001,0.00202668499999992,0.015011801,0.000395101000000064,0.000782625000000037,0.000676487999999975,0.010600925,0.010493827,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00568126799999991
