"n1";"n10";"n11";"n12";"n13";"n14";"n15";"n16";"n17";"n18";"n19";"n2";"n20";"n21";"n22";"n23";"n3";"n4";"n5";"n6";"n7";"n8";"n9";"o1";"o10";"o11";"o12";"o13";"o14";"o15";"o16";"o17";"o18";"o19";"o2";"o20";"o21";"o22";"o3";"o4";"o5";"o6";"o7";"o8";"o9";"r1";"r2";"r3";"r4";"r5"
"w108";0.834997003940607;0.829870999439898;0.746734873356354;0.833636966913288;0.855305131130306;0.824170255165717;0.854531756770392;0.848279739705407;0.825140405585548;0.785596923142725;0.762075854051768;0.794277904142812;0.743028892017094;0.831918566943069;0.75438721895381;0.840609329219672;0.647641153458739;0.715671531167098;0.762031660525409;0.675016063844996;0.806799050985726;0.84391396161917;0.77560209700899;0.707493685705515;0.620379638193643;0.653986920374509;0.766918286213353;0.778808513804544;0.763572929282277;0.802309811402917;0.824164583239168;0.833955521982649;0.844647821885936;0.757473825564729;0.689527040367296;0.694209065178015;0.738225980900526;0.638602987792406;0.718957910473235;0.681214454324953;0.748326031704277;0.778997122775072;0.697230430237373;0.785773836415613;0.751280403430798;0.814699668981929;0.912934674804453;0.873284978492958;0.815658356729175;0.779277994370091
"w109";0.830547329529052;0.809974126890217;0.725996182232735;0.794561922932153;0.820509199115094;0.812158815522204;0.84485885516269;0.843976755958068;0.842156816076717;0.828033338790175;0.75466492289837;0.814438825834847;0.759509757277975;0.802942907747837;0.718044382372376;0.846166406374258;0.702715909981587;0.715246625385895;0.722376348014056;0.698173222536156;0.806872133515099;0.838017558526211;0.746160400845736;0.796821609514971;0.695976411379593;0.707926579959739;0.793743600754549;0.83136547760913;0.797120890176757;0.831666775590292;0.84029195848754;0.84561234805944;0.812894672180867;0.80048517033197;0.796105165109089;0.748741828031058;0.786933017838085;0.717471979058113;0.768806649041654;0.738010672132461;0.788187693131628;0.808309641200472;0.768751757610907;0.818572170989316;0.782334401371946;0.856730505626703;0.908873868133321;0.866084681502825;0.812089760016921;0.786664734539217
"w11";0.789917691343646;0.803914219494565;0.6263576173843;0.753265414943202;0.802419898323398;0.793698039905892;0.800288959813061;0.776952269242083;0.809906569538502;0.806527705157217;0.705805864435991;0.809762562463051;0.730760984584839;0.740776152877242;0.640462253217724;0.821273990658007;0.625281635751238;0.67333060795985;0.736778421308814;0.614600220012087;0.792395828606045;0.774557115490025;0.694797960058586;0.782579393468157;0.659887792037066;0.663776235958876;0.804917487926851;0.780564939784065;0.796183257949555;0.809097299814175;0.779756985130849;0.819843620881727;0.796635024728954;0.768729300459593;0.794382182094195;0.72198619285741;0.758373772829633;0.684884325788773;0.678245217932632;0.719152610530877;0.766126275394578;0.783711106548401;0.727707553694881;0.803771058652986;0.724249243456144;0.847634991789939;0.909209624673408;0.86497753762035;0.813567303335737;0.791505466080543
"w110";0.872368329554386;0.867318428660076;0.775287121455834;0.855954731144241;0.891566843509785;0.861430387234463;0.877530513104023;0.889786865374633;0.860259657209759;0.86608670319952;0.841944979340506;0.840338139527045;0.83760739326532;0.866907675185472;0.827331708193234;0.875499912449991;0.716061233010291;0.756645817476977;0.802131121821542;0.74065196468826;0.864408380057041;0.884801971913527;0.825956366776583;0.828162373215542;0.740904185202077;0.747138039904404;0.834751475633445;0.867520831908103;0.833334816456973;0.845235749960691;0.872259166347198;0.875489992458074;0.845843313246715;0.813241754667733;0.81033404986955;0.790298592655009;0.830764770174231;0.76602381439498;0.817966773244149;0.779628673703073;0.828731290417875;0.855445384813735;0.810682105866123;0.859890736448561;0.819216358153141;0.897133743254509;0.914833770846346;0.8823020436049;0.847984117791985;0.801688564686824
"w111";0.87959499779195;0.865030687864082;0.741999864013713;0.845251567356658;0.882036226939296;0.851332958060291;0.877792545559441;0.880845396475141;0.874694232339044;0.884223909660082;0.826660387054458;0.844267584691973;0.822522647771552;0.857983004205897;0.790051930888199;0.896853336483776;0.718059923917525;0.755383347632389;0.801345601279168;0.726320826237626;0.863243992423705;0.874250037147262;0.81987389573352;0.77469840243338;0.72024112920436;0.737257015994007;0.813081127708166;0.826830160714533;0.81567732740286;0.845784895026124;0.843392648446892;0.87081137173808;0.85021269249831;0.822512965562995;0.782419425618032;0.755323132037626;0.802973061955615;0.702737224389707;0.792562741070893;0.770941505240946;0.810490820847419;0.837341636593644;0.784413337005787;0.835439026370497;0.811081987438323;0.877714103531174;0.922787003537973;0.907851174430942;0.828752688413464;0.847298899987228
"w112";0.879658775185591;0.870257790671491;0.786117203212865;0.865411574095611;0.889613063314311;0.861594063768829;0.886120236219206;0.887061879764037;0.876239716497008;0.872268196032111;0.828284599969284;0.852595257486008;0.82709619426628;0.87103130309918;0.800841414784819;0.887735066002809;0.74471063041377;0.751079151707902;0.802686139615013;0.762105132807324;0.868570216010716;0.882455762345258;0.805201716964747;0.809632331344926;0.707927248678567;0.719843400319009;0.811385125197101;0.859375257168368;0.82469420238545;0.848715357001251;0.86911076764178;0.874146414868098;0.856832312899334;0.820175657360223;0.789381186890377;0.776292690834435;0.800293101594258;0.743033841903592;0.791640256083903;0.740160158121292;0.800139232741986;0.833290826622187;0.777395569616667;0.852410955726228;0.806936441773925;0.885629819635746;0.938470914719676;0.918258869377655;0.859493969245557;0.859951514388692
"w113";0.881400646013274;0.876178728908506;0.65451515087056;0.8822037285835;0.892495924169821;0.850298429953679;0.879992436072559;0.905003029168868;0.885223661155336;0.891060919628338;0.666978745103156;0.814027260929722;0.674794164730885;0.858849113547683;0.642206252492097;0.898727966663099;0.602691351058348;0.773227331639541;0.778653887604948;0.482581259941431;0.828017842225165;0.813707348002743;0.828930113815947;0.793821768844677;0.585506667493006;0.656250094515813;0.738857671462687;0.816996348227435;0.774647091448573;0.789506085831995;0.854406659592696;0.862421421216966;0.86102692056961;0.801495033899221;0.754093114178935;0.576928644036999;0.754169529445257;0.569695054176667;0.7378118096768;0.690727760574138;0.675845559951895;0.784165528135567;0.717329244250494;0.791989493886697;0.731324295752096;0.905517975474503;0.945219392020219;0.812286308154983;0.835198601793661;0.660624142800644
"w114";0.825513486898158;0.809169187849472;0.720017458107867;0.819010491906039;0.84284870334479;0.806644091247085;0.826296949514655;0.843538765969969;0.84419091742974;0.830756699139495;0.770914357755551;0.796883409498092;0.761459780269735;0.799898861313698;0.73073496106955;0.852158466464993;0.64758992818793;0.756381065554884;0.732966004703463;0.687397746417414;0.810521925573844;0.839217331941284;0.757970926044665;0.786086942793512;0.648581106970755;0.679158467550139;0.768626228534351;0.827835418836006;0.778279177352842;0.821868566743651;0.828705180476456;0.819221778316135;0.780681107769118;0.739430929529778;0.772629025656083;0.691931972734224;0.756718435298618;0.670662682611327;0.741789393904811;0.705864862433943;0.758925239633639;0.795992248136282;0.72933516954208;0.797410882535053;0.774104734003178;0.873743779926797;0.922979739469436;0.872771472082549;0.799559743079421;0.778271733999566
"w115";0.800896028857876;0.804994924292408;0.590733669205098;0.767409484820394;0.776925121438771;0.804059542703583;0.824442644350075;0.804504499577686;0.831903203057494;0.803431530970698;0.73379717848879;0.806104313452059;0.724895151701915;0.728405704440395;0.656103050113201;0.849681928060665;0.584196414190086;0.730491186741583;0.735375133323117;0.640734452087655;0.791895857992271;0.806954513490444;0.695455072902126;0.782303177197064;0.634960915583725;0.636317429673261;0.787568901625901;0.785525428765012;0.774868087037528;0.822919769326807;0.776941827833076;0.83692741302077;0.780073537991974;0.800126119406411;0.779588757276794;0.731212554200599;0.751689906284457;0.670579698296402;0.693961524162973;0.715205572465296;0.773060871945978;0.779759974517471;0.721377620737695;0.803044419321236;0.733551108092205;0.863667172867954;0.916891298159459;0.865485149229286;0.813889247407663;0.799676605231562
"w116";0.782873074465308;0.755226215761108;0.690671382052737;0.799502531974515;0.74707360436298;0.695046625845994;0.783230972789243;0.780789358626783;0.762917812709904;0.772410600128719;0.71885780343168;0.703304115767899;0.695535305160648;0.778459259937953;0.671100183094749;0.79794432021661;0.619673145733651;0.716986777905685;0.6614125714557;0.581700859272344;0.760344924807893;0.774736017107694;0.694425361265183;0.696193732420712;0.490226945962664;0.555189990970706;0.682503760486538;0.726325877521757;0.706638477654234;0.689967439725857;0.734243818767881;0.740259970659075;0.739023374041995;0.671512174699922;0.672703578003568;0.583224257742821;0.613734604916836;0.57128222566945;0.598893250626737;0.583828671399408;0.620492781867432;0.637164805752884;0.633026746050473;0.686290726149551;0.663829131750207;0.838383947478717;0.907348241030276;0.857229517231918;0.808096524263678;0.787892717721092
"w117";0.818801216257673;0.803524794017268;0.720240455279068;0.813070445181817;0.825532750477264;0.800392810283558;0.819399790403594;0.836093033934135;0.840185621213021;0.828184274836143;0.767469462077133;0.796300352391789;0.752761899451273;0.790254090900422;0.726351714516869;0.845787963461707;0.650188244565922;0.761509050918147;0.716804997801066;0.68502802342492;0.80797955494538;0.832408518779275;0.74437864617051;0.793392616925327;0.675359337632902;0.703413550979504;0.786621016589012;0.828545406778718;0.766106085612254;0.806602339943944;0.809211735338984;0.805165327046719;0.779124157611421;0.742787152265302;0.789829128031164;0.682029115527785;0.769942768301861;0.681693235931618;0.754520899844169;0.728212026680826;0.765209512715915;0.787912814598952;0.743639496174809;0.810900923782501;0.792106399822157;0.864228867049891;0.911843253519531;0.862540643888496;0.78422199981292;0.772031732550973
"w118";0.822897088499579;0.789925311941581;0.710360771221031;0.55378429601921;0.8337876869657;0.800454743040188;0.832542096917567;0.813839563487025;0.851557138007117;0.871490756789076;0.813363312900014;0.692033397509512;0.810344895913572;0.827856298674082;0.775390602826743;0.868385314066699;0.628920547376161;0.752198353604347;0.736731755743193;0.701312702078089;0.844959441079448;0.843625822450323;0.786689959411081;0.825277973113747;0.675249071625886;0.684575250492658;0.759483185429084;0.801609144208691;0.763924642588731;0.77009094423874;0.76826304411552;0.672117640341413;0.654074053622436;0.56003635468781;0.800319697636256;0.624640853011152;0.79747995276312;0.700029023760231;0.778918673956924;0.74028038955053;0.787903583113143;0.799938512271525;0.766391495145237;0.805485127980374;0.78942139925575;0.906158903054734;0.829064997297286;0.465263098454723;0.71585536866568;0.511285016588006
"w119";0.873230907740288;0.87575924456622;0.772249151766563;0.866611225879206;0.868990351870234;0.825792518669318;0.883658174981995;0.890563058219263;0.881555468269663;0.896088047687715;0.823860281950682;0.80394308307993;0.827034738729509;0.858911409651111;0.784110854484026;0.900123648606658;0.668620959625544;0.764167166188998;0.745718577386084;0.670249438247966;0.854452399332675;0.881291771267563;0.802572794394205;0.755864526733965;0.564928688972775;0.62156907110135;0.738232099628091;0.799954468748699;0.758944135075272;0.775476366650157;0.821365862069889;0.850079344634304;0.82162821767754;0.779266629689587;0.738193273935353;0.699258774180012;0.732431560970466;0.623596058712912;0.716764615054044;0.68079231502054;0.715511564108428;0.740805876788345;0.683452224153929;0.776263111430019;0.729528365161352;0.888881425634919;0.932404166509274;0.881756044032049;0.791045183939625;0.797214804424361
"w12";0.858885361716949;0.818737055495257;0.731250223691091;0.841044529182207;0.849049735197084;0.826770080995306;0.85089067706195;0.860849611512452;0.802020311602151;0.802934080812747;0.7619095313355;0.814931905831802;0.751763870412977;0.835426948738426;0.743190700852093;0.856283989665257;0.654610000062058;0.728621290995045;0.783234238289487;0.665436559688046;0.817380105336789;0.830155531476451;0.771838118899646;0.692809288448939;0.587853788926291;0.647329292039884;0.753199105237408;0.780523714637569;0.770238263605059;0.778188872058522;0.804756844429992;0.790401514187986;0.83130390022771;0.740752806300154;0.689952037011044;0.682335436611362;0.729625520283323;0.626963529673693;0.713951649476078;0.663057495953431;0.710464116826235;0.773519810509941;0.695133066047602;0.760900629226387;0.724503223277431;0.818300778100939;0.908613029594982;0.875832785196359;0.822958340170229;0.771343302551933
