"data";"workflow";"accuracy"
"n1";"w170";0.902355917
"n1";"w169";0.961630257
"n1";"w174";0.958235332
"n1";"w173";0.909696102
"n1";"w180";0.865116211
"n1";"w184";0.966706727
"n1";"w179";0.902925341
"n1";"w183";0.954854423
"n1";"w178";0.908561044
"n1";"w177";0.957111777
"n1";"w182";0.923241426
"n1";"w181";0.91082603
"n1";"w188";0.914243942
"n1";"w192";0.96445321
"n1";"w187";0.890521425
"n1";"w191";0.939631379
"n1";"w186";0.904619637
"n1";"w185";0.945253095
"n1";"w190";0.955992006
"n1";"w189";0.905749565
"n1";"w196";0.872441057
"n1";"w200";0.965026458
"n1";"w195";0.89503229
"n1";"w199";0.94638683
"n1";"w194";0.885990188
"n1";"w193";0.948656911
"n1";"w198";0.719558368
"n1";"w197";0.887685744
"n1";"w204";0.827847093
"n1";"w208";0.957124487
"n1";"w203";0.897306219
"n1";"w207";0.950914264
"n1";"w202";0.901232327
"n1";"w201";0.942997018
"n1";"w206";0.89106667
"n1";"w205";0.902938086
"n1";"w212";0.853819309
"n1";"w216";0.962200958
"n1";"w211";0.873590073
"n1";"w215";0.929466952
"n1";"w210";0.889386396
"n1";"w209";0.94638434
"n1";"w214";0.806445687
"n1";"w213";0.892768587
"n1";"w220";0.836882811
"n1";"w224";0.960510497
"n1";"w219";0.88658888
"n1";"w223";0.949213607
"n1";"w218";0.902377582
"n1";"w217";0.940752421
"n1";"w222";0.889387678
"n1";"w221";0.909712654
"n1";"w228";0.882600365
"n1";"w232";0.967281258
"n1";"w227";0.885442412
"n1";"w231";0.941875959
"n1";"w226";0.900107547
"n1";"w225";0.907518932
"n1";"w230";0.687978451
"n1";"w229";0.898409438
"n1";"w20";0.87131243
"n1";"w24";0.961068465
"n1";"w19";0.871891999
"n1";"w23";0.949771586
"n1";"w18";0.873035948
"n1";"w17";0.958235338
"n1";"w22";0.850434576
"n1";"w21";0.875295843
"n1";"w236";0.848736432
"n1";"w240";0.963329632
"n1";"w235";0.906885911
"n1";"w239";0.957121957
"n1";"w234";0.914214651
"n1";"w233";0.945268393
"n1";"w238";0.892214473
"n1";"w237";0.913638843
"n1";"w244";0.864540374
"n1";"w248";0.962200958
"n1";"w243";0.889414416
"n1";"w247";0.936800776
"n1";"w242";0.891643795
"n1";"w241";0.938528137
"n1";"w246";0.773679815
"n1";"w245";0.892205581
"n1";"w252";0.846490569
"n1";"w256";0.959381835
"n1";"w251";0.908587845
"n1";"w255";0.945832698
"n1";"w250";0.91478281
"n1";"w249";0.936800753
"n1";"w254";0.87245126
"n1";"w253";0.910823539
"n1";"w260";0.874130241
"n1";"w264";0.970662173
"n1";"w259";0.895052661
"n1";"w263";0.945259433
"n1";"w258";0.902377576
"n1";"w257";0.961062133
"n1";"w262";0.717858941
"n1";"w261";0.900680744
"n1";"w268";0.905745746
"n1";"w272";0.965589527
"n1";"w267";0.906344473
"n1";"w271";0.951472238
"n1";"w266";0.90578015
"n1";"w265";0.958248083
"n1";"w270";0.89502211
"n1";"w269";0.900135532
"n1";"w276";0.871323857
"n1";"w280";0.967840508
"n1";"w275";0.89617242
"n1";"w279";0.93058926
"n1";"w274";0.900685834
"n1";"w273";0.936241521
"n1";"w278";0.811525994
"n1";"w277";0.900685839
"n1";"w284";0.899535506
"n1";"w288";0.968409932
"n1";"w283";0.903487139
"n1";"w287";0.941315443
"n1";"w282";0.905206879
"n1";"w281";0.953156314
"n1";"w286";0.896173703
"n1";"w285";0.904074409
"n1";"w292";0.867926379
"n1";"w296";0.970100393
"n1";"w291";0.90799422
"n1";"w295";0.946957525
"n1";"w290";0.897289678
"n1";"w289";0.935641454
"n1";"w294";0.69023328
"n1";"w293";0.903494805
"n1";"w300";0.905182683
"n1";"w304";0.965025199
"n1";"w299";0.9113955
"n1";"w303";0.953741025
"n1";"w298";0.921549723
"n1";"w297";0.953738494
"n1";"w302";0.897287125
"n1";"w301";0.914770048
"n1";"w308";0.876951934
"n1";"w312";0.964455769
"n1";"w307";0.890529045
"n1";"w311";0.93566064
"n1";"w306";0.896161004
"n1";"w305";0.952025104
"n1";"w310";0.795702929
"n1";"w309";0.902931742
"n1";"w28";0.924947207
"n1";"w32";0.961634076
"n1";"w27";0.858937741
"n1";"w31";0.96500228
"n1";"w26";0.871908545
"n1";"w25";0.967269808
"n1";"w30";0.945264545
"n1";"w29";0.874170994
"n1";"w316";0.896160975
"n1";"w320";0.96502138
"n1";"w315";0.914229898
"n1";"w319";0.941888715
"n1";"w314";0.914204443
"n1";"w313";0.940760024
"n1";"w318";0.883165976
"n1";"w317";0.923812155
"n1";"w324";0.885986387
"n1";"w328";0.972352633
"n1";"w323";0.899557142
"n1";"w327";0.943007192
"n1";"w322";0.906885917
"n1";"w321";0.953179267
"n1";"w326";0.647313212
"n1";"w325";0.90858019
"n1";"w332";0.929463134
"n1";"w336";0.970660902
"n1";"w331";0.917608282
"n1";"w335";0.952033995
"n1";"w330";0.907459148
"n1";"w329";0.960509203
"n1";"w334";0.891087064
"n1";"w333";0.909145795
"n1";"w340";0.883178721
"n1";"w344";0.968965352
"n1";"w339";0.895065371
"n1";"w343";0.921559874
"n1";"w338";0.906890995
"n1";"w337";0.957104116
"n1";"w342";0.847066314
"n1";"w341";0.902940645
"n1";"w348";0.91590889
"n1";"w352";0.968402283
"n1";"w347";0.912531788
"n1";"w351";0.943560047
"n1";"w346";0.90520689
"n1";"w345";0.943574062
"n1";"w350";0.886571086
"n1";"w349";0.905769953
"n1";"w356";0.880349407
"n1";"w360";0.976305531
"n1";"w355";0.910805642
"n1";"w359";0.945268364
"n1";"w354";0.910254075
"n1";"w353";0.966141128
"n1";"w358";0.605558805
"n1";"w357";0.907436224
"n1";"w364";0.927762465
"n1";"w368";0.967843045
"n1";"w363";0.907454041
"n1";"w367";0.946970264
"n1";"w362";0.91759426
"n1";"w361";0.959938532
"n1";"w366";0.892777542
"n1";"w365";0.917033745
"n1";"w372";0.895587721
"n1";"w376";0.969530957
"n1";"w371";0.89783746
"n1";"w375";0.937365111
"n1";"w370";0.912517795
"n1";"w369";0.960491398
"n1";"w374";0.838035703
"n1";"w373";0.909689753
"n1";"w380";0.919305068
"n1";"w384";0.965583161
"n1";"w379";0.906873178
"n1";"w383";0.941887409
"n1";"w378";0.918726753
"n1";"w377";0.920970114
"n1";"w382";0.87300538
"n1";"w381";0.915902529
"n1";"w36";0.869060172
"n1";"w40";0.965021363
"n1";"w35";0.878688243
"n1";"w39";0.974036744
"n1";"w34";0.895031025
"n1";"w33";0.980817691
"n1";"w38";0.813413658
"n1";"w37";0.896159699
"n1";"w44";0.930594373
"n1";"w48";0.95656143
"n1";"w43";0.887721431
"n1";"w47";0.962190784
"n1";"w42";0.911395488
"n1";"w41";0.970662185
"n1";"w46";0.94978432
"n1";"w45";0.909703751
"n1";"w52";0.865104732
"n1";"w56";0.963888882
"n1";"w51";0.882072948
"n1";"w55";0.956542342
"n1";"w50";0.897288367
"n1";"w49";0.967260893
"n1";"w54";0.875283093
"n1";"w53";0.896722762
"n1";"w60";0.928910296
"n1";"w64";0.959379287
"n1";"w59";0.866826985
"n1";"w63";0.948649267
"n1";"w58";0.901809429
"n1";"w57";0.854977504
"n1";"w62";0.948651821
"n1";"w61";0.902364843
"n1";"w68";0.833507049
"n1";"w72";0.96727744
"n1";"w67";0.892227166
"n1";"w71";0.965020115
"n1";"w66";0.870787543
"n1";"w65";0.98081386
"n1";"w70";0.795909024
"n1";"w69";0.871335302
"n10";"w7";0.946315789
"n10";"w4";0.813684211
"n10";"w2";0.868421053
"n10";"w6";0.838947368
"n10";"w3";0.877368421
"n10";"w8";0.961052632
"n10";"w1";0.951578947
"n10";"w5";0.874210526
"n10";"w79";0.935263158
"n10";"w76";0.903157895
"n10";"w74";0.885263158
"n10";"w78";0.936842105
"n10";"w75";0.903684211
"n10";"w80";0.945789474
"n10";"w73";0.951578947
"n10";"w77";0.883684211
"n10";"w87";0.948947368
"n10";"w84";0.831578947
"n10";"w82";0.879473684
"n10";"w86";0.863684211
"n10";"w83";0.894736842
"n10";"w88";0.955789474
"n10";"w81";0.943157895
"n10";"w85";0.86
"n10";"w95";0.934736842
"n10";"w92";0.887368421
"n10";"w90";0.881578947
"n10";"w94";0.944736842
"n10";"w91";0.898947368
"n10";"w96";0.954210526
"n10";"w89";0.941578947
"n10";"w93";0.887368421
"n10";"w103";0.965263158
"n10";"w100";0.813684211
"n10";"w98";0.886842105
"n10";"w102";0.755789474
"n10";"w99";0.894210526
"n10";"w104";0.965789474
"n10";"w97";0.956842105
"n10";"w101";0.891052632
"n10";"w111";0.946842105
"n10";"w108";0.912105263
"n10";"w106";0.893684211
"n10";"w110";0.949473684
"n10";"w107";0.906842105
"n10";"w112";0.957368421
"n10";"w105";0.949473684
"n10";"w109";0.891578947
"n10";"w119";0.957368421
"n10";"w116";0.837368421
"n10";"w114";0.888947368
"n10";"w118";0.866842105
"n10";"w115";0.889473684
"n10";"w120";0.963157895
"n10";"w113";0.957894737
"n10";"w117";0.890526316
"n10";"w127";0.940526316
"n10";"w124";0.902105263
"n10";"w122";0.894736842
"n10";"w126";0.948947368
"n10";"w123";0.904736842
"n10";"w128";0.951578947
"n10";"w121";0.945789474
"n10";"w125";0.891578947
"n10";"w135";0.954210526
"n10";"w132";0.808947368
"n10";"w130";0.881578947
"n10";"w134";0.737894737
"n10";"w131";0.902105263
"n10";"w136";0.958421053
"n10";"w129";0.943684211
"n10";"w133";0.890526316
"n10";"w143";0.934736842
"n10";"w140";0.910526316
"n10";"w138";0.881578947
"n10";"w142";0.932631579
"n10";"w139";0.911578947
"n10";"w144";0.95
"n10";"w137";0.946315789
"n10";"w141";0.888421053
"n10";"w151";0.947894737
"n10";"w148";0.841578947
"n10";"w146";0.882631579
"n10";"w150";0.903684211
"n10";"w147";0.909473684
"n10";"w152";0.955789474
"n10";"w145";0.954736842
"n10";"w149";0.886842105
"n10";"w15";0.924736842
"n10";"w12";0.898421053
"n10";"w10";0.877368421
"n10";"w14";0.937368421
"n10";"w11";0.881578947
"n10";"w16";0.948421053
"n10";"w9";0.943684211
"n10";"w13";0.882105263
"n10";"w159";0.948947368
"n10";"w156";0.892631579
"n10";"w154";0.890526316
"n10";"w158";0.951578947
"n10";"w155";0.908421053
"n10";"w160";0.956842105
"n10";"w153";0.949473684
"n10";"w157";0.889473684
"n10";"w167";0.962105263
"n10";"w164";0.833157895
"n10";"w162";0.895789474
"n10";"w166";0.678421053
"n10";"w163";0.894210526
"n10";"w168";0.964736842
"n10";"w161";0.942631579
"n10";"w165";0.897368421
"n10";"w175";0.941052632
"n10";"w172";0.915263158
"n10";"w170";0.882631579
"n10";"w174";0.947894737
"n10";"w171";0.913157895
"n10";"w176";0.961052632
"n10";"w169";0.841052632
"n10";"w173";0.88
"n10";"w183";0.947368421
"n10";"w180";0.845789474
"n10";"w178";0.888421053
"n10";"w182";0.905789474
"n10";"w179";0.908947368
"n10";"w184";0.961578947
"n10";"w177";0.955263158
"n10";"w181";0.898947368
"n10";"w191";0.938947368
"n10";"w188";0.910526316
"n10";"w186";0.887368421
"n10";"w190";0.945789474
"n10";"w187";0.906842105
"n10";"w192";0.952631579
"n10";"w185";0.942631579
"n10";"w189";0.883684211
"n10";"w199";0.912105263
"n10";"w196";0.813684211
"n10";"w194";0.877894737
"n10";"w198";0.701578947
"n10";"w195";0.881578947
"n10";"w200";0.959473684
"n10";"w193";0.928421053
"n10";"w197";0.881578947
"n10";"w207";0.937894737
"n10";"w204";0.800526316
"n10";"w202";0.885263158
"n10";"w206";0.87
"n10";"w203";0.888947368
"n10";"w208";0.948421053
"n10";"w201";0.913157895
"n10";"w205";0.881578947
"n10";"w215";0.905789474
"n10";"w212";0.798947368
"n10";"w210";0.875263158
"n10";"w214";0.736842105
"n10";"w211";0.889473684
"n10";"w216";0.956315789
"n10";"w209";0.886842105
"n10";"w213";0.880526316
"n10";"w223";0.921052632
"n10";"w220";0.771052632
"n10";"w218";0.877368421
"n10";"w222";0.86
"n10";"w219";0.906315789
"n10";"w224";0.948947368
"n10";"w217";0.910526316
"n10";"w221";0.886315789
"n10";"w231";0.921578947
"n10";"w228";0.829473684
"n10";"w226";0.892105263
"n10";"w230";0.692105263
"n10";"w227";0.882631579
"n10";"w232";0.961578947
"n10";"w225";0.945263158
"n10";"w229";0.898947368
"n10";"w23";0.953157895
"n10";"w20";0.852105263
"n10";"w18";0.871052632
"n10";"w22";0.841578947
"n10";"w19";0.87
"n10";"w24";0.954210526
"n10";"w17";0.95
"n10";"w21";0.867894737
"n10";"w239";0.935789474
"n10";"w236";0.813684211
"n10";"w234";0.893684211
"n10";"w238";0.872105263
"n10";"w235";0.908421053
"n10";"w240";0.951052632
"n10";"w233";0.937368421
"n10";"w237";0.9
"n10";"w247";0.923157895
"n10";"w244";0.835263158
"n10";"w242";0.891578947
"n10";"w246";0.69
"n10";"w243";0.896842105
"n10";"w248";0.96
"n10";"w241";0.869473684
"n10";"w245";0.897894737
"n10";"w255";0.929473684
"n10";"w252";0.804736842
"n10";"w250";0.895789474
"n10";"w254";0.861052632
"n10";"w251";0.896315789
"n10";"w256";0.948421053
"n10";"w249";0.925263158
"n10";"w253";0.896842105
"n10";"w263";0.910526316
"n10";"w260";0.834736842
"n10";"w258";0.882105263
"n10";"w262";0.681052632
"n10";"w259";0.898421053
"n10";"w264";0.962105263
"n10";"w257";0.952631579
"n10";"w261";0.885263158
"n10";"w271";0.938421053
"n10";"w268";0.887368421
"n10";"w266";0.885789474
"n10";"w270";0.874210526
"n10";"w267";0.917368421
"n10";"w272";0.947894737
"n10";"w265";0.927368421
"n10";"w269";0.883157895
"n10";"w279";0.905263158
"n10";"w276";0.831052632
"n10";"w274";0.881578947
"n10";"w278";0.770526316
"n10";"w275";0.894736842
"n10";"w280";0.955263158
"n10";"w273";0.939473684
"n10";"w277";0.881578947
"n10";"w287";0.924736842
"n10";"w284";0.869473684
"n10";"w282";0.893684211
"n10";"w286";0.855263158
"n10";"w283";0.917368421
"n10";"w288";0.948421053
"n10";"w281";0.933684211
"n10";"w285";0.890526316
"n10";"w295";0.918421053
"n10";"w292";0.853684211
"n10";"w290";0.885263158
"n10";"w294";0.661052632
"n10";"w291";0.904210526
"n10";"w296";0.965789474
"n10";"w289";0.964210526
"n10";"w293";0.884210526
"n10";"w303";0.937894737
"n10";"w300";0.901578947
"n10";"w298";0.903684211
"n10";"w302";0.869473684
"n10";"w299";0.905263158
"n10";"w304";0.951578947
"n10";"w297";0.955789474
"n10";"w301";0.897894737
"n10";"w311";0.915789474
"n10";"w308";0.856842105
"n10";"w306";0.881052632
"n10";"w310";0.756315789
"n10";"w307";0.894736842
"n10";"w312";0.961052632
"n10";"w305";0.956315789
"n10";"w309";0.884210526
"n10";"w31";0.943684211
"n10";"w28";0.91
"n10";"w26";0.874210526
"n10";"w30";0.947894737
"n10";"w27";0.892631579
"n10";"w32";0.952105263
"n10";"w25";0.960526316
"n10";"w29";0.877368421
"n10";"w319";0.931052632
"n10";"w316";0.900526316
"n10";"w314";0.896315789
"n10";"w318";0.865789474
"n10";"w315";0.906315789
"n10";"w320";0.948947368
"n10";"w313";0.937894737
"n10";"w317";0.893157895
"n10";"w327";0.908947368
"n10";"w324";0.83
"n10";"w322";0.895263158
"n10";"w326";0.68
"n10";"w323";0.911052632
"n10";"w328";0.96
"n10";"w321";0.95
"n10";"w325";0.898421053
"n10";"w335";0.94
"n10";"w332";0.905263158
"n10";"w330";0.882105263
"n10";"w334";0.867368421
"n10";"w331";0.916315789
"n10";"w336";0.948421053
"n10";"w329";0.939473684
"n10";"w333";0.885263158
"n10";"w343";0.903684211
"n10";"w340";0.840526316
"n10";"w338";0.892631579
"n10";"w342";0.811052632
"n10";"w339";0.906315789
"n10";"w344";0.956315789
"n10";"w337";0.934736842
"n10";"w341";0.890526316
"n10";"w351";0.937368421
"n10";"w348";0.881052632
"n10";"w346";0.893157895
"n10";"w350";0.858947368
"n10";"w347";0.918947368
"n10";"w352";0.946842105
"n10";"w345";0.939473684
"n10";"w349";0.895263158
"n10";"w359";0.915789474
"n10";"w356";0.848947368
"n10";"w354";0.888947368
"n10";"w358";0.660526316
"n10";"w355";0.907894737
"n10";"w360";0.964736842
"n10";"w353";0.963684211
"n10";"w357";0.894210526
"n10";"w367";0.941578947
"n10";"w364";0.909473684
"n10";"w362";0.901578947
"n10";"w366";0.862105263
"n10";"w363";0.907894737
"n10";"w368";0.952105263
"n10";"w361";0.946842105
"n10";"w365";0.896842105
"n10";"w375";0.912631579
"n10";"w372";0.847368421
"n10";"w370";0.884736842
"n10";"w374";0.785789474
"n10";"w371";0.906315789
"n10";"w376";0.963157895
"n10";"w369";0.941052632
"n10";"w373";0.887894737
"n10";"w383";0.934736842
"n10";"w380";0.906315789
"n10";"w378";0.896315789
"n10";"w382";0.854736842
"n10";"w379";0.906842105
"n10";"w384";0.947894737
"n10";"w377";0.943684211
"n10";"w381";0.892631579
"n10";"w39";0.958421053
"n10";"w36";0.830526316
"n10";"w34";0.881052632
"n10";"w38";0.772631579
"n10";"w35";0.888421053
"n10";"w40";0.962105263
"n10";"w33";0.965789474
"n10";"w37";0.887894737
"n10";"w47";0.939473684
"n10";"w44";0.907368421
"n10";"w42";0.89
"n10";"w46";0.95
"n10";"w43";0.891578947
"n10";"w48";0.956842105
"n10";"w41";0.951052632
"n10";"w45";0.895263158
"n10";"w55";0.955263158
"n10";"w52";0.859473684
"n10";"w50";0.88
"n10";"w54";0.843157895
"n10";"w51";0.888421053
"n10";"w56";0.961052632
"n10";"w49";0.965789474
"n10";"w53";0.888421053
"n10";"w63";0.933157895
"n10";"w60";0.904736842
"n10";"w58";0.891052632
"n10";"w62";0.95
"n10";"w59";0.892631579
"n10";"w64";0.951052632
"n10";"w57";0.947894737
"n10";"w61";0.893684211
"n10";"w71";0.954210526
"n10";"w68";0.795263158
"n10";"w66";0.883157895
"n10";"w70";0.783684211
"n10";"w67";0.89
"n10";"w72";0.958421053
"n10";"w65";0.956842105
"n10";"w69";0.872105263
"n11";"w4";0.767234079
"n11";"w3";0.646477777
"n11";"w8";0.892575152
"n11";"w6";0.492598471
"n11";"w2";0.812946644
"n11";"w5";0.815613167
"n11";"w1";0.829705656
"n11";"w7";0.877721628
"n11";"w76";0.810665279
"n11";"w75";0.702471276
"n11";"w80";0.877717568
"n11";"w78";0.853331384
"n11";"w74";0.794289685
"n11";"w77";0.787052312
"n11";"w73";0.806475526
"n11";"w79";0.822477563
"n11";"w84";0.769143047
"n11";"w83";0.678855988
"n11";"w88";0.887619144
"n11";"w86";0.759619668
"n11";"w82";0.805336294
"n11";"w85";0.812959405
"n11";"w81";0.704772362
"n11";"w87";0.849142211
"n11";"w92";0.812562646
"n11";"w91";0.692950217
"n11";"w96";0.874667627
"n11";"w94";0.845711753
"n11";"w90";0.811812052
"n11";"w93";0.806476686
"n11";"w89";0.767239879
"n11";"w95";0.804947076
"n11";"w100";0.776762098
"n11";"w99";0.70971851
"n11";"w104";0.897143682
"n11";"w102";0.582546196
"n11";"w98";0.825148727
"n11";"w101";0.821717688
"n11";"w97";0.763035045
"n11";"w103";0.885718296
"n11";"w108";0.83694767
"n11";"w107";0.719239568
"n11";"w112";0.87885854
"n11";"w110";0.860561797
"n11";"w106";0.805716231
"n11";"w109";0.8106705
"n11";"w105";0.812187929
"n11";"w111";0.826662096
"n11";"w116";0.783614313
"n11";"w115";0.672006673
"n11";"w120";0.888382499
"n11";"w118";0.793906267
"n11";"w114";0.806096169
"n11";"w117";0.810287082
"n11";"w113";0.731391766
"n11";"w119";0.867440115
"n11";"w124";0.83999123
"n11";"w123";0.719619506
"n11";"w128";0.87428595
"n11";"w126";0.855238032
"n11";"w122";0.81676342
"n11";"w125";0.822478143
"n11";"w121";0.789708394
"n11";"w127";0.813328902
"n11";"w132";0.747438468
"n11";"w131";0.711248701
"n11";"w136";0.895622773
"n11";"w134";0.590125223
"n11";"w130";0.814481475
"n11";"w133";0.808386235
"n11";"w129";0.792379557
"n11";"w135";0.868572967
"n11";"w140";0.813331222
"n11";"w139";0.723054604
"n11";"w144";0.871236589
"n11";"w142";0.852949707
"n11";"w138";0.782482621
"n11";"w141";0.781339909
"n11";"w137";0.794297806
"n11";"w143";0.825141766
"n11";"w148";0.777150736
"n11";"w147";0.673141845
"n11";"w152";0.887240946
"n11";"w150";0.799991647
"n11";"w146";0.808006297
"n11";"w149";0.809910625
"n11";"w145";0.731784465
"n11";"w151";0.850670662
"n11";"w12";0.819050586
"n11";"w11";0.703615728
"n11";"w16";0.875049305
"n11";"w14";0.851045959
"n11";"w10";0.798475378
"n11";"w13";0.794285045
"n11";"w9";0.814484376
"n11";"w15";0.816377102
"n11";"w156";0.809903084
"n11";"w155";0.697526288
"n11";"w160";0.876193758
"n11";"w158";0.846094591
"n11";"w154";0.81067282
"n11";"w157";0.81219663
"n11";"w153";0.77486183
"n11";"w159";0.822858081
"n11";"w164";0.776764418
"n11";"w163";0.713906523
"n11";"w168";0.896764905
"n11";"w166";0.560377571
"n11";"w162";0.812961726
"n11";"w165";0.802291574
"n11";"w161";0.732186444
"n11";"w167";0.879620735
"n11";"w172";0.828950421
"n11";"w171";0.721133455
"n11";"w176";0.871998204
"n11";"w174";0.855611589
"n11";"w170";0.807240622
"n11";"w173";0.803433126
"n11";"w169";0.789323816
"n11";"w175";0.825901061
"n11";"w180";0.79200368
"n11";"w179";0.694470547
"n11";"w184";0.889144694
"n11";"w182";0.805331653
"n11";"w178";0.811049277
"n11";"w181";0.804193581
"n11";"w177";0.74857596
"n11";"w183";0.864764891
"n11";"w188";0.832764877
"n11";"w187";0.69866494
"n11";"w192";0.87885796
"n11";"w190";0.858286233
"n11";"w186";0.809140309
"n11";"w189";0.812952445
"n11";"w185";0.775621125
"n11";"w191";0.819424723
"n11";"w196";0.732565222
"n11";"w195";0.689903757
"n11";"w200";0.902098531
"n11";"w198";0.518855338
"n11";"w194";0.812951865
"n11";"w197";0.814093417
"n11";"w193";0.611848944
"n11";"w199";0.825903961
"n11";"w204";0.815617227
"n11";"w203";0.719618926
"n11";"w208";0.868572386
"n11";"w206";0.806095009
"n11";"w202";0.796950987
"n11";"w205";0.796188792
"n11";"w201";0.754643358
"n11";"w207";0.828956222
"n11";"w212";0.728371408
"n11";"w211";0.65219308
"n11";"w216";0.891810637
"n11";"w214";0.605326201
"n11";"w210";0.792376077
"n11";"w213";0.790473489
"n11";"w209";0.646873376
"n11";"w215";0.807998756
"n11";"w220";0.666664926
"n11";"w219";0.667804159
"n11";"w224";0.869335742
"n11";"w222";0.769905242
"n11";"w218";0.79961751
"n11";"w221";0.798473058
"n11";"w217";0.619848512
"n11";"w223";0.808000497
"n11";"w228";0.750469266
"n11";"w227";0.697527448
"n11";"w232";0.905144991
"n11";"w230";0.455622146
"n11";"w226";0.811433275
"n11";"w229";0.814098058
"n11";"w225";0.652197721
"n11";"w231";0.821710148
"n11";"w20";0.785142184
"n11";"w19";0.642291504
"n11";"w24";0.881143385
"n11";"w22";0.737137232
"n11";"w18";0.806480747
"n11";"w21";0.803047968
"n11";"w17";0.777509791
"n11";"w23";0.851811635
"n11";"w236";0.815992524
"n11";"w235";0.721520933
"n11";"w240";0.869330521
"n11";"w238";0.797328025
"n11";"w234";0.807233081
"n11";"w237";0.810662959
"n11";"w233";0.687991888
"n11";"w239";0.825134805
"n11";"w244";0.747418166
"n11";"w243";0.693724013
"n11";"w248";0.893715545
"n11";"w246";0.619054994
"n11";"w242";0.794294326
"n11";"w245";0.795815816
"n11";"w241";0.622075352
"n11";"w247";0.820188078
"n11";"w252";0.688375306
"n11";"w251";0.668958473
"n11";"w256";0.876571955
"n11";"w254";0.773723758
"n11";"w250";0.809905404
"n11";"w253";0.806480167
"n11";"w249";0.649140239
"n11";"w255";0.810286502
"n11";"w260";0.766852981
"n11";"w259";0.717704737
"n11";"w264";0.908192031
"n11";"w262";0.557722069
"n11";"w258";0.812580048
"n11";"w261";0.81219663
"n11";"w257";0.652549815
"n11";"w263";0.822091825
"n11";"w268";0.820569175
"n11";"w267";0.726854559
"n11";"w272";0.870859552
"n11";"w270";0.803045068
"n11";"w266";0.797334405
"n11";"w269";0.797337306
"n11";"w265";0.700567528
"n11";"w271";0.827047254
"n11";"w276";0.763427163
"n11";"w275";0.698286163
"n11";"w280";0.89752478
"n11";"w278";0.64417901
"n11";"w274";0.79809022
"n11";"w277";0.797714343
"n11";"w273";0.648754501
"n11";"w279";0.805713911
