"data";"workflow";"accuracy";"time"
"n1";"w51";0.882072948;49.2099999999997
"n1";"w55";0.956542342;29.1199999999997
"n1";"w50";0.897288367;37.6099999999997
"n1";"w49";0.967260893;29.2499999999997
"n1";"w54";0.875283093;33.1599999999997
"n1";"w53";0.896722762;51.6699999999997
"n1";"w60";0.928910296;32.1300000000003
"n1";"w64";0.959379287;29.8800000000003
"n1";"w59";0.866826985;32.0800000000003
"n1";"w63";0.948649267;23.8300000000003
"n1";"w58";0.901809429;26.8600000000003
"n1";"w57";0.854977504;22.6900000000003
"n1";"w62";0.948651821;23.7700000000003
"n1";"w61";0.902364843;33.6200000000003
"n1";"w68";0.833507049;81.0499999999999
"n1";"w72";0.96727744;42.1799999999999
"n1";"w67";0.892227166;95.3199999999999
"n1";"w71";0.965020115;44.3099999999999
"n1";"w66";0.870787543;69.2299999999999
"n1";"w65";0.98081386;48.9399999999999
"n1";"w70";0.795909024;71.0199999999999
"n1";"w69";0.871335302;78.7599999999999
"n10";"w7";0.946315789;56.54
"n10";"w4";0.813684211;116.6
"n10";"w2";0.868421053;100.7
"n10";"w6";0.838947368;96.08
"n10";"w3";0.877368421;115.51
"n10";"w8";0.961052632;50.88
"n10";"w1";0.951578947;76.33
"n10";"w5";0.874210526;104.58
"n10";"w79";0.935263158;33.0200000000003
"n10";"w76";0.903157895;40.0000000000003
"n10";"w74";0.885263158;35.2600000000003
"n10";"w78";0.936842105;33.1000000000003
"n10";"w75";0.903684211;42.5800000000003
"n10";"w80";0.945789474;42.2600000000003
"n10";"w73";0.951578947;35.3900000000003
"n10";"w77";0.883684211;42.8500000000003
"n10";"w87";0.948947368;27.2
"n10";"w84";0.831578947;51.96
"n10";"w82";0.879473684;34.12
"n10";"w86";0.863684211;30.16
"n10";"w83";0.894736842;42.07
"n10";"w88";0.955789474;35.48
"n10";"w81";0.943157895;30.76
"n10";"w85";0.86;49.63
"n10";"w95";0.934736842;19.0599999999993
"n10";"w92";0.887368421;26.2199999999993
"n10";"w90";0.881578947;22.1599999999993
"n10";"w94";0.944736842;19.0599999999993
"n10";"w91";0.898947368;25.9699999999993
"n10";"w96";0.954210526;28.1099999999993
"n10";"w89";0.941578947;21.8399999999993
"n10";"w93";0.887368421;29.0999999999993
"n10";"w103";0.965263158;61.6299999999989
"n10";"w100";0.813684211;106.689999999999
"n10";"w98";0.886842105;81.2699999999989
"n10";"w102";0.755789474;93.7199999999989
"n10";"w99";0.894210526;99.6699999999989
"n10";"w104";0.965789474;56.1299999999989
"n10";"w97";0.956842105;72.0899999999989
"n10";"w101";0.891052632;95.8199999999989
"n10";"w111";0.946842105;37.1399999999995
"n10";"w108";0.912105263;43.7899999999995
"n10";"w106";0.893684211;38.9499999999995
"n10";"w110";0.949473684;37.3399999999995
"n10";"w107";0.906842105;44.0299999999995
"n10";"w112";0.957368421;45.4199999999995
"n10";"w105";0.949473684;39.2699999999995
"n10";"w109";0.891578947;46.5099999999995
"n10";"w119";0.957368421;35.2999999999995
"n10";"w116";0.837368421;62.1699999999995
"n10";"w114";0.888947368;42.9999999999995
"n10";"w118";0.866842105;41.1299999999995
"n10";"w115";0.889473684;54.1499999999995
"n10";"w120";0.963157895;42.4999999999995
"n10";"w113";0.957894737;35.3999999999995
"n10";"w117";0.890526316;61.0799999999995
"n10";"w127";0.940526316;25.4900000000004
"n10";"w124";0.902105263;29.4100000000004
"n10";"w122";0.894736842;26.2900000000004
"n10";"w126";0.948947368;25.5700000000004
"n10";"w123";0.904736842;29.9900000000004
"n10";"w128";0.951578947;32.2200000000004
"n10";"w121";0.945789474;26.3300000000004
"n10";"w125";0.891578947;31.9000000000004
"n10";"w135";0.954210526;54.2799999999996
"n10";"w132";0.808947368;97.8699999999996
"n10";"w130";0.881578947;73.7999999999996
"n10";"w134";0.737894737;82.6699999999996
"n10";"w131";0.902105263;95.3999999999996
"n10";"w136";0.958421053;55.6799999999996
"n10";"w129";0.943684211;61.5299999999996
"n10";"w133";0.890526316;88.8399999999996
"n10";"w143";0.934736842;31.5199999999997
"n10";"w140";0.910526316;38.1699999999997
"n10";"w138";0.881578947;33.5999999999997
"n10";"w142";0.932631579;31.3399999999997
"n10";"w139";0.911578947;38.8299999999997
"n10";"w144";0.95;40.8799999999997
"n10";"w137";0.946315789;34.0399999999997
"n10";"w141";0.888421053;40.5299999999997
"n10";"w151";0.947894737;24.5900000000005
"n10";"w148";0.841578947;45.3300000000005
"n10";"w146";0.882631579;29.5300000000005
"n10";"w150";0.903684211;25.6900000000005
"n10";"w147";0.909473684;41.7500000000005
"n10";"w152";0.955789474;35.2500000000005
"n10";"w145";0.954736842;24.0500000000005
"n10";"w149";0.886842105;43.6500000000005
"n10";"w15";0.924736842;34.15
"n10";"w12";0.898421053;41.06
"n10";"w10";0.877368421;36.61
"n10";"w14";0.937368421;33.46
"n10";"w11";0.881578947;40
"n10";"w16";0.948421053;42.14
"n10";"w9";0.943684211;36.74
"n10";"w13";0.882105263;43.84
"n10";"w159";0.948947368;19.3300000000007
"n10";"w156";0.892631579;25.6000000000007
"n10";"w154";0.890526316;21.1200000000007
"n10";"w158";0.951578947;19.3600000000007
"n10";"w155";0.908421053;25.3700000000007
"n10";"w160";0.956842105;28.2500000000007
"n10";"w153";0.949473684;21.0200000000007
"n10";"w157";0.889473684;27.9800000000007
"n10";"w167";0.962105263;59.630000000001
"n10";"w164";0.833157895;99.910000000001
"n10";"w162";0.895789474;74.870000000001
"n10";"w166";0.678421053;87.070000000001
"n10";"w163";0.894210526;94.490000000001
"n10";"w168";0.964736842;58.550000000001
"n10";"w161";0.942631579;63.530000000001
"n10";"w165";0.897368421;90.020000000001
"n10";"w175";0.941052632;37.5300000000007
"n10";"w172";0.915263158;43.9500000000007
"n10";"w170";0.882631579;39.1700000000007
"n10";"w174";0.947894737;37.5800000000007
"n10";"w171";0.913157895;43.9200000000007
"n10";"w176";0.961052632;45.8900000000007
"n10";"w169";0.841052632;39.0300000000007
"n10";"w173";0.88;46.3600000000007
"n10";"w183";0.947368421;34.4999999999985
"n10";"w180";0.845789474;58.0899999999985
"n10";"w178";0.888421053;39.6799999999985
"n10";"w182";0.905789474;37.9399999999985
"n10";"w179";0.908947368;49.9399999999985
"n10";"w184";0.961578947;44.2599999999985
"n10";"w177";0.955263158;37.8199999999985
"n10";"w181";0.898947368;55.2699999999985
"n10";"w191";0.938947368;26.5000000000017
"n10";"w188";0.910526316;30.0000000000017
"n10";"w186";0.887368421;27.3300000000017
"n10";"w190";0.945789474;26.4100000000017
"n10";"w187";0.906842105;30.8600000000017
"n10";"w192";0.952631579;33.6700000000017
"n10";"w185";0.942631579;26.7700000000017
"n10";"w189";0.883684211;32.5900000000017
"n10";"w199";0.912105263;52.7500000000019
"n10";"w196";0.813684211;114.950000000002
"n10";"w194";0.877894737;93.9500000000019
"n10";"w198";0.701578947;84.1700000000019
"n10";"w195";0.881578947;116.670000000002
"n10";"w200";0.959473684;49.8400000000019
"n10";"w193";0.928421053;94.8200000000019
"n10";"w197";0.881578947;44.0000000000019
"n10";"w207";0.937894737;33.0799999999971
"n10";"w204";0.800526316;38.5099999999971
"n10";"w202";0.885263158;34.3799999999971
"n10";"w206";0.87;32.1999999999971
"n10";"w203";0.888947368;36.6999999999971
"n10";"w208";0.948421053;39.9499999999971
"n10";"w201";0.913157895;36.1999999999971
"n10";"w205";0.881578947;33.6799999999971
"n10";"w215";0.905789474;25.8899999999994
"n10";"w212";0.798947368;55.5099999999994
"n10";"w210";0.875263158;36.3199999999994
"n10";"w214";0.736842105;33.3099999999994
"n10";"w211";0.889473684;50.7199999999994
"n10";"w216";0.956315789;35.1999999999994
"n10";"w209";0.886842105;48.1499999999994
"n10";"w213";0.880526316;24.5599999999994
"n10";"w223";0.921052632;19.1699999999999
"n10";"w220";0.771052632;25.1899999999999
"n10";"w218";0.877368421;21.0499999999999
"n10";"w222";0.86;18.1599999999999
"n10";"w219";0.906315789;24.8799999999999
"n10";"w224";0.948947368;25.0599999999999
"n10";"w217";0.910526316;24.3399999999999
"n10";"w221";0.886315789;19.7399999999999
"n10";"w231";0.921578947;52.31
"n10";"w228";0.829473684;110.58
"n10";"w226";0.892105263;82.7
"n10";"w230";0.692105263;92.87
"n10";"w227";0.882631579;101.69
"n10";"w232";0.961578947;52.17
"n10";"w225";0.945263158;98.33
"n10";"w229";0.898947368;45.44
"n10";"w23";0.953157895;28.9600000000001
"n10";"w20";0.852105263;55.8900000000001
"n10";"w18";0.871052632;37.8600000000001
"n10";"w22";0.841578947;34.8800000000001
