1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
22.56;26.33;50.36;34.12;22.08;17.86;22.22;22.16;28.72;19.74;38.01;24.26;32.19;20.99;32.78;24.55;30.84;21.88;15.6;26.41;20.67;24.81;19.4;112.58;30.56;19.44;16.85;17.24;13.69;12.36;11.84;8.2;7.43;8.29;46.83;11.41;41.44;25.1;39.37;32.98;32.54;31.86;29.53;21.18;19.85;28.52;7.25;10.2;4.91;8.52
25.53;26.29;58.67;37.65;23.83;18.3;25.93;26.78;29.71;23.91;50.59;24.77;40.1;22.74;37.47;26.87;32.01;22.57;15.95;28.03;22.78;28.62;21.13;224.24;38.64;20.6;18.03;18.34;14.42;12.73;12.65;8.48;7.64;8.73;71.34;12.49;52.99;29.21;49.64;35.86;38.41;32.8;34.4;23.39;21.1;34.73;8.26;10.81;5.34;9.47
28.44;29.99;86.64;45.27;29.28;19.15;32.88;31.74;37.8;30.01;64.38;26.42;58.15;26.62;49.28;31.82;36.8;23.52;16.81;34.33;26.32;32.38;23.39;242.27;48.8;21.77;19.31;22.08;15.92;13.66;15.28;8.67;7.84;8.82;75.64;14.87;82.76;44.53;66.35;42.71;45.74;40.45;46.73;28.59;23.95;58.23;8.46;12.19;5.37;10.88
27.39;29.41;82.67;49.17;23.89;17.28;34.37;32.28;46.67;34.93;69.25;23.7;63.26;20.9;44.92;38.18;30.34;21.32;15.15;25.86;27.5;40.94;18.62;1009.05;32.08;19;16.29;16.22;13.2;11.91;11.17;7.97;7.16;7.97;73.64;10.56;74.22;26.66;51.56;40.55;36.59;31.8;37.33;20.89;19.38;76.4;6.94;9.76;4.62;7.52
32.01;31.9;68.75;47.45;29.23;20.97;34.12;34.77;42.11;32.04;55.9;27.6;50.03;27.79;43.33;37.3;34.47;25.26;17.27;32.41;29.74;37.44;25.35;196.43;43.36;21.88;21.84;23.55;16.44;14.19;15.59;9.12;8.15;9.66;72.14;15.35;60.56;35.67;56.02;42.69;45.45;39.13;41.99;30.63;23.66;53.43;10.12;14.47;5.87;12.44
23.51;25.57;48.58;35.81;22.55;17.77;24.33;24.1;27.69;21.48;37.18;24.54;32.21;21.43;31.97;24.93;31.05;21.97;16.09;26.32;21.04;26.78;19.82;94.89;29.7;19.63;17.01;17.17;14.17;12.73;12.37;8.97;7.84;8.65;45.27;11.55;39.88;24.06;37.62;31.61;31.89;31.08;29.38;21.11;19.78;26.62;7.59;10.82;5.49;9.2
23.17;25.49;59.46;35.21;22.75;18.76;23.83;23.25;27.47;21.22;43.82;25.01;38.84;21.87;39.55;23.52;35.6;24.84;16.53;37.75;21.35;26.37;22.97;1042.39;86.73;24.59;21.63;19.91;15.23;13.08;12.21;8.22;7.4;8.59;168.31;13.11;97.69;57.09;91.68;69.49;65.67;44.59;67.88;28.16;24.83;33.6;7.29;9.97;4.8;8.74
29.17;32.22;69.68;41.18;27.74;22.45;29.76;27.41;34.43;27.79;57.89;28.52;49.9;27.79;50.56;29.77;39.9;28.25;19.75;40.98;27.29;33.05;27.3;268.6;69.23;29.07;26.67;24.28;18.66;16.21;16.18;9.89;8.73;10.28;124.25;16.95;90.3;48.9;85.75;64.11;63.27;49.69;56;34.82;28.65;51.31;8.19;11.56;5.79;10.67
37.06;61.53;158.9;105.65;44.07;40.36;42.25;38.28;32.51;34.68;93.18;55.41;76.37;40.43;92.86;35.17;97.26;43.89;32.55;55.13;36.88;42.86;30.65;468.44;119.96;81.28;58.61;47.98;44.63;42.06;35.45;19.94;15.5;25.04;152.25;41.68;150.88;88.72;186.03;171.75;148.87;151.6;102.96;73.62;70.89;42.98;13.72;33.78;11.24;28.16
43.32;43.84;80.14;57.68;39.18;31.13;37.74;35.88;63.9;48.71;83.62;38.53;73.15;39.96;63.21;41.26;45.62;21.24;18.86;33.24;41.29;57.03;25.58;323.57;65.47;33.71;31.15;33.59;26.18;25.03;22.56;15.94;13.55;13.13;112.57;21.55;91.79;53.52;84.24;59.62;68.75;55.2;63.63;42.66;37.97;80.46;14.58;22.26;8.34;17.79
