w_id;repr;stop;stem;spar;info;algo
w185;tf_idf;smart;simple;0.98;>0;nnet
w186;tf_idf;smart;simple;0.98;>0;J48
w187;tf_idf;smart;simple;0.98;>0;JRip
w188;tf_idf;smart;simple;0.98;>0;knn
w189;tf_idf;smart;simple;0.98;>0;C5.0Tree
w190;tf_idf;smart;simple;0.98;>0;lda
w191;tf_idf;smart;simple;0.98;>0;svmLinear2
w192;tf_idf;smart;simple;0.98;>0;ranger
w193;freq;none;none;0.99;none;nnet
w194;freq;none;none;0.99;none;J48
w195;freq;none;none;0.99;none;JRip
w196;freq;none;none;0.99;none;knn
w197;freq;none;none;0.99;none;C5.0Tree
w198;freq;none;none;0.99;none;lda
w199;freq;none;none;0.99;none;svmLinear2
w200;freq;none;none;0.99;none;ranger
w201;freq;none;none;0.99;>0;nnet
w202;freq;none;none;0.99;>0;J48
w203;freq;none;none;0.99;>0;JRip
w204;freq;none;none;0.99;>0;knn
w205;freq;none;none;0.99;>0;C5.0Tree
w206;freq;none;none;0.99;>0;lda
w207;freq;none;none;0.99;>0;svmLinear2
w208;freq;none;none;0.99;>0;ranger
w209;freq;none;none;0.98;none;nnet
w210;freq;none;none;0.98;none;J48
w211;freq;none;none;0.98;none;JRip
w212;freq;none;none;0.98;none;knn
w213;freq;none;none;0.98;none;C5.0Tree
w214;freq;none;none;0.98;none;lda
w215;freq;none;none;0.98;none;svmLinear2
w216;freq;none;none;0.98;none;ranger
w217;freq;none;none;0.98;>0;nnet
w218;freq;none;none;0.98;>0;J48
w219;freq;none;none;0.98;>0;JRip
w220;freq;none;none;0.98;>0;knn
w221;freq;none;none;0.98;>0;C5.0Tree
w222;freq;none;none;0.98;>0;lda
w223;freq;none;none;0.98;>0;svmLinear2
w224;freq;none;none;0.98;>0;ranger
w225;freq;none;simple;0.99;none;nnet
w226;freq;none;simple;0.99;none;J48
w227;freq;none;simple;0.99;none;JRip
w228;freq;none;simple;0.99;none;knn
w229;freq;none;simple;0.99;none;C5.0Tree
w230;freq;none;simple;0.99;none;lda
w231;freq;none;simple;0.99;none;svmLinear2
w232;freq;none;simple;0.99;none;ranger
w233;freq;none;simple;0.99;>0;nnet
w234;freq;none;simple;0.99;>0;J48
w235;freq;none;simple;0.99;>0;JRip
w236;freq;none;simple;0.99;>0;knn
w237;freq;none;simple;0.99;>0;C5.0Tree
w238;freq;none;simple;0.99;>0;lda
w239;freq;none;simple;0.99;>0;svmLinear2
w240;freq;none;simple;0.99;>0;ranger
w241;freq;none;simple;0.98;none;nnet
w242;freq;none;simple;0.98;none;J48
w243;freq;none;simple;0.98;none;JRip
w244;freq;none;simple;0.98;none;knn
w245;freq;none;simple;0.98;none;C5.0Tree
w246;freq;none;simple;0.98;none;lda
w247;freq;none;simple;0.98;none;svmLinear2
w248;freq;none;simple;0.98;none;ranger
w249;freq;none;simple;0.98;>0;nnet
w250;freq;none;simple;0.98;>0;J48
w251;freq;none;simple;0.98;>0;JRip
w252;freq;none;simple;0.98;>0;knn
w253;freq;none;simple;0.98;>0;C5.0Tree
w254;freq;none;simple;0.98;>0;lda
w255;freq;none;simple;0.98;>0;svmLinear2
w256;freq;none;simple;0.98;>0;ranger
w257;freq;default;none;0.99;none;nnet
w258;freq;default;none;0.99;none;J48
w259;freq;default;none;0.99;none;JRip
w260;freq;default;none;0.99;none;knn
w261;freq;default;none;0.99;none;C5.0Tree
w262;freq;default;none;0.99;none;lda
w263;freq;default;none;0.99;none;svmLinear2
w264;freq;default;none;0.99;none;ranger
w265;freq;default;none;0.99;>0;nnet
w266;freq;default;none;0.99;>0;J48
w267;freq;default;none;0.99;>0;JRip
w268;freq;default;none;0.99;>0;knn
w269;freq;default;none;0.99;>0;C5.0Tree
w270;freq;default;none;0.99;>0;lda
w271;freq;default;none;0.99;>0;svmLinear2
w272;freq;default;none;0.99;>0;ranger
w273;freq;default;none;0.98;none;nnet
w274;freq;default;none;0.98;none;J48
w275;freq;default;none;0.98;none;JRip
w276;freq;default;none;0.98;none;knn
w277;freq;default;none;0.98;none;C5.0Tree
w278;freq;default;none;0.98;none;lda
w279;freq;default;none;0.98;none;svmLinear2
w280;freq;default;none;0.98;none;ranger
w281;freq;default;none;0.98;>0;nnet
