"data";"pstrat";"user.x";"no.terms";"user.y";"workflow";"algorithm";"accuracy"
"n1";"p13";13.1599999999999;1655;32.89;"w104";"ranger";0.967843045
"n1";"p13";13.1599999999999;1655;69.95;"w99";"JRip";0.883206775
"n1";"p13";13.1599999999999;1655;35.89;"w103";"svmLinear2";0.974611269
"n1";"p13";13.1599999999999;1655;54.64;"w98";"J48";0.904050202
"n1";"p13";13.1599999999999;1655;35.18;"w97";"nnet";0.979683921
"n1";"p13";13.1599999999999;1655;58.89;"w102";"lda";0.817921964
"n1";"p13";13.1599999999999;1655;65.27;"w101";"C5.0Tree";0.903479513
"n1";"p14";28.1100000000006;450;17.61;"w108";"knn";0.918729312
"n1";"p14";28.1100000000006;450;12.53;"w112";"ranger";0.965023928
"n1";"p14";28.1100000000006;450;15.11;"w107";"JRip";0.888265365
"n1";"p14";28.1100000000006;450;5.67;"w111";"svmLinear2";0.960504142
"n1";"p14";28.1100000000006;450;9.88;"w106";"J48";0.909698667
"n1";"p14";28.1100000000006;450;5.65;"w105";"nnet";0.968983175
"n1";"p14";28.1100000000006;450;6.47;"w110";"lda";0.95317033
"n1";"p14";28.1100000000006;450;17.25;"w109";"C5.0Tree";0.913652848
"n1";"p15";12.5300000000007;885;33.94;"w116";"knn";0.86172893
"n1";"p15";12.5300000000007;885;21.45;"w120";"ranger";0.967839226
"n1";"p15";12.5300000000007;885;32.6;"w115";"JRip";0.880922644
"n1";"p15";12.5300000000007;885;14.95;"w119";"svmLinear2";0.948646737
"n1";"p15";12.5300000000007;885;22.64;"w114";"J48";0.902357188
"n1";"p15";12.5300000000007;885;17.16;"w113";"nnet";0.959375491
"n1";"p15";12.5300000000007;885;17.05;"w118";"lda";0.895613188
"n1";"p15";12.5300000000007;885;35.01;"w117";"C5.0Tree";0.901789052
"n1";"p16";19.1399999999994;319;8.25;"w124";"knn";0.913678331
"n1";"p16";19.1399999999994;319;10.03;"w128";"ranger";0.961069759
"n1";"p16";19.1399999999994;319;9.3;"w123";"JRip";0.883746851
"n1";"p16";19.1399999999994;319;4.03;"w127";"svmLinear2";0.93962117
"n1";"p16";19.1399999999994;319;6.39;"w122";"J48";0.906320294
"n1";"p16";19.1399999999994;319;3.42;"w121";"nnet";0.955998378
"n1";"p16";19.1399999999994;319;4.37;"w126";"lda";0.955994548
"n1";"p16";19.1399999999994;319;12.87;"w125";"C5.0Tree";0.913651565
"n1";"p17";8;1578;63.15;"w132";"knn";0.848739003
"n1";"p17";8;1578;35.84;"w136";"ranger";0.970659625
"n1";"p17";8;1578;76.12;"w131";"JRip";0.876991417
"n1";"p17";8;1578;32.37;"w135";"svmLinear2";0.964444307
"n1";"p17";8;1578;50.2;"w130";"J48";0.892216992
"n1";"p17";8;1578;29.06;"w129";"nnet";0.971790853
"n1";"p17";8;1578;50.59;"w134";"lda";0.758585206
"n1";"p17";8;1578;62.4;"w133";"C5.0Tree";0.892772389
"n1";"p18";22;387;14.39;"w140";"knn";0.93284789
"n1";"p18";22;387;12.56;"w144";"ranger";0.966714377
"n1";"p18";22;387;12.83;"w139";"JRip";0.884903544
"n1";"p18";22;387;4.72;"w143";"svmLinear2";0.955403459
"n1";"p18";22;387;8.22;"w138";"J48";0.900679467
"n1";"p18";22;387;5.16;"w137";"nnet";0.966141128
"n1";"p18";22;387;5.41;"w142";"lda";0.940747296
"n1";"p18";22;387;14.89;"w141";"C5.0Tree";0.899555877
"n1";"p19";7.97999999999956;662;25.48;"w148";"knn";0.858905954
"n1";"p19";7.97999999999956;662;19.12;"w152";"ranger";0.966143664
"n1";"p19";7.97999999999956;662;25.37;"w147";"JRip";0.879255096
"n1";"p19";7.97999999999956;662;10.05;"w151";"svmLinear2";0.93735366
"n1";"p19";7.97999999999956;662;15.65;"w146";"J48";0.890525255
"n1";"p19";7.97999999999956;662;9.11;"w145";"nnet";0.960506673
"n1";"p19";7.97999999999956;662;11.57;"w150";"lda";0.923233805
"n1";"p19";7.97999999999956;662;25.61;"w149";"C5.0Tree";0.893909977
"n1";"p2";22.89;518;20.11;"w12";"knn";0.943565194
"n1";"p2";22.89;518;14.32;"w16";"ranger";0.958817501
"n1";"p2";22.89;518;16.13;"w11";"JRip";0.865693232
"n1";"p2";22.89;518;6.92;"w15";"svmLinear2";0.967830317
"n1";"p2";22.89;518;11.56;"w10";"J48";0.882627114
"n1";"p2";22.89;518;5.72;"w9";"nnet";0.96896407
"n1";"p2";22.89;518;8.59;"w14";"lda";0.944126934
"n1";"p2";22.89;518;20.43;"w13";"C5.0Tree";0.874153154
"n1";"p20";13.2399999999998;364;12.62;"w156";"knn";0.914784081
"n1";"p20";13.2399999999998;364;12.14;"w160";"ranger";0.965021363
"n1";"p20";13.2399999999998;364;13.51;"w155";"JRip";0.884890828
"n1";"p20";13.2399999999998;364;4.58;"w159";"svmLinear2";0.945808491
"n1";"p20";13.2399999999998;364;8.29;"w154";"J48";0.901246366
"n1";"p20";13.2399999999998;364;4.5;"w153";"nnet";0.964441742
"n1";"p20";13.2399999999998;364;5.11;"w158";"lda";0.954290112
"n1";"p20";13.2399999999998;364;14.24;"w157";"C5.0Tree";0.897855243
"n1";"p21";15.630000000001;1483;59.02;"w164";"knn";0.856080453
"n1";"p21";15.630000000001;1483;32.36;"w168";"ranger";0.971788294
"n1";"p21";15.630000000001;1483;72.62;"w163";"JRip";0.886574888
"n1";"p21";15.630000000001;1483;30.36;"w167";"svmLinear2";0.967834136
"n1";"p21";15.630000000001;1483;45.78;"w162";"J48";0.911385268
"n1";"p21";15.630000000001;1483;29.38;"w161";"nnet";0.971789611
"n1";"p21";15.630000000001;1483;46.3;"w166";"lda";0.756369952
"n1";"p21";15.630000000001;1483;57.81;"w165";"C5.0Tree";0.910259142
"n1";"p22";28.1900000000023;398;15.06;"w172";"knn";0.918739492
"n1";"p22";28.1900000000023;398;12.03;"w176";"ranger";0.967277434
"n1";"p22";28.1900000000023;398;13.73;"w171";"JRip";0.890527803
"n1";"p22";28.1900000000023;398;4.71;"w175";"svmLinear2";0.945818677
"n1";"p22";28.1900000000023;398;8.47;"w170";"J48";0.902355917
"n1";"p22";28.1900000000023;398;4.71;"w169";"nnet";0.961630257
"n1";"p22";28.1900000000023;398;5.66;"w174";"lda";0.958235332
"n1";"p22";28.1900000000023;398;15.36;"w173";"C5.0Tree";0.909696102
"n1";"p23";15.7000000000007;741;28.46;"w180";"knn";0.865116211
"n1";"p23";15.7000000000007;741;19.71;"w184";"ranger";0.966706727
"n1";"p23";15.7000000000007;741;28.11;"w179";"JRip";0.902925341
"n1";"p23";15.7000000000007;741;11.51;"w183";"svmLinear2";0.954854423
"n1";"p23";15.7000000000007;741;18.22;"w178";"J48";0.908561044
"n1";"p23";15.7000000000007;741;12.8;"w177";"nnet";0.957111777
"n1";"p23";15.7000000000007;741;13.05;"w182";"lda";0.923241426
"n1";"p23";15.7000000000007;741;28.39;"w181";"C5.0Tree";0.91082603
"n1";"p24";20.9700000000012;267;3.72;"w188";"knn";0.914243942
"n1";"p24";20.9700000000012;267;9.75;"w192";"ranger";0.96445321
"n1";"p24";20.9700000000012;267;8.59;"w187";"JRip";0.890521425
"n1";"p24";20.9700000000012;267;3.39;"w191";"svmLinear2";0.939631379
"n1";"p24";20.9700000000012;267;5.3;"w186";"J48";0.904619637
"n1";"p24";20.9700000000012;267;3.11;"w185";"nnet";0.945253095
"n1";"p24";20.9700000000012;267;3.39;"w190";"lda";0.955992006
"n1";"p24";20.9700000000012;267;10.72;"w189";"C5.0Tree";0.905749565
"n1";"p25";4.04999999999927;1946;80.61;"w196";"knn";0.872441057
"n1";"p25";4.04999999999927;1946;36.55;"w200";"ranger";0.965026458
"n1";"p25";4.04999999999927;1946;100.78;"w195";"JRip";0.89503229
"n1";"p25";4.04999999999927;1946;29.92;"w199";"svmLinear2";0.94638683
"n1";"p25";4.04999999999927;1946;66.41;"w194";"J48";0.885990188
"n1";"p25";4.04999999999927;1946;70.75;"w193";"nnet";0.948656911
"n1";"p25";4.04999999999927;1946;73.73;"w198";"lda";0.719558368
"n1";"p25";4.04999999999927;1946;32.25;"w197";"C5.0Tree";0.887685744
"n1";"p26";22.4099999999999;437;16.91;"w204";"knn";0.827847093
"n1";"p26";22.4099999999999;437;11.64;"w208";"ranger";0.957124487
"n1";"p26";22.4099999999999;437;15.73;"w203";"JRip";0.897306219
"n1";"p26";22.4099999999999;437;5.08;"w207";"svmLinear2";0.950914264
"n1";"p26";22.4099999999999;437;9.01;"w202";"J48";0.901232327
"n1";"p26";22.4099999999999;437;7.08;"w201";"nnet";0.942997018
"n1";"p26";22.4099999999999;437;6.36;"w206";"lda";0.89106667
"n1";"p26";22.4099999999999;437;7.21;"w205";"C5.0Tree";0.902938086
"n1";"p27";3.98999999999796;971;37;"w212";"knn";0.853819309
"n1";"p27";3.98999999999796;971;23.49;"w216";"ranger";0.962200958
"n1";"p27";3.98999999999796;971;39.97;"w211";"JRip";0.873590073
"n1";"p27";3.98999999999796;971;13.94;"w215";"svmLinear2";0.929466952
"n1";"p27";3.98999999999796;971;24.18;"w210";"J48";0.889386396
"n1";"p27";3.98999999999796;971;31;"w209";"nnet";0.94638434
"n1";"p27";3.98999999999796;971;20.41;"w214";"lda";0.806445687
"n1";"p27";3.98999999999796;971;16.13;"w213";"C5.0Tree";0.892768587
"n1";"p28";11.2599999999984;483;18.7;"w220";"knn";0.836882811
"n1";"p28";11.2599999999984;483;11.8;"w224";"ranger";0.960510497
"n1";"p28";11.2599999999984;483;14.55;"w219";"JRip";0.88658888
"n1";"p28";11.2599999999984;483;6.02;"w223";"svmLinear2";0.949213607
"n1";"p28";11.2599999999984;483;10.49;"w218";"J48";0.902377582
"n1";"p28";11.2599999999984;483;9.11;"w217";"nnet";0.940752421
"n1";"p28";11.2599999999984;483;6.85;"w222";"lda";0.889387678
"n1";"p28";11.2599999999984;483;7.97;"w221";"C5.0Tree";0.909712654
"n1";"p29";11.3199999999997;1759;71.86;"w228";"knn";0.882600365
"n1";"p29";11.3199999999997;1759;31.83;"w232";"ranger";0.967281258
"n1";"p29";11.3199999999997;1759;96.22;"w227";"JRip";0.885442412
"n1";"p29";11.3199999999997;1759;28.25;"w231";"svmLinear2";0.941875959
"n1";"p29";11.3199999999997;1759;55.85;"w226";"J48";0.900107547
"n1";"p29";11.3199999999997;1759;61.5;"w225";"nnet";0.907518932
"n1";"p29";11.3199999999997;1759;60.58;"w230";"lda";0.687978451
"n1";"p29";11.3199999999997;1759;28.09;"w229";"C5.0Tree";0.898409438
"n1";"p3";3.95000000000005;971;37.28;"w20";"knn";0.87131243
"n1";"p3";3.95000000000005;971;23.11;"w24";"ranger";0.961068465
"n1";"p3";3.95000000000005;971;36.61;"w19";"JRip";0.871891999
"n1";"p3";3.95000000000005;971;17.61;"w23";"svmLinear2";0.949771586
"n1";"p3";3.95000000000005;971;26.83;"w18";"J48";0.873035948
"n1";"p3";3.95000000000005;971;17.52;"w17";"nnet";0.958235338
"n1";"p3";3.95000000000005;971;21.3;"w22";"lda";0.850434576
"n1";"p3";3.95000000000005;971;38.94;"w21";"C5.0Tree";0.875295843
"n1";"p30";27.8900000000031;418;15.98;"w236";"knn";0.848736432
"n1";"p30";27.8900000000031;418;10.7;"w240";"ranger";0.963329632
"n1";"p30";27.8900000000031;418;14.86;"w235";"JRip";0.906885911
"n1";"p30";27.8900000000031;418;5;"w239";"svmLinear2";0.957121957
"n1";"p30";27.8900000000031;418;8.6;"w234";"J48";0.914214651
"n1";"p30";27.8900000000031;418;7.5;"w233";"nnet";0.945268393
"n1";"p30";27.8900000000031;418;5.61;"w238";"lda";0.892214473
"n1";"p30";27.8900000000031;418;7.03;"w237";"C5.0Tree";0.913638843
"n1";"p31";11.3100000000013;989;37.77;"w244";"knn";0.864540374
"n1";"p31";11.3100000000013;989;20.59;"w248";"ranger";0.962200958
"n1";"p31";11.3100000000013;989;36.37;"w243";"JRip";0.889414416
"n1";"p31";11.3100000000013;989;14.08;"w247";"svmLinear2";0.936800776
"n1";"p31";11.3100000000013;989;25.12;"w242";"J48";0.891643795
"n1";"p31";11.3100000000013;989;31.17;"w241";"nnet";0.938528137
"n1";"p31";11.3100000000013;989;24.22;"w246";"lda";0.773679815
"n1";"p31";11.3100000000013;989;16.78;"w245";"C5.0Tree";0.892205581
"n1";"p32";18.5999999999985;313;7.46;"w252";"knn";0.846490569
"n1";"p32";18.5999999999985;313;8.23;"w256";"ranger";0.959381835
"n1";"p32";18.5999999999985;313;9.59;"w251";"JRip";0.908587845
"n1";"p32";18.5999999999985;313;3.96;"w255";"svmLinear2";0.945832698
"n1";"p32";18.5999999999985;313;5.91;"w250";"J48";0.91478281
"n1";"p32";18.5999999999985;313;5.14;"w249";"nnet";0.936800753
"n1";"p32";18.5999999999985;313;3.84;"w254";"lda";0.87245126
"n1";"p32";18.5999999999985;313;5.29;"w253";"C5.0Tree";0.910823539
"n1";"p33";5.36000000000058;1827;75.14;"w260";"knn";0.874130241
"n1";"p33";5.36000000000058;1827;36.53;"w264";"ranger";0.970662173
"n1";"p33";5.36000000000058;1827;90.14;"w259";"JRip";0.895052661
"n1";"p33";5.36000000000058;1827;27.15;"w263";"svmLinear2";0.945259433
"n1";"p33";5.36000000000058;1827;59.16;"w258";"J48";0.902377576
"n1";"p33";5.36000000000058;1827;61.5;"w257";"nnet";0.961062133
"n1";"p33";5.36000000000058;1827;65.41;"w262";"lda";0.717858941
"n1";"p33";5.36000000000058;1827;29.56;"w261";"C5.0Tree";0.900680744
"n1";"p34";23.0200000000004;385;14.01;"w268";"knn";0.905745746
"n1";"p34";23.0200000000004;385;11.17;"w272";"ranger";0.965589527
"n1";"p34";23.0200000000004;385;13.03;"w267";"JRip";0.906344473
"n1";"p34";23.0200000000004;385;4.49;"w271";"svmLinear2";0.951472238
"n1";"p34";23.0200000000004;385;7.67;"w266";"J48";0.90578015
"n1";"p34";23.0200000000004;385;6.31;"w265";"nnet";0.958248083
"n1";"p34";23.0200000000004;385;5.33;"w270";"lda";0.89502211
"n1";"p34";23.0200000000004;385;6.34;"w269";"C5.0Tree";0.900135532
"n1";"p35";5.32999999999811;855;32.53;"w276";"knn";0.871323857
"n1";"p35";5.32999999999811;855;20.88;"w280";"ranger";0.967840508
"n1";"p35";5.32999999999811;855;36.39;"w275";"JRip";0.89617242
"n1";"p35";5.32999999999811;855;11.9;"w279";"svmLinear2";0.93058926
"n1";"p35";5.32999999999811;855;19.86;"w274";"J48";0.900685834
"n1";"p35";5.32999999999811;855;23.01;"w273";"nnet";0.936241521
"n1";"p35";5.32999999999811;855;15.78;"w278";"lda";0.811525994
"n1";"p35";5.32999999999811;855;14.18;"w277";"C5.0Tree";0.900685839
"n1";"p36";11.7799999999988;406;15.52;"w284";"knn";0.899535506
"n1";"p36";11.7799999999988;406;11.55;"w288";"ranger";0.968409932
"n1";"p36";11.7799999999988;406;16.56;"w283";"JRip";0.903487139
"n1";"p36";11.7799999999988;406;4.97;"w287";"svmLinear2";0.941315443
"n1";"p36";11.7799999999988;406;9.04;"w282";"J48";0.905206879
"n1";"p36";11.7799999999988;406;5.95;"w281";"nnet";0.953156314
"n1";"p36";11.7799999999988;406;5.82;"w286";"lda";0.896173703
"n1";"p36";11.7799999999988;406;7.06;"w285";"C5.0Tree";0.904074409
"n1";"p37";12.5200000000004;1655;68.42;"w292";"knn";0.867926379
"n1";"p37";12.5200000000004;1655;32.33;"w296";"ranger";0.970100393
"n1";"p37";12.5200000000004;1655;82.34;"w291";"JRip";0.90799422
"n1";"p37";12.5200000000004;1655;26.11;"w295";"svmLinear2";0.946957525
"n1";"p37";12.5200000000004;1655;50.77;"w290";"J48";0.897289678
"n1";"p37";12.5200000000004;1655;51.89;"w289";"nnet";0.935641454
"n1";"p37";12.5200000000004;1655;55.05;"w294";"lda";0.69023328
"n1";"p37";12.5200000000004;1655;26.8;"w293";"C5.0Tree";0.903494805
"n1";"p38";28.4700000000012;369;12.88;"w300";"knn";0.905182683
"n1";"p38";28.4700000000012;369;9.94;"w304";"ranger";0.965025199
"n1";"p38";28.4700000000012;369;11.89;"w299";"JRip";0.9113955
"n1";"p38";28.4700000000012;369;4.3;"w303";"svmLinear2";0.953741025
"n1";"p38";28.4700000000012;369;7.32;"w298";"J48";0.921549723
"n1";"p38";28.4700000000012;369;5.55;"w297";"nnet";0.953738494
"n1";"p38";28.4700000000012;369;4.9;"w302";"lda";0.897287125
"n1";"p38";28.4700000000012;369;6.09;"w301";"C5.0Tree";0.914770048
"n1";"p39";12.6000000000022;885;33.72;"w308";"knn";0.876951934
"n1";"p39";12.6000000000022;885;19.9;"w312";"ranger";0.964455769
"n1";"p39";12.6000000000022;885;32.99;"w307";"JRip";0.890529045
"n1";"p39";12.6000000000022;885;12.32;"w311";"svmLinear2";0.93566064
"n1";"p39";12.6000000000022;885;20.81;"w306";"J48";0.896161004
"n1";"p39";12.6000000000022;885;26.32;"w305";"nnet";0.952025104
"n1";"p39";12.6000000000022;885;18.37;"w310";"lda";0.795702929
"n1";"p39";12.6000000000022;885;14.79;"w309";"C5.0Tree";0.902931742
"n1";"p4";11.79;555;21.55;"w28";"knn";0.924947207
"n1";"p4";11.79;555;14.96;"w32";"ranger";0.961634076
"n1";"p4";11.79;555;19.95;"w27";"JRip";0.858937741
"n1";"p4";11.79;555;8.06;"w31";"svmLinear2";0.96500228
"n1";"p4";11.79;555;13.2;"w26";"J48";0.871908545
"n1";"p4";11.79;555;8.04;"w25";"nnet";0.967269808
"n1";"p4";11.79;555;8.81;"w30";"lda";0.945264545
"n1";"p4";11.79;555;22.08;"w29";"C5.0Tree";0.874170994
"n1";"p40";19.3600000000006;263;3.4;"w316";"knn";0.896160975
"n1";"p40";19.3600000000006;263;7.98;"w320";"ranger";0.96502138
"n1";"p40";19.3600000000006;263;9.4;"w315";"JRip";0.914229898
"n1";"p40";19.3600000000006;263;3.44;"w319";"svmLinear2";0.941888715
"n1";"p40";19.3600000000006;263;4.85;"w314";"J48";0.914204443
"n1";"p40";19.3600000000006;263;4.12;"w313";"nnet";0.940760024
"n1";"p40";19.3600000000006;263;3.62;"w318";"lda";0.883165976
"n1";"p40";19.3600000000006;263;7.03;"w317";"C5.0Tree";0.923812155
"n1";"p41";8.04999999999563;1578;62.81;"w324";"knn";0.885986387
"n1";"p41";8.04999999999563;1578;36.86;"w328";"ranger";0.972352633
"n1";"p41";8.04999999999563;1578;79.53;"w323";"JRip";0.899557142
"n1";"p41";8.04999999999563;1578;24.3;"w327";"svmLinear2";0.943007192
"n1";"p41";8.04999999999563;1578;47;"w322";"J48";0.906885917
"n1";"p41";8.04999999999563;1578;44.32;"w321";"nnet";0.953179267
"n1";"p41";8.04999999999563;1578;55.2;"w326";"lda";0.647313212
"n1";"p41";8.04999999999563;1578;25.51;"w325";"C5.0Tree";0.90858019
"n1";"p42";22.1399999999994;339;10.35;"w332";"knn";0.929463134
"n1";"p42";22.1399999999994;339;10.89;"w336";"ranger";0.970660902
"n1";"p42";22.1399999999994;339;13.74;"w331";"JRip";0.917608282
"n1";"p42";22.1399999999994;339;3.92;"w335";"svmLinear2";0.952033995
"n1";"p42";22.1399999999994;339;6.69;"w330";"J48";0.907459148
"n1";"p42";22.1399999999994;339;5.28;"w329";"nnet";0.960509203
"n1";"p42";22.1399999999994;339;3.68;"w334";"lda";0.891087064
"n1";"p42";22.1399999999994;339;6.03;"w333";"C5.0Tree";0.909145795
"n1";"p43";8;662;25.37;"w340";"knn";0.883178721
"n1";"p43";8;662;17.75;"w344";"ranger";0.968965352
"n1";"p43";8;662;28;"w339";"JRip";0.895065371
"n1";"p43";8;662;8.96;"w343";"svmLinear2";0.921559874
"n1";"p43";8;662;14.44;"w338";"J48";0.906890995
"n1";"p43";8;662;15.93;"w337";"nnet";0.957104116
"n1";"p43";8;662;10.93;"w342";"lda";0.847066314
"n1";"p43";8;662;17.43;"w341";"C5.0Tree";0.902940645
"n1";"p44";12.6399999999994;324;8.83;"w348";"knn";0.91590889
"n1";"p44";12.6399999999994;324;10.75;"w352";"ranger";0.968402283
"n1";"p44";12.6399999999994;324;13.17;"w347";"JRip";0.912531788
"n1";"p44";12.6399999999994;324;3.94;"w351";"svmLinear2";0.943560047
"n1";"p44";12.6399999999994;324;6.01;"w346";"J48";0.90520689
"n1";"p44";12.6399999999994;324;4.8;"w345";"nnet";0.943574062
"n1";"p44";12.6399999999994;324;4.51;"w350";"lda";0.886571086
"n1";"p44";12.6399999999994;324;5.42;"w349";"C5.0Tree";0.905769953
"n1";"p45";15.2200000000012;1483;58.72;"w356";"knn";0.880349407
"n1";"p45";15.2200000000012;1483;35.72;"w360";"ranger";0.976305531
"n1";"p45";15.2200000000012;1483;71.45;"w355";"JRip";0.910805642
"n1";"p45";15.2200000000012;1483;23.32;"w359";"svmLinear2";0.945268364
"n1";"p45";15.2200000000012;1483;42.03;"w354";"J48";0.910254075
"n1";"p45";15.2200000000012;1483;45.81;"w353";"nnet";0.966141128
"n1";"p45";15.2200000000012;1483;48.87;"w358";"lda";0.605558805
"n1";"p45";15.2200000000012;1483;24.04;"w357";"C5.0Tree";0.907436224
"n1";"p46";27.9700000000012;333;9.72;"w364";"knn";0.927762465
"n1";"p46";27.9700000000012;333;10;"w368";"ranger";0.967843045
"n1";"p46";27.9700000000012;333;11.33;"w363";"JRip";0.907454041
"n1";"p46";27.9700000000012;333;3.83;"w367";"svmLinear2";0.946970264
"n1";"p46";27.9700000000012;333;6;"w362";"J48";0.91759426
"n1";"p46";27.9700000000012;333;5.47;"w361";"nnet";0.959938532
"n1";"p46";27.9700000000012;333;3.93;"w366";"lda";0.892777542
"n1";"p46";27.9700000000012;333;5.62;"w365";"C5.0Tree";0.917033745
"n1";"p47";15.1299999999974;741;28.28;"w372";"knn";0.895587721
"n1";"p47";15.1299999999974;741;19.24;"w376";"ranger";0.969530957
"n1";"p47";15.1299999999974;741;29.63;"w371";"JRip";0.89783746
"n1";"p47";15.1299999999974;741;10.39;"w375";"svmLinear2";0.937365111
"n1";"p47";15.1299999999974;741;16;"w370";"J48";0.912517795
"n1";"p47";15.1299999999974;741;20.11;"w369";"nnet";0.960491398
"n1";"p47";15.1299999999974;741;12.26;"w374";"lda";0.838035703
"n1";"p47";15.1299999999974;741;11.62;"w373";"C5.0Tree";0.909689753
"n1";"p48";20.7799999999988;227;2.22;"w380";"knn";0.919305068
"n1";"p48";20.7799999999988;227;8.14;"w384";"ranger";0.965583161
"n1";"p48";20.7799999999988;227;7.51;"w379";"JRip";0.906873178
"n1";"p48";20.7799999999988;227;3.1;"w383";"svmLinear2";0.941887409
"n1";"p48";20.7799999999988;227;4.01;"w378";"J48";0.918726753
"n1";"p48";20.7799999999988;227;3.68;"w377";"nnet";0.920970114
"n1";"p48";20.7799999999988;227;3.23;"w382";"lda";0.87300538
"n1";"p48";20.7799999999988;227;4.2;"w381";"C5.0Tree";0.915902529
"n1";"p5";11.8099999999999;1759;72.36;"w36";"knn";0.869060172
"n1";"p5";11.8099999999999;1759;31.97;"w40";"ranger";0.965021363
"n1";"p5";11.8099999999999;1759;84.03;"w35";"JRip";0.878688243
"n1";"p5";11.8099999999999;1759;38.91;"w39";"svmLinear2";0.974036744
"n1";"p5";11.8099999999999;1759;61.47;"w34";"J48";0.895031025
"n1";"p5";11.8099999999999;1759;44.68;"w33";"nnet";0.980817691
"n1";"p5";11.8099999999999;1759;59.18;"w38";"lda";0.813413658
"n1";"p5";11.8099999999999;1759;70.72;"w37";"C5.0Tree";0.896159699
"n1";"p6";28.7200000000003;502;19.53;"w44";"knn";0.930594373
"n1";"p6";28.7200000000003;502;13.37;"w48";"ranger";0.95656143
"n1";"p6";28.7200000000003;502;16.14;"w43";"JRip";0.887721431
"n1";"p6";28.7200000000003;502;6.53;"w47";"svmLinear2";0.962190784
"n1";"p6";28.7200000000003;502;11.28;"w42";"J48";0.911395488
"n1";"p6";28.7200000000003;502;6.11;"w41";"nnet";0.970662185
"n1";"p6";28.7200000000003;502;7.52;"w46";"lda";0.94978432
"n1";"p6";28.7200000000003;502;19.75;"w45";"C5.0Tree";0.909703751
"n1";"p7";11.2799999999997;989;37.98;"w52";"knn";0.865104732
"n1";"p7";11.2799999999997;989;22.16;"w56";"ranger";0.963888882
"n1";"p7";11.2799999999997;989;37.93;"w51";"JRip";0.882072948
"n1";"p7";11.2799999999997;989;17.84;"w55";"svmLinear2";0.956542342
"n1";"p7";11.2799999999997;989;26.33;"w50";"J48";0.897288367
"n1";"p7";11.2799999999997;989;17.97;"w49";"nnet";0.967260893
"n1";"p7";11.2799999999997;989;21.88;"w54";"lda";0.875283093
"n1";"p7";11.2799999999997;989;40.39;"w53";"C5.0Tree";0.896722762
"n1";"p8";18.7200000000003;372;13.41;"w60";"knn";0.928910296
"n1";"p8";18.7200000000003;372;11.16;"w64";"ranger";0.959379287
"n1";"p8";18.7200000000003;372;13.36;"w59";"JRip";0.866826985
"n1";"p8";18.7200000000003;372;5.11;"w63";"svmLinear2";0.948649267
"n1";"p8";18.7200000000003;372;8.14;"w58";"J48";0.901809429
"n1";"p8";18.7200000000003;372;3.97;"w57";"nnet";0.854977504
