"workflow";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
11;45.7200000000006;43.7899999999995;95.7799999999989;60.7499999999998;41.7200000000006;33.4999999999991;40.5299999999991;37.4600000000006;50.1399999999995;53.9099999999999;109.66;34.0299999999992;94.1600000000011;47.4900000000004;82.1000000000009;43.7800000000001;46.4400000000006;26.4999999999999;19.2999999999993;32.11;46.1899999999994;44.3000000000012;24.9799999999999;1689.85;44.6500000000007;27.4799999999991;23.6899999999986;32.0999999999996;18.609999999999;17.2499999999994;16.6199999999994;11.5699999999988;10.6600000000005;11.3700000000007;326.670000000001;15.1000000000005;182.11;73.7699999999988;147.939999999999;49.5300000000001;48.6199999999999;52.7699999999999;85.0000000000011;45.1100000000001;31.7799999999987;240.189999999999;10.0399999999996;15.0499999999992;6.47999999999862;11.3399999999993
12;45.3600000000006;46.5099999999995;82.4899999999989;59.4399999999998;43.2700000000006;35.1099999999991;41.5099999999991;40.2000000000006;45.9999999999995;49.0199999999999;86.65;39.9599999999992;74.5900000000011;43.9600000000004;69.5500000000009;42.9000000000001;50.6700000000006;28.6399999999999;22.6399999999993;41.24;42.9599999999994;44.1600000000012;30.1199999999999;301.52;57.0800000000007;31.6299999999991;32.0199999999986;33.1299999999996;22.659999999999;20.0599999999994;23.0699999999994;12.7299999999988;11.8000000000005;12.1500000000007;118.730000000001;17.8300000000005;94.7100000000001;56.0299999999988;85.2999999999993;52.8800000000001;58.2199999999999;60.5499999999999;63.5500000000011;43.2700000000001;34.3099999999987;75.7799999999988;13.5299999999996;20.0799999999992;7.69999999999862;16.5499999999993
13;39.02;40;104.84;55.92;40.77;27.8600000000002;38.0200000000001;33.4100000000001;60.19;43.3599999999999;107.13;36.3299999999999;89.9300000000001;42.0800000000001;74.21;36.48;49.5399999999999;21.22;18.75;37.8099999999999;37.51;49.9400000000002;24.53;524.18;80.83;31.95;27.1700000000001;32.54;25.39;23.4300000000001;22.64;14.13;12.6799999999999;12.5000000000001;113.17;22.01;130.17;65.3899999999999;87.98;61.74;67.26;57.98;73.46;41.9299999999999;35.17;92.91;12.5599999999999;19.3899999999999;7.81999999999987;15.98
14;34.5800000000006;37.3399999999995;64.9799999999989;48.6299999999998;34.0200000000006;27.7499999999991;32.7599999999991;31.4300000000006;33.8999999999995;33.6599999999999;56.33;35.4099999999992;49.7600000000011;33.3100000000004;49.6800000000009;31.4600000000001;44.0400000000006;27.1399999999999;20.2399999999993;32.8;30.3699999999994;35.2100000000012;25.6599999999999;141.57;41.7200000000007;27.7099999999991;24.6799999999986;23.5899999999996;19.269999999999;18.1399999999994;17.7999999999994;12.2799999999988;11.5900000000005;12.3700000000007;66.8500000000008;16.0900000000005;59.8400000000001;35.5899999999988;53.2499999999993;43.8100000000001;44.5199999999999;45.0199999999999;42.7300000000011;30.6200000000001;28.0599999999987;35.4699999999988;11.7099999999996;15.3299999999992;7.54999999999862;13.1899999999993
15;33.7800000000006;37.1399999999995;75.3299999999989;48.4199999999998;33.7400000000006;28.2199999999991;31.6199999999991;30.5200000000006;33.1899999999995;32.2699999999999;67.96;35.6499999999992;60.0600000000011;32.9000000000004;57.7300000000009;29.8400000000001;50.6100000000006;28.3099999999999;21.0499999999993;46.89;30.0299999999994;34.3600000000012;27.4299999999999;1174.99;84.7900000000007;34.4299999999991;29.9599999999986;25.7299999999996;20.849999999999;18.5299999999994;17.7799999999994;11.8599999999988;10.8500000000005;11.6500000000007;280.500000000001;16.4900000000005;143.4;68.2499999999988;135.199999999999;68.5800000000001;71.3399999999999;64.0799999999999;93.9400000000011;37.8300000000001;34.4299999999987;46.6399999999988;10.4799999999996;14.6099999999992;6.61999999999862;12.3799999999993
16;40.6400000000006;45.4199999999995;86.5499999999989;54.0999999999998;39.5300000000006;34.1199999999991;37.8399999999991;34.6500000000006;39.8999999999995;40.4999999999999;84.53;39.8199999999992;70.9200000000011;41.1400000000004;76.6200000000009;36.4800000000001;54.5800000000006;31.3799999999999;24.9599999999993;49.68;37.7299999999994;40.8300000000012;33.2099999999999;352.42;82.7900000000007;38.7699999999991;37.0499999999986;32.5099999999996;24.619999999999;21.9099999999994;22.2799999999994;13.6099999999988;12.6300000000005;13.0600000000007;178.840000000001;20.1900000000005;130.08;69.8899999999988;119.959999999999;71.5600000000001;76.0799999999999;75.8499999999999;79.4600000000011;50.0500000000001;39.9699999999987;65.5799999999988;11.3099999999996;15.8199999999992;7.60999999999862;14.2999999999993
17;29.6900000000007;35.3999999999995;84.9599999999985;36.7800000000007;34.7300000000012;26.0000000000002;27.3300000000017;27.0700000000004;30.7700000000004;21.8;57.8900000000001;38.8299999999987;50.81;30.9400000000012;58.28;26.8199999999997;58.0000000000001;30.5399999999993;20.8699999999994;36.5899999999996;24.6799999999991;35.9200000000007;26.67;192.47;54.3399999999983;35.3700000000007;35.1099999999987;27.9100000000011;24.6300000000005;19.8899999999996;18.4399999999994;10.55;8.63999999999876;12.7999999999988;98.1000000000004;18.9499999999993;82.4799999999994;44.7199999999988;75.5099999999996;50.13;62.5499999999993;78.3100000000006;56.17;36.3100000000009;45.6499999999996;25.0999999999992;7.15000000000015;16.4100000000007;5.28999999999985;13.8300000000004
18;35.1700000000007;42.9999999999995;91.5699999999985;53.9000000000007;35.8600000000012;26.0400000000002;30.4600000000017;33.1700000000004;30.6700000000004;25.12;63.5600000000001;38.5599999999987;49.28;32.4200000000012;65.31;26.6399999999997;60.1100000000001;29.6899999999993;24.2999999999994;41.7299999999996;26.5699999999991;34.9800000000007;30.75;256.81;76.4799999999983;46.2800000000007;30.2399999999987;27.0500000000011;23.9700000000005;19.4199999999996;18.2599999999994;12.2;11.0099999999988;11.9199999999988;131.32;17.8799999999993;109.419999999999;48.7899999999988;93.1599999999996;68.58;68.1899999999993;60.9200000000006;60.1;42.5400000000009;40.9399999999996;34.0499999999992;9.78000000000015;12.9700000000007;6.75999999999985;11.3700000000004
19;45.1300000000007;54.1499999999995;173.489999999998;77.8300000000007;54.6900000000012;31.7000000000002;47.0800000000017;44.2100000000004;46.1900000000004;35.02;108.37;54.5499999999987;95.27;46.5600000000012;112.09;33.7899999999997;122.62;34.7699999999993;32.1999999999993;71.6999999999996;32.6299999999991;47.9900000000007;36.41;424.23;123.069999999998;57.3300000000007;39.8299999999987;42.3400000000011;35.8500000000005;30.6199999999996;30.4199999999994;14.86;13.9099999999988;15.1299999999988;150.77;27.4999999999993;201.739999999999;103.129999999999;167.89;111.39;93.5999999999993;121.550000000001;105.33;67.2900000000009;57.4399999999996;59.1099999999992;10.7000000000001;17.3800000000007;7.05999999999985;15.3300000000004
20;46.4700000000007;62.1699999999995;156.039999999998;75.5700000000007;59.3200000000012;47.2300000000002;47.3300000000017;41.1000000000004;52.5300000000004;42.17;111.59;57.7899999999987;92;53.7800000000012;122.56;40.7299999999997;101.44;47.3699999999993;39.1999999999993;87.5699999999996;43.3299999999991;61.1700000000007;46.61;1948.19;236.649999999998;104.830000000001;62.8299999999987;53.7200000000011;43.1500000000005;34.1099999999996;25.5599999999994;11.47;9.48999999999876;10.2099999999988;535.95;21.7099999999993;415.129999999999;129.679999999999;383.37;285.08;267.219999999999;276.380000000001;208.83;106.680000000001;101.26;136.509999999999;6.66000000000015;11.5900000000007;3.73999999999985;9.08000000000044
