"data";"workflow";"time"
"n1";"w364";37.6900000000012
"n1";"w368";37.9700000000012
"n1";"w363";39.3000000000012
"n1";"w367";31.8000000000012
"n1";"w362";33.9700000000012
"n1";"w361";33.4400000000012
"n1";"w366";31.9000000000012
"n1";"w365";33.5900000000012
"n1";"w372";43.4099999999974
"n1";"w376";34.3699999999974
"n1";"w371";44.7599999999974
"n1";"w375";25.5199999999974
"n1";"w370";31.1299999999974
"n1";"w369";35.2399999999974
"n1";"w374";27.3899999999974
"n1";"w373";26.7499999999974
"n1";"w380";22.9999999999988
"n1";"w384";28.9199999999988
"n1";"w379";28.2899999999988
"n1";"w383";23.8799999999988
"n1";"w378";24.7899999999988
"n1";"w377";24.4599999999988
"n1";"w382";24.0099999999988
"n1";"w381";24.9799999999988
"n1";"w36";84.1699999999999
"n1";"w40";43.7799999999999
"n1";"w35";95.8399999999999
"n1";"w39";50.7199999999999
"n1";"w34";73.2799999999999
"n1";"w33";56.4899999999999
"n1";"w38";70.9899999999999
"n1";"w37";82.5299999999999
"n1";"w44";48.2500000000003
"n1";"w48";42.0900000000003
"n1";"w43";44.8600000000003
"n1";"w47";35.2500000000003
"n1";"w42";40.0000000000003
"n1";"w41";34.8300000000003
"n1";"w46";36.2400000000003
"n1";"w45";48.4700000000003
"n1";"w52";49.2599999999997
"n1";"w56";33.4399999999997
"n1";"w51";49.2099999999997
"n1";"w55";29.1199999999997
"n1";"w50";37.6099999999997
"n1";"w49";29.2499999999997
"n1";"w54";33.1599999999997
"n1";"w53";51.6699999999997
"n1";"w60";32.1300000000003
"n1";"w64";29.8800000000003
"n1";"w59";32.0800000000003
"n1";"w63";23.8300000000003
"n1";"w58";26.8600000000003
"n1";"w57";22.6900000000003
"n1";"w62";23.7700000000003
"n1";"w61";33.6200000000003
"n1";"w68";81.0499999999999
"n1";"w72";42.1799999999999
"n1";"w67";95.3199999999999
"n1";"w71";44.3099999999999
"n1";"w66";69.2299999999999
"n1";"w65";48.9399999999999
"n1";"w70";71.0199999999999
"n1";"w69";78.7599999999999
"n10";"w7";56.54
"n10";"w4";116.6
"n10";"w2";100.7
"n10";"w6";96.08
"n10";"w3";115.51
"n10";"w8";50.88
"n10";"w1";76.33
"n10";"w5";104.58
"n10";"w79";33.0200000000003
"n10";"w76";40.0000000000003
"n10";"w74";35.2600000000003
"n10";"w78";33.1000000000003
"n10";"w75";42.5800000000003
"n10";"w80";42.2600000000003
"n10";"w73";35.3900000000003
"n10";"w77";42.8500000000003
"n10";"w87";27.2
"n10";"w84";51.96
"n10";"w82";34.12
"n10";"w86";30.16
"n10";"w83";42.07
"n10";"w88";35.48
"n10";"w81";30.76
"n10";"w85";49.63
"n10";"w95";19.0599999999993
"n10";"w92";26.2199999999993
"n10";"w90";22.1599999999993
"n10";"w94";19.0599999999993
